"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","fb","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstaces","performance"
0.0509052642595291,0.0590784015960172,0,-0.0586051284617663,-0.055190290358899,-0.0653442105353921,0,-0.0339800009899773,0,0.0128401137862346,0,0,0,-0.348359383316132,-0.0305449521966113,0,-0.0474004306360009,-0.000358186181954194,0.114850609609634,0.0758438941039614,0,-0.018593130020475,0,0,0.036630463168751,-0.00799948225297887,0,0,0,-0.0538843790750869,0,0,0,0,1.52684703367998,0,-1.53786002418774,0,"2016-10-25  aaAdeeGilnnnnoooSSttt",2016-10-25,"Golden State","San Antonio","San Antonio","Golden State",-0.31622644842606,-0.0538843790750869,-0.0110129905077667
-0.152791084723477,0,0,-0.000655590145770426,0.0479067766237695,0.0488330509673246,-0.0356077443098129,0.0680205853739687,0,0,0.0450109304622974,0.00948722914766564,0,0.372787712245906,0.0558764249082198,-0.0684926360326322,0,-0.000121927257927947,-0.0978152364016921,0,0,0,0,-0.0676591373803053,0,-0.0158517666720192,0.0346892543115275,0,0,0,0,0,0.588675456760326,0,1.56470274525882,0,-0.744052864643776,0,"2016-10-25 aCdeeekllnNorvwY",2016-10-25,"Cleveland","New York","Cleveland","New York",0.208927586805514,0.623364711071853,0.820649880615043
-0.0663651636026754,-0.0496749584716501,0,0,0.00516004421625046,0.126314604807758,0.0959423303027129,-0.0266504484760012,0,-0.0199522558307595,0,0.053123711892965,0,0.367813296440283,0.0399270369854415,0,-0.0393868661586583,-0.000433290122309497,-0.125522386196644,0,0,0,0.155656599439906,-0.0832546478899508,0.0351193742735437,0.0177834789930885,0.0545285315599199,0,0,0,0,0,0.588675456760326,0,1.14625466458086,0,-1.15956290593835,0,"2016-10-25aadhlnoPrttU",2016-10-25,"Portland","Utah","Portland","Utah",0.4856004606033,0.643203988320246,-0.0133082413574896
0,0.102226630199521,0,-0.0463669299076138,0.104230590047111,-0.14101833060472,0,-0.0488452795606496,0,0,0,-0.136855447023221,0,-0.490863389475288,0,0,0.0463204111232198,0.000136374144719028,0,0,0,0,0,0,0.0684533522413392,0.0111670543682878,0.110229171789551,0,0,0,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26 aaaaCdehhhiiiklllmoOpPty",2016-10-26,"Philadelphia","Oklahoma City","Philadelphia","Oklahoma City",-0.531414964447295,0.680559667611572,0
0,0,0,0,-0.0195160840494654,-0.111667882765103,0.148181934370151,0,0,0,0,0,0.00441398673960682,0.669786968456626,0.0409461852272393,-0.0772033106541661,0,0.000117014013003518,0,0.15607811447242,-0.0383460953435722,0,0,0,0.00915687016559671,0,0,0,0,-0.0548731503423783,0,0,0,2.5643612937978,0,0,0,0,"2016-10-26 aAeHkLLnoorsstu",2016-10-26,"LA Lakers","Houston","Houston","LA Lakers",0.781947700632337,-0.0548731503423783,0
0,0,0,0.132466467579066,0,0,0,0,0,0.00712752745014088,-0.0747731342053846,0.061083957852667,0.000839159698403398,0,-0.0127082745456411,0,-0.0601601906243481,0.000182889378854091,0,0,0.0351351115846073,-0.0905019285575856,0,0,0.0626165058343091,0,0,0,0,-0.0432480336844814,0,0,0,2.5643612937978,0,0,0,0,"2016-10-26 aDeeeelnnNOrrsvw",2016-10-26,"New Orleans","Denver","Denver","New Orleans",0.061308091445088,-0.0432480336844814,0
0,0.0881390835605926,0,0.0130743959231667,-0.0803609477153598,0,-0.107369361728658,-0.106643466019591,0,0,0,0,-0.000913143012949021,0,0.0503695035652817,0.137096809616176,-0.0861480154640078,-0.000121001540698067,0.205747891364409,0,0,0,0,0,0,-0.0111510124516356,0.0669754637561498,0,0,0,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26aaaadDiIllnns",2016-10-26,"Indiana","Dallas","Indiana","Dallas",0.101720736096728,0.637305959578171,0
0,0.0976868774748988,0,0.0674387472998695,-0.0877505615234976,0,-0.328643932530023,0,0,0.0107621620401657,0,0.0906926247578216,0.00577537204233357,0,0,0,0.0123402812874015,-0.000100868132354317,0,0,0.0582342374537165,0.189848233207117,0,0,-0.068799377666055,0,0.0577752754265204,0,0,0,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26aaCeeehikllMorttuw",2016-10-26,"Milwaukee","Charlotte","Milwaukee","Charlotte",0.0474837957113938,0.628105771248542,0
0.0720693163552224,0,0,0,-0.0732162903856065,0,0,-0.048859172342479,0,0,0,-0.234096295868145,0.000959241436244963,0,0,0,-0.0558994986984874,5.76140952028485e-05,0,0,0.035428506252196,0.126959170997804,0,0,-0.0473908799038793,0,0,0,0,-0.0253870116977582,0,0,0,2.5643612937978,0,0,0,0,"2016-10-26aaceehimnnooPrStx",2016-10-26,"Phoenix","Sacramento","Sacramento","Phoenix",-0.223988288061928,-0.0253870116977582,0
0.0839183674877017,0,-0.104391269215421,0,0.0871974395221721,0,-0.114611123874393,-0.0686615109143083,0,0.0304928621405687,0,0,0.00113643678818153,0,0,0,0,0,0,0,0.0425267828265764,0.141518557677408,0,0,0,0.019557180268688,0.0180038209792425,0,0,0,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26aadiilmMnoOr",2016-10-26,"Orlando","Miami","Orlando","Miami",0.118683722707174,0.588334316801264,0
0,0,0,-0.0970921250216166,-0.0756120523201245,0.0481502133426979,0,-0.0686453865607785,0,-0.00537054491193552,-0.0506753851805021,0,-0.00564016400370792,0,0,0,0,0,-0.170774875550724,0,0.0604550114248981,-0.15186527615309,0,0,0,0,0.0613862012284646,0,0,-2.36118793002617e-09,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26aeehiimMMnnopsst",2016-10-26,"Memphis","Minnesota","Memphis","Minnesota",-0.517070584934883,0.631716694689298,0
-0.0744739264415295,0.181971771084505,0,-0.13666323540621,0,0,-0.144612495204635,0.167585056228401,0,0.0132764716694332,0,0,0,0,0,0,-0.0549102760085035,0.00024215779262531,0.139203697580132,0,0,-0.223211568443508,0,0,0,0,0.0165900817265468,0,0,0,0,0,0.570330495822022,2.5643612937978,0,0,0,0,"2016-10-26BBklnnoooorsty",2016-10-26,"Boston","Brooklyn","Boston","Brooklyn",-0.131592347149289,0.586920577548569,0
0.0646333559711076,0,0.0820896251499703,-0.070990084681255,0.071876462224562,0,0,0.0946401210777408,0,0,-0.0544149602847807,-0.0609388644194313,0,0,0.0363779774140219,0,0,3.60361398122832e-05,-0.149495809870757,0,0.0437210954572567,0,0,0,0,-0.0333154968885935,0,0,0,-0.00826061841912018,0,0,0,2.5643612937978,0,0,0,0,"2016-10-26DeinoooorrtttT",2016-10-26,"Toronto","Detroit","Detroit","Toronto",0.0242194572896541,-0.00826061841912018,0
0,-0.0650402475599423,0,0.0745733815438136,0,-0.044385889986531,0,-0.0705487758285522,0,-0.00693168226565875,0,0,-0.00442095223246784,0,0.0725518919686397,0.170327205802477,-0.0422507036609821,0,-0.138849798281016,0,0.0285301903702846,-0.0245771237656562,0,-0.0328024488195222,-0.035117392330636,0,0.00605660208508553,-0.0439414575263591,0.0755022441378949,-0.0271984167515719,0,0,0.549128183610269,0.576227279642674,1.97746404311344,-0.234330432519988,-1.89129115093097,0.234344326193205,"2016-10-27 aaaAceimnnnnooorSStt",2016-10-27,"Sacramento","San Antonio","Sacramento","San Antonio",-0.11894234504575,0.559547155555319,0.0861867858556915
0.0339720974339744,0.050406183942574,0.0838611685417812,0,-0.0541410871901666,0,0,-0.0397004804181944,0,0.014803234526182,0.0451539052775079,-0.0522975852195664,0.00450201347110544,-0.367146873685252,0,0,0.038105939125591,-0.000206943785395606,0,-0.163474105825362,0.0280654019365451,0,0,0,0,-0.0168102083470815,0,-0.0439414575263591,0,-0.0354388480819128,0,0,0,0.576227279642674,0,0,-1.89129115093097,0.234344326193205,"2016-10-27 aACdeillLnoppPrrst",2016-10-27,"Portland","LA Clippers","LA Clippers","Portland",-0.394907340215758,-0.0793803056082719,-1.65694682473777
-0.0256596166131018,0,0,0.0703821764353637,0.0671757198089243,0,0,-0.0414918580803809,0,0.0123770245250074,0.067311202150124,0.0839817885191901,0,0,0.0364210155873839,0,0,0.000273873824497334,0,0,0.0344727847321493,0,0,-0.0778201078598849,0,0.0213668091521985,0,0,0,-0.0232550457518938,0,0,0,0.576227279642674,0,0,0,0,"2016-10-27aaaAghilnnnostttW",2016-10-27,"Atlanta","Washington","Washington","Atlanta",0.248790812181471,-0.0232550457518938,0
0.0583686508337578,0,0,-0.00853090224742086,0,0,0.13885254215675,-0.0498708169024397,0,0,0,0.0535118419176256,0,0,0,-0.167665194985138,0.0424552636338179,0.000219951533880313,0.117730274911425,0,0,0,0,-0.0395644186135423,0,0.01239646005705,0.0752670744575265,-0.0219707287631796,0,0,0,0,0.549128183610269,0.576227279642674,0,0,-1.89129115093097,0.234344326193205,"2016-10-27aBcCghinooost",2016-10-27,"Chicago","Boston","Chicago","Boston",0.157903652295766,0.602424529304617,-1.65694682473777
-0.0255986471378168,0,0,-0.105362515289119,0.052857183126891,0,0,0.133126455014103,0,0.0157233587774447,0,0,0.00929967506461091,0.366861633879638,-0.0280436379343387,0,0.0244091776891021,0,-0.0368438261602591,0,0,0.119357812066552,0,0,0,-0.00755613140487015,0,-0.0402767272617024,0.215961690637239,-0.092262951645599,0,0,0,0.609937104269062,0,0,0,0,"2016-10-28  aadeeeeGllnnNoOrsSttw",2016-10-28,"New Orleans","Golden State","Golden State","New Orleans",0.518230537691938,0.0834220117299372,0
0,0,0,0.107001324614859,0,0.0755792152475458,-0.239631351612491,0.0356636594120474,0,0,0,0,-8.92067528776064e-05,0,-0.0270721431551372,-0.156773405118395,0,0.000609734851526813,0,0,0.0455614526697408,0,0,-0.0519380911075138,-0.0472968047549704,0,0,-0.0604150908925535,0.143974460424826,-0.0279346782764962,0,0,0,0.609937104269062,1.84507544216478,-0.178402637121096,0,0,"2016-10-28 aaAehkLLrstU",2016-10-28,"Utah","LA Lakers","LA Lakers","Utah",-0.258385615705665,0.055624691255776,1.66667280504368
