"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","home_team_selected","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances"
-0.00519885782386787,-0.00202172843838285,0,0.0404337439460233,0.0110875114985332,-0.0223149136137702,0,0,-0.00404223535750029,0,0.0179888814552887,0,0,-0.0152920956288959,0,-0.00165894607905053,0,0.0182770807128659,0,0.00340981645469356,0.0688734740236339,-0.0768571560029388,0.0499020270126963,0.194499318368699,0,-0.0527024761887843,0,0,0,0,0,0.442453175896836,-0.469881580950649,"2019-10-22  aAACeeiklLLLpprrss",2019-10-22,"LA Clippers","LA Lakers","LA Lakers","LA Clippers",0.224383444339244,0
0.0302167248125391,0.0113390006359671,0,0,0.0112977888017057,0.00151927272275667,-0.0881668593666121,0.0579851185462316,-0.355489949315157,0,0,0,0,0.015394085480383,-0.0148926007009524,0.00180420367053831,0,-0.0129320121117807,0.0852473505559961,0.00632088761478488,0,-0.00980532710244556,-0.133649278845052,0,0,-0.0413401074641936,0,0,0,0,0,0.233381894978551,-0.469881580950649,"2019-10-22 aeelnnNoooOrrstTw",2019-10-22,"Toronto","New Orleans","New Orleans","Toronto",-0.435151702065291,0
0.0767174345649337,-0.0140126045318023,0,-0.0127371289419328,0.010725143529129,0.0503710136938691,0,0,0,0,-0.0289066735336274,0,0,-0.0169871210288316,0,-0.011981429660683,0,0.00176231035201338,-0.0952152679988933,0.00106094300152877,0.0735786043332354,-0.117750088746082,0,0,0,-0.0326201771539202,-5.34572183534662e-11,0,0,-3.28727935498223e-11,0,0,0,"2019-10-23  aAeiknnnNooorStwY",2019-10-23,"San Antonio","New York","New York","San Antonio",-0.115995042121064,-8.63300119032885e-11
0.113304879331278,0.0178430074580102,0.0816616980257,-0.0331741167836292,-0.0256657276184251,0.0103072102491387,0,0,0,0,0.0162608209008096,0.0298876080803339,0.458550150409413,-0.0200292461519626,0,0.00757277769785391,0,0,0,0,0.00758483643674257,-0.105861432275621,0,0.292565347737625,0,0,0,0,0,0,0,0,0,"2019-10-23 aaaChhiklmoOttUy",2019-10-23,"Utah","Oklahoma City","Oklahoma City","Utah",0.850807813497267,0
0,0.0147777749299369,0,-0.0636184041583845,0.0139111068436963,0.00875457601206217,0.100855257860409,0,0.171295008058076,-0.0369805399055656,0,0.0383246276732285,0,-0.0108350480523287,0.0871659182499017,0.00764543028482219,0.00325112378458315,0,0.116038421016643,-0.001935356271785,0,-0.095983057069491,-0.0641829132308804,0,0,0,-7.55999232022118e-11,0,0,-4.64891504712496e-11,0,0,0,"2019-10-23aaaDghillnnosstW",2019-10-23,"Dallas","Washington","Washington","Dallas",0.288483926024924,-1.22089073673461e-10
0.133404527478344,0,-0.0661401096784736,-0.0519371014054457,0,0.0567102590643533,-0.00847522427515399,0.112488161718585,-0.10409748103876,0.0118834905444596,0,0,0,-0.0165843246737309,0,0.000613279833306936,-0.00420342109481472,0.0300313664492522,0.0263861169932601,-5.86244084735755e-05,0,0,-0.0287204590840495,0.221892363369159,-0.127704701457159,0,-0.000245157082204797,0,0,-0.000150756032558745,0.479418397436618,0,0,"2019-10-23aaBdehhiillnoopPst",2019-10-23,"Philadelphia","Boston","Philadelphia","Boston",0.18548811833466,0.479022484321855
0,0.0222242223724166,0,-0.0322418607713663,0.0220811481125767,0.0549036777627399,0,0,0.101069953985759,-0.00321449748485325,0,0,0,-0.0139483139792942,0,0,0,0.000662047171391159,-0.00620875569943453,-0.000893172107885963,0,-0.0214102106520915,0.0197931133939989,0,0,0,0,0,0,0,0,0,0,"2019-10-23aacCCeghhiloortt",2019-10-23,"Charlotte","Chicago","Chicago","Charlotte",0.142817352103956,0
-0.0851752126137665,-0.0159470269708442,0.0641734976038479,0.023219083724473,0,-0.0342135237544458,0,0,0.120636193088072,0,0.0214497766931092,0.0409520450794951,0,0.0188315419997838,0,0.00590702146550693,0,0,0,-0.000396933544411296,0,0,0.105350660029299,0,0.0376246604642676,0.0784514813140574,-0.000811709903838501,0,0,-0.000499150028996955,0.479418397436618,0,0,"2019-10-23aaCddeelllnnoOrv",2019-10-23,"Orlando","Cleveland","Orlando","Cleveland",0.380863264578444,0.478107537503783
0.0942443018431668,0.0116140823524306,0.0644593704827887,0,0,0,-0.101409545207269,0,-0.143874169166944,0,0,0.03489216236939,0,0.0381180308155209,0,0.00720589337259818,0.00285441971523884,-0.0323786610857782,-0.0972520591159893,0,0,0.0917185444580941,0.00209913050464161,0,-0.0663893647702337,-0.00893354593617377,-0.000574750648966227,0,0,-0.000353435139501008,0.479418397436618,0,0,"2019-10-23aaceehimnnooPrStx",2019-10-23,"Phoenix","Sacramento","Phoenix","Sacramento",-0.103031409368518,0.478490211648151
0.0983860515190479,-0.0178871721490679,-0.0638838404742564,-0.0238863844610177,-0.0129411890370256,-0.0321556280145216,0,0,-0.120609176183741,-0.0108462551092745,0,0.0409257175390129,0,0.00187322858709898,0,0.00765734318945384,-0.00113085011954719,0,0.0525093422716862,0,0.119239866047232,0.108790661436512,0,0,0,-0.0552952894101261,0,0,0,0,0,0,0,"2019-10-23aadDeiiInnortt",2019-10-23,"Indiana","Detroit","Detroit","Indiana",0.0907464256314658,0
