"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","winrate_early_season_selected_team","winrate_season_selected_team","first_game","winrate_early_season_opposing_team","winrate_season_opposing_team","winrate_season_selected_team_s","winrate_season_opposing_team_s","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
-0.0397377506835954,-0.00456322891512626,0,0,0.0564189301537623,-0.0560257365622449,0.00323789727385696,0.00906127437396138,-0.137828685206049,0.270499435519119,0,0,0.0529419425756856,-0.0131553297340634,0.0199828573921854,0,-0.0258528056902417,0.00511752022537865,0,0,-0.0590736227186321,0,0,0,0,-0.00300812755694065,0.287789343562403,0,0,0,0,0,0,0.666441743753646,0,0,-0.657917510393229,0.306289322193651,-0.178017920097518,"2016-10-25  aaAdeeGilnnnnoooSSttt",2016-10-25,"Golden State","San Antonio","Golden State","San Antonio"
0.119272026572008,0,0,0,-0.11293845036567,0,0,0,0.11738505761691,-0.289467918937815,-0.040541036954255,0,0.0381784467191683,0.024065278914066,-0.017345701194299,0,-0.0330756912029723,-0.00382442643265046,0.0611151117619859,-0.0452834297444516,0,-0.0784407415916158,0,0.0134802013542794,0.0160649519219603,-0.0125108947879646,0,0,0,-0.10422014359998,0,0,0,0.32244019661022,0,0,-0.674229514783144,0,-0.474714453593382,"2016-10-25 aCdeeekllnNorvwY",2016-10-25,"Cleveland","New York","New York","Cleveland"
0.0518060826061908,-0.023404145301301,0,0,0.0544200066960379,0.0471081827180096,0.0124685204699324,-0.0553578893245405,0.150635556156057,-0.285605308277958,-0.0373167562203977,0,-0.0537381359356749,0.0171960765715619,-0.00186830739682959,-0.0555072511718396,0.0450564894477625,0.0011601457136513,0.074340436227652,0,0,0,0,0,-0.0432857782336176,0.00539141008169501,0,0,0,-0.163825124012032,0,0,0,0.502504202509433,0,0,-0.493920477010753,0,-0.237357226796691,"2016-10-25aadhlnoPrttU",2016-10-25,"Portland","Utah","Utah","Portland"
0.0191390005004906,0,-0.192914586012656,0.00878817877271092,0,0.072719243754898,-0.0287629370159358,0,-0.165239321390463,-0.285609220625139,-0.0715524331366241,0,0,-0.0177832500365339,0.0262252808258419,0,0.107721064838912,0,0,-0.0424232507752342,0.0714039586812144,0,0,-0.107579173170169,0.12212700325795,-0.00379671644763329,0.252010919562349,0,0,0,0,0,0,0,0,0,0,0,0,"2016-10-26 aaaaCdehhhiiiklllmoOpPty",2016-10-26,"Philadelphia","Oklahoma City","Philadelphia","Oklahoma City"
0.0359989197012467,0,0.105729780303522,0.00459497221336015,-0.089343641604594,0,0.0100356316775711,-0.13083236297738,0,-0.327267337496103,0.0366194941978818,0,-0.116206509306277,0.0134994659964513,0.0388198197030578,0,-0.00236646127186393,0.00934148115246969,-0.081553001578408,0,-0.0816032002496388,0,0.0798941253041634,0,-0.10494627518621,-0.00879675206141804,0.274904367849025,0,0,0,0,0,0,0,0,0,0,0,0,"2016-10-26 aAeHkLLnoorsstu",2016-10-26,"LA Lakers","Houston","LA Lakers","Houston"
-0.0409080263746753,0.0162738941511411,0,-0.00153505268692802,0,0,-0.0148004653873781,-0.11010061658304,0,0,0.0315928577340492,0,-0.118482158228524,0.0202366635037118,0,0,-0.0455855673055709,0.0117443646902315,0,-0.0249787746946974,0,-0.105139043103557,0,0,0,0.00646646088350989,0,0,0,-0.286649474046258,0,0,0,0,0,0,0,0,0,"2016-10-26 aDeeeelnnNOrrsvw",2016-10-26,"New Orleans","Denver","Denver","New Orleans"
0.0615900899028344,0,0.113452969331044,-0.00082867979604045,0.0535590273060947,-0.0505809053921569,0.0254273999811045,-0.0589964542295769,-0.147575889590933,0,0,0,0.0373175974455592,0.0208457561727203,0.0341464591027458,0,-0.0328085221917708,0.0030915889695086,0,0,0,0,-0.136296480831626,-0.0550547657130343,-0.0283914245044744,0,0,0,0,-0.202582338892334,0,0,0,0,0,0,0,0,0,"2016-10-26aaaadDiIllnns",2016-10-26,"Indiana","Dallas","Dallas","Indiana"
0.0141123459725726,0.0225960933757304,0,0.00604470010353014,-0.0675542795830437,-0.0609823711146089,0.00676842446658016,0.114946322553287,0,0,-0.0336806092267677,0,-0.0416249547298925,0.00139356719918978,0.0198517418242427,0.0518415295127217,-0.0437936849057346,0.00512974211424074,0,0.0297272277941827,0,-0.0668385636793853,0,0.0458875916969569,0.122830658840921,0.00486278165251178,0,0,0,-0.174754302092885,0,0,0,0,0,0,0,0,0,"2016-10-26aaCeeehikllMorttuw",2016-10-26,"Milwaukee","Charlotte","Charlotte","Milwaukee"
0.0399199304911794,0,0.164309252725887,-0.000731929347781507,-0.0563442099361568,0.0506382830342601,-0.0132716258095508,0.033903399479079,0.122849349332927,0,-0.10984467234151,0,-0.0494139668470177,-0.00964438181841209,-0.016939313360473,0,0.0300233438621978,0,0,-0.0260504357303688,-0.107004214193015,0.063689950899117,0,0.00555738694539505,0,0.0048710417907366,0,0,0,-0.16826599803033,0,0,0,0,0,0,0,0,0,"2016-10-26aaceehimnnooPrStx",2016-10-26,"Phoenix","Sacramento","Sacramento","Phoenix"
-0.0617637998741035,0.0180638245623545,0.123224112127842,0.0069022659501259,0.0631803798872464,0.0534136737209525,0,0.0532330827901301,0.1331656929922,0,0,0,0.103702817302383,0,-0.0171231963722662,0,-0.0142553047634493,0,0.0713754337056288,-0.00853660516945133,0,-0.0742422864812184,0,0,0.029307725050519,0.00984430936735226,0,0,0,-0.0544566018423266,0,0,0,0,0,0,0,0,0,"2016-10-26aadiilmMnoOr",2016-10-26,"Orlando","Miami","Miami","Orlando"
