"Variable","Coeff","DATE","AUROC","N"
"share_minutes_cluster_0",-1.23530663787621,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_1",-0.206060526725778,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_2",0.499013082461241,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_3",-0.55543905901954,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_4",0.187228685663696,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_5",-0.321906978264273,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_6",0.855821797014584,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_7",1.01104869729239,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_8",-1.26162805578918,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_9",-0.33427523468613,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_10",0.32964863014922,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_11",-0.37099003651326,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_12",2.91277835683368,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_13",-0.123550977062078,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_14",-1.28267124602585,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_15",-0.233808201817046,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_16",-0.0533162811895636,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_17",-0.0936520336514976,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_18",-0.667276040681173,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_19",-0.020277727129283,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_20",0.885863489126193,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_21",0.825764972694044,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_22",-0.728550643926812,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_23",1.94723445303387,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_24",-1.83646482681818,2019-10-22,0.715865025311279,3690
"share_minutes_cluster_25",0.659902150064474,2019-10-22,0.715865025311279,3690
"opposing_team_travel",1.77609802881516e-05,2019-10-22,0.715865025311279,3690
"opposing_team_rest",-0.0517191873809923,2019-10-22,0.715865025311279,3690
"selected_team_rest",0.0383235248794795,2019-10-22,0.715865025311279,3690
"selected_team_travel",1.80146307588177e-05,2019-10-22,0.715865025311279,3690
"selected_team_matchup_wins",0.110654183954182,2019-10-22,0.715865025311279,3690
"opposing_team_matchup_wins",-0.0844796301251631,2019-10-22,0.715865025311279,3690
"home_team_selected",0.464012085202433,2019-10-22,0.715865025311279,3690
"winrate_season_selected_team",1.11566521973228,2019-10-22,0.715865025311279,3690
"winrate_season_selected_team_adj",-0.0440455385537717,2019-10-22,0.715865025311279,3690
