"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","selected_team_travel","opposing_team_rest","selected_team_rest","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance","sim"
0.0279075775033292,0,0,-0.0779629717375149,-0.0236180473964945,0,0.00357584571228129,0,0,-0.0124759229219767,0.0366891189941621,-0.047532773865458,0,0.280961312237464,0.0392406468619718,-0.0171126423631889,0,0.00545363799301913,-0.0278868486797711,-0.0166039647645016,-0.0343296267309915,0,0,0,-0.0142745366558395,-2.73070190916983e-05,0,0,0,0,0,0,0.537307470841122,1.51114563367523,0,-0.920403066094101,0,"2017-04-13 aaddeeGllnnooPrSttt",2017-04-13,"Golden State","Portland","Golden State","Portland",0.122003497167399,0.537307470841122,0.590742567581133,1
-0.0279075775033292,0,0,0.0779629717375149,0.0236180473964945,0,-0.00357584571228129,0,0,0.0124759229219767,-0.0366891189941621,0.047532773865458,0,-0.280961312237464,-0.0392406468619718,0.0171126423631889,0,-0.00545363799301913,0.0278868486797711,0.0166039647645016,0.0343296267309915,0,0,0,0.0142745366558395,2.73070190916983e-05,0,0,0,0,0,0,0,1.07268849305968,0,-1.29661414618346,0,"2017-04-13 aaddeeGllnnooPrSttt",2017-04-13,"Golden State","Portland","Portland","Golden State",-0.122003497167399,0,-0.223925653123771,1
-0.0279075775033292,0,0,0.0779629717375149,0.0236180473964945,0,-0.00357584571228129,0,0,0.0124759229219767,-0.0366891189941621,0.047532773865458,0,-0.280961312237464,-0.0392406468619718,0.0171126423631889,0,-0.00545363799301913,0.0278868486797711,0.0166039647645016,0.0343296267309915,0,0,0,0.0142745366558395,2.73070190916983e-05,0,0,0,0,0,0,0.537307470841122,1.07268849305968,0,-1.29661414618346,0,"2017-04-13 aaddeeGllnnooPrSttt",2017-04-13,"Portland","Golden State","Portland","Golden State",-0.122003497167399,0.537307470841122,-0.223925653123771,1
-0.0279075775033292,0,0,0.0779629717375149,0.0236180473964945,0,-0.00357584571228129,0,0,0.0124759229219767,-0.0366891189941621,0.047532773865458,0,-0.280961312237464,-0.0392406468619718,0.0171126423631889,0,-0.00545363799301913,0.0278868486797711,0.0166039647645016,0.0343296267309915,0,0,0,0.0142745366558395,2.73070190916983e-05,0,0,0,0,0,0,0.537307470841122,1.07268849305968,0,-1.29661414618346,0,"2017-04-13 aaddeeGllnnooPrSttt",2017-04-13,"Portland","Golden State","Portland","Golden State",-0.122003497167399,0.537307470841122,-0.223925653123771,1
0,0.0854492996752409,0,-0.0413769926217628,0,-0.00185092138215303,0.0841711735076659,0.0114266497312071,0,0.0437030657276967,-0.0486772283492333,0,0,0,-0.0770840870726777,0.020379571332798,-0.0774401236723773,-0.0002457492112345,-0.0128103332962518,0,-0.0325588030872505,0,0,0.0377652062156543,0,-2.11183682822623e-05,0,0,0,0,0,0,0.537307470841122,1.31455091477849,0,-0.753023167010241,0,"2017-04-13 aAehiimMnnnoopsSt",2017-04-13,"San Antonio","Memphis","San Antonio","Memphis",-0.00917039087096031,0.537307470841122,0.561527747768248,1
0,-0.0854492996752409,0,0.0413769926217628,0,0.00185092138215303,-0.0841711735076659,-0.0114266497312071,0,-0.0437030657276967,0.0486772283492333,0,0,0,0.0770840870726777,-0.020379571332798,0.0774401236723773,0.0002457492112345,0.0128103332962518,0,0.0325588030872505,0,0,-0.0377652062156543,0,2.11183682822623e-05,0,0,0,0,0,0,0,0.877614727737839,0,-1.12792921740758,0,"2017-04-13 aAehiimMnnnoopsSt",2017-04-13,"San Antonio","Memphis","Memphis","San Antonio",0.00917039087096031,0,-0.250314489669742,1
0,-0.0854492996752409,0,0.0413769926217628,0,0.00185092138215303,-0.0841711735076659,-0.0114266497312071,0,-0.0437030657276967,0.0486772283492333,0,0,0,0.0770840870726777,-0.020379571332798,0.0774401236723773,0.0002457492112345,0.0128103332962518,0,0.0325588030872505,0,0,-0.0377652062156543,0,2.11183682822623e-05,0,0,0,0,0,0,0.537307470841122,0.877614727737839,0,-1.12792921740758,0,"2017-04-13 aAehiimMnnnoopsSt",2017-04-13,"Memphis","San Antonio","Memphis","San Antonio",0.00917039087096031,0.537307470841122,-0.250314489669742,1
0,-0.0854492996752409,0,0.0413769926217628,0,0.00185092138215303,-0.0841711735076659,-0.0114266497312071,0,-0.0437030657276967,0.0486772283492333,0,0,0,0.0770840870726777,-0.020379571332798,0.0774401236723773,0.0002457492112345,0.0128103332962518,0,0.0325588030872505,0,0,-0.0377652062156543,0,2.11183682822623e-05,0,0,0,0,0,0,0.537307470841122,0.877614727737839,0,-1.12792921740758,0,"2017-04-13 aAehiimMnnnoopsSt",2017-04-13,"Memphis","San Antonio","Memphis","San Antonio",0.00917039087096031,0.537307470841122,-0.250314489669742,1
0.107736461555051,-0.0110271288805432,0,0.0319941585059594,-0.00281151623179594,0.0572236957066504,0.117650202089208,0.0216364694757434,0,-0.0226301075367909,0,-0.068709065318187,0,0.00690650929219352,0,-0.052586668318279,0.0311839759174039,-0.0292944414669651,0,0,0,0,0,0,0.0223357081456394,3.50835023278987e-05,0,0,0,0,0,0,0.537307470841122,1.11293381357369,0,-0.934664233949441,0,"2017-04-13 aaChHiklmnoooOsttuy",2017-04-13,"Houston","Oklahoma City","Houston","Oklahoma City",0.209643336437616,0.537307470841122,0.178269579624247,1
0.107736461555051,-0.0110271288805432,0,0.0319941585059594,-0.00281151623179594,0.0572236957066504,0.117650202089208,0.0216364694757434,0,-0.0226301075367909,0,-0.068709065318187,0,0.00690650929219352,0,-0.052586668318279,0.0311839759174039,-0.0292944414669651,0,0,0,0,0,0,0.0223357081456394,3.50835023278987e-05,0,0,0,0,0,0,0.537307470841122,1.11293381357369,0,-0.934664233949441,0,"2017-04-13 aaChHiklmnoooOsttuy",2017-04-13,"Houston","Oklahoma City","Houston","Oklahoma City",0.209643336437616,0.537307470841122,0.178269579624247,1
