"","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","opposing_team_travel","selected_team_travel","opposing_team_rest","selected_team_rest","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"1",0,0.158537920327949,-0.100390705265911,-0.0627378963788569,0,0,0.0473012792461975,0.000288880722347151,0,-0.475661130439553,-0.00343504096694459,0,0.118448812878552,0,0,0,-0.0243421911599807,-0.0653516606443863,0,-0.0106350833389457,0.0827276347437068,0.0302194125020413,0.133334922749544,0.0660688278737018,0,0.0325542307736795,0,0,0.563051471723365,-1.25900936201746,0,-0.101755888468439,0,0,"2015-10-27  aadeeeeGllnnNoOrsSttw",2015-10-27,"Golden State","New Orleans","New Orleans","Golden State"
"2",0,-0.132320400537335,0,-0.0313320605926796,0.0541240148926722,-0.0179136707512166,0,0.155910034749351,0,0,-0.00432037432189328,0,-0.013355010004956,-0.0580492351221363,-0.012801440375856,0.0342134357115961,0,-0.00414769197900131,-0.100386460347652,0.0208303122562439,0,0.028743335091883,0,-0.0736582810112222,-0.00496179220039892,0.0438654555588087,0.352769754710354,0,0.725528269696427,-0.510605878309912,0.0930928516158605,0,0,0,"2015-10-27aaADeilnortttt",2015-10-27,"Atlanta","Detroit","Atlanta","Detroit"
"3",-0.00394280247099949,-0.134040049911507,0,0.0345351391205827,0.0442937988657527,0.0273434636768149,0,0.14804085576031,-0.0637599704134062,0.523451494407048,0.000254496987267899,0,0,-0.0846148363065699,-0.0129990140519184,0,-0.00185832509335161,0,0,0,0,0.0323134168063683,0,-0.032453543141194,0,-0.173920243553274,0,0,1.04065321605305,-0.736154979238804,0,-0.0163337659703724,0,0,"2015-10-27aacCCdeeghillnov",2015-10-27,"Chicago","Cleveland","Cleveland","Chicago"
"4",-0.0270314609968268,0,0,0.0351310195379416,0.00673071274243484,-0.0269498789719118,-0.0517313431243508,0,-0.0545030188244323,0.487847276764107,-0.00609848561498118,0,-0.100422309669604,0.0517335273448922,0,0,0.0342223789940954,-0.0281284500738566,-0.0935331789277258,0,0,0,0,0.0421763494101476,-0.0620910670386779,0.0890653054504415,0.34319893357566,-0.0106939553547267,0,0,0.0653546374700276,-3.23927830476285e-09,0,0,"2015-10-28  aaaAChiiklmnnnoooOStty",2015-10-28,"Oklahoma City","San Antonio","Oklahoma City","San Antonio"
"5",0.0264956252751626,0.150436442744005,0,0.0760484109093407,0,-0.0624010127260303,0,0.159698758934486,-0.0594303299830587,0,0,0,0.158989767778238,0,0,0,0.0394195672330009,-0.035584241481299,0.11303273720468,0,0,0.0327779292400876,0.210929378514271,0.0326273029797169,0,0.0567100371643511,0,-0.0106939553547267,0,0,9.1482312364262e-09,-0.0198475600285996,0,0,"2015-10-28 aaAcCeeilLmnopprrsSt",2015-10-28,"Sacramento","LA Clippers","LA Clippers","Sacramento"
"6",0,0,0.159027835007516,0.0142366559270351,-0.0113420137353165,0.0224001438388158,-0.0828959793059591,0,-0.0653690071112586,0,-0.00466561359684646,0,-0.103794692061415,0.167141972790431,0.00731138100724778,-0.252204613149575,0.00684019239836927,-0.0606356817590343,-0.108937570294695,0,0,0,0.170711163185334,0.119956346160357,0,0,0.34319893357566,-0.0106939553547267,0,0,0.233910754239699,0,0,0,"2015-10-28 aaAeeikLLMnnorsst",2015-10-28,"LA Lakers","Minnesota","LA Lakers","Minnesota"
"7",0,-0.012151895310223,-0.081637956931071,0.0363377650764197,-0.00354760230108685,0.0173992227108829,-0.0490433015660121,0.00553365833481065,0,0,0.00482155886982317,0,-0.0724984750045673,0.0189209762509201,-0.0104990037652886,0,-0.0253795051723242,-0.0258122344571282,0,0,0,0.0030388401653763,0,1.49650095440127e-06,0,-0.0768324629073717,0.34319893357566,-0.0106939553547267,0,0,0.0827695807224663,0,-0.0159986894904732,0,"2015-10-28 aadeellnnNoOPrrstw",2015-10-28,"Portland","New Orleans","Portland","New Orleans"
"8",0,0.138004148886998,-0.105871254690487,0.010565824979092,0,-0.0149106298884841,-0.00140532494598994,0.1598819011076,0,0,0,0,0.0345654132130685,0.150004243425479,0,0,0.114188009938468,-0.0063102639059421,0,0.00955970022946814,-0.0581947639543469,0.0282109464822885,0,-0.0507245804081313,0,0.0796796737952092,0.34319893357566,-0.0106939553547267,0,0,0.113525690894752,0,0,0,"2015-10-28 aeeeikklMNoruwwY",2015-10-28,"Milwaukee","New York","Milwaukee","New York"
"9",0,0,-0.219255629551086,0,-0.10672502382113,-0.0249055879947721,0,-0.0239671539757118,0,0,0,0,-0.0922855175833358,-0.0734130250954846,-0.015471977071246,0,0.0486850357551323,0.00792190219986483,0.101941253706712,-0.00724942033985972,-0.0278422063271697,0,0,-0.0349740018622606,0.107035176272008,0.0509629565167445,0,-0.0106939553547267,0,0,0,-0.0148640758521496,0,0,"2015-10-28aaBdehhiillnoopPst",2015-10-28,"Boston","Philadelphia","Philadelphia","Boston"
"10",-0.0211260922661735,0,0.140839717538022,0,-0.048163821419357,0.0496638641496056,0.00934642504718707,0,0,0,0.00549277296942508,0,-0.0345258687499994,0.00424113472879656,0.000935591771690374,0,0,0.0145142468026396,0.089878975484018,0,0,0.0293514104898311,0,0.0334380311759806,0,0.149368396736414,0.34319893357566,-0.0106939553547267,0,0,0.101599659835564,0,0,0,"2015-10-28aaCehiilmMortt",2015-10-28,"Miami","Charlotte","Miami","Charlotte"
