"","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","opposing_team_travel","selected_team_travel","opposing_team_rest","selected_team_rest","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"1",0,0.160886130865546,0,0,0,0,0.000355100287419089,-0.0548318963205085,0,-0.468116525665658,-0.0468892961776982,0,0.114032585271657,-0.0616235818623825,0.000238805302086226,0,-0.00379847357249275,-0.111307782671946,0,-0.0342698899416766,0.0798133379872917,0.0376355779222835,0.111280354647231,0.0314221515715061,0.0706832033479835,-0.0140243065346622,0,0,0.485864248640473,-1.47235810598043,0,-0.308946524057943,0,0,"2015-10-27  aadeeeeGllnnNoOrsSttw",2015-10-27,"Golden State","New Orleans","New Orleans","Golden State"
"2",0,-0.134280285959308,0,-0.00891691709718504,0.111158108990885,-0.0218448367364568,0,0.000296586189016133,0,0,0,0,-0.0128570838338029,-0.0586365904216792,0,0.0429805379784308,-0.00325220183242867,-0.0672569982731994,-0.137479910599996,0.0990672673473721,0,0.0357972554073907,0,-0.0148249251389115,0.0548215801248182,-0.0508499972891902,0.359572683673084,0,0.626067536142893,-0.59713194085083,0.033140304082311,0,0,0,"2015-10-27aaADeilnortttt",2015-10-27,"Atlanta","Detroit","Atlanta","Detroit"
"3",0.00424072835351574,0.136025406203623,0,0.00905453818030607,-0.0909691369293869,-0.0333440034778294,4.56223071582251e-05,-0.0111829559654756,0.130908732993789,-0.515148872244173,-0.00347395699998035,0,0,-0.00255111100234411,0,0,0,0,0,0,0,-0.0402434731670959,0,-0.000297501561184403,0.0566285303091253,0.0770624095502607,0.359572683673084,0,0.58239252359463,-1.32742756305098,0.0170461022449276,0,0,0,"2015-10-27aacCCdeeghillnov",2015-10-27,"Chicago","Cleveland","Chicago","Cleveland"
"4",-0.0261461057481459,0,0,-0.00136813159132344,-0.0650536863894918,-0.0150856567157724,0.000383038541647473,0.0126794432013469,-0.107566659533905,0.455439066483667,-0.0575717939239556,0,-0.0916018569246928,-0.0139115991188701,0,0,-0.00310619576060078,-0.0507355167252199,-0.114521785077416,0,0,0,0,0.00313353862402003,0.0509785694332049,0.063884351449189,0.327994284772322,0.0256617786015281,0,0,0.023762772296302,-9.12276657122839e-09,0,0,"2015-10-28  aaaAChiiklmnnnoooOStty",2015-10-28,"Oklahoma City","San Antonio","Oklahoma City","San Antonio"
"5",0.0256278201311047,0,0,0,0.0934212219700319,-0.0755963619907004,-0.00126070005582586,-0.0013626361496026,0.00467716362273767,0,0,0,0.145025124481084,0.136586528941527,0.129208760004226,0,-0.00331470666561636,-0.0590439417010103,0.138396994363561,0,0,0.0386188101389636,0.166082585122786,0.0135146159798408,0,0.0310590514395658,0,0.0256617786015281,0,0,3.32627253704543e-09,-0.0558966041550458,0,0,"2015-10-28 aaAcCeeilLmnopprrsSt",2015-10-28,"Sacramento","LA Clippers","LA Clippers","Sacramento"
"6",0,0,0.11863059205591,0.00128296327118032,0.261073362789069,0.0271368894238554,0.00236763278817053,0.0600250533308519,-0.129011674649738,0,-0.0440449910821473,0,-0.0946780308383022,-0.143682180345759,-0.121320138488098,-0.293594365178403,-0.00363133321087188,0,-0.133382882471953,0,0,0,0.134415373955221,0.016440482310056,0,0,0.327994284772322,0.0256617786015281,0,0,0.085049327879806,0,0,0,"2015-10-28 aaAeeikLLMnnorsst",2015-10-28,"LA Lakers","Minnesota","LA Lakers","Minnesota"
"7",0,-0.0118270139901159,-0.145025965301598,-0.00181427087154005,-0.00673478956297261,0.0210784710207121,0.00221242651215097,0,0,0,0.0455171678955475,0,0.0520580031841289,0.0652643380963951,0.00447716147888947,0,0,0,0,0,0,0.00358034793869153,0,6.03200239746268e-07,0.120250605412191,-0.0420797364451154,0.327994284772322,0.0256617786015281,0,0,0.0300947993272913,0,-0.0347430374644215,0,"2015-10-28 aadeellnnNoOPrrstw",2015-10-28,"Portland","New Orleans","Portland","New Orleans"
"8",0,0,-0.0368884328608107,0,-0.0771547198242775,0.0180636391192574,-4.0138176157846e-05,0.0240790776507452,0,0,0,0,-0.0264321372739406,-0.0189767194612162,-0.129356936315993,0,0.00301864669421252,-0.0830052366785545,0,-0.048169547709537,0.0500737072159208,-0.0332380114088334,0,0.017132248352299,0,-0.0943427159986725,0,0.0256617786015281,0,0,0,-0.113209685140714,0,0,"2015-10-28 aeeeikklMNoruwwY",2015-10-28,"Milwaukee","New York","New York","Milwaukee"
"9",0,0,0.0860153446948348,0.00267362103615034,0.0120455595162863,0.0301721360502638,-0.000998362978454261,0.119917072027245,0,0,0,0,0.0841797485608787,0,-0.0982526104316472,0,0.00804204999898547,0.0814793512622388,-0.124816610334001,0,0.0239568372330826,0,0,-0.0256716984089303,0,-0.0279114803500947,0.327994284772322,0.0256617786015281,0,0,0.0152632662722646,0,0,0,"2015-10-28aaBdehhiillnoopPst",2015-10-28,"Boston","Philadelphia","Boston","Philadelphia"
"10",0.0204341542065115,0,-0.0207699689220138,0.00149085179400109,0.13199947583623,-0.023917197114198,0.000266947837267514,0.0565702033184695,0,0,-0.0518536589952734,0,0.031493337484902,0,-0.1266441475593,0,0,0.129233371922145,-0.110047587726198,0,0,-0.0345817010194553,0,0,-0.0851603158096028,-0.0946627048346515,0,0.0256617786015281,0,0,0,-0.101316850923648,0,0,"2015-10-28aaCehiilmMortt",2015-10-28,"Miami","Charlotte","Charlotte","Miami"
