"","X.Intercept.","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","travel","rest_differential","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"1",0,0,0,0.0794024600005263,0.048309585761385,0.14382625609245,-0.0203565418097824,-0.000194304327968044,0,0.0179392692928542,0.000327150302357095,0.126393646867728,0,-0.144406385233578,-0.0506434319772674,-0.0986512556571973,0.0227382261734054,0,0,0,-0.00835318473305666,-0.0866026953080587,0.0231165896192308,0,-0.176150648058663,0,-0.0698534494976987,0,0,0.470721232750252,-1.07432880866135,-0.161821275617518,0,"2015-10-27  aadeeeeGllnnNoOrsSttw",2015-10-27,"Golden State","New Orleans","New Orleans","Golden State"
"2",0,0,-0.0117273980043141,0,0,0,-0.0655176405654201,-0.0100021922324088,-0.0638614719918034,0,0.351154473947135,-0.103912322817225,-0.0282148399192214,-0.0829174295900059,0,-0.0492676244853644,0.00634594517067908,0,0,0,0.0791131447891715,0.0752819342866397,0.0809261906102533,0.0383495493485399,0.17056438775871,-0.0724922054645205,0.0689850103860336,0.258099390765273,0,0.606554779905547,-0.435706533636215,0.050500281431908,0,"2015-10-27aaADeilnortttt",2015-10-27,"Atlanta","Detroit","Atlanta","Detroit"
"3",0,-0.00246652637839074,0,0,-0.00357918410602496,0,0,0,0.0974782814760184,-0.00230478792293062,0.167652622610753,0,0,-0.0633360262702075,0,0.00214349398524205,-0.0386738452914704,0,0.347649430916412,0,0,0.0049269234703919,-0.0835935634715523,0,0.0758400524971915,-0.0734343215347044,-0.0811147707418507,0,0,0.870004945065979,-0.628170469335063,-0.0259754092342623,0,"2015-10-27aacCCdeeghillnov",2015-10-27,"Chicago","Cleveland","Cleveland","Chicago"
"4",0,-0.0195009448953213,-0.014575159712702,-0.112217951589609,0.128020638303747,0,-0.0292007376620784,0.0289800567018932,-0.0418199832750746,0,0,-0.103851316957105,0,0.0189035046332302,0,-0.0130031827065827,0.0234112721328706,0,0.355526822171209,0,0.103151019035326,0,0.0874290482682085,0,-0.0221146407357591,0,-0.072576771820064,0.276610751894444,-0.0410475652746985,0,0,0.0374750176359523,0,"2015-10-28  aaaAChiiklmnnnoooOStty",2015-10-28,"Oklahoma City","San Antonio","Oklahoma City","San Antonio"
"5",0,0.0191143841066779,0,0,0,0.107428507038611,-0.0141650788693497,0.0758798134397319,-0.137330935957792,0.0556953747833393,0.0240391576591074,0.125501974299868,0,0.0890275786775169,-0.0557930533740111,0.12766753670148,0.019380707857982,0,0,0,0.128358698332812,0,0,0,-0.0953780734614039,0.0896828158803302,-0.0791380292578958,0,-0.0410475652746985,0,0,-0.0321411514622619,0,"2015-10-28 aaAcCeeilLmnopprrsSt",2015-10-28,"Sacramento","LA Clippers","LA Clippers","Sacramento"
"6",0,0,0.013667833344083,0,-0.0276103876218971,0.0869449553447785,0,0,0.0752280317141682,0.00319028573059261,-0.183390215429604,0,-0.0417726606256503,0.0894900395649165,0,-0.134299847684787,0.0329484236368808,0.19251835738488,0,0,0.0222766456031198,0,0,-0.336640925256305,0.0615949887702234,0,-0.0870460318629402,0.276610751894444,-0.0410475652746985,0,0,0.134126819147176,0,"2015-10-28 aaAeeikLLMnnorsst",2015-10-28,"LA Lakers","Minnesota","LA Lakers","Minnesota"
"7",0,0,-0.00195729099875585,0,-0.0536547407429542,0,0,-0.0608214595888595,0.058433074685353,-0.0977408727836729,-0.182123954841045,-0.137239233992747,0,0,0.050382110679776,0.061002628471409,-0.0262575655399687,-0.235353799843312,0,0,0.0758673752933761,0.0899863279348986,0.206231679345946,0,-0.00640731548374222,0.0855240014456392,0,0.276610751894444,-0.0410475652746985,0,0,0.183193950591495,-0.0413324229658035,"2015-10-28 aadeellnnNoOPrrstw",2015-10-28,"Portland","New Orleans","Portland","New Orleans"
"8",0,0,0,-0.0675156937507797,0,0,0.1282129039255,-0.057682271862023,-0.0500754524703269,0.0388923791193943,0,0,0.00436842061550969,0.0435043665179133,-0.0480193495839486,-0.0362660134633575,0,-0.128167248496627,0,0,0.161934614471346,0,0,0,0.200720094874224,0,0.154291698225177,0.276610751894444,-0.0410475652746985,0,0,0.0650967924099587,0,"2015-10-28 aeeeikklMNoruwwY",2015-10-28,"Milwaukee","New York","Milwaukee","New York"
"9",0,0,-0.0284829718575796,-0.0323016324493708,0,0,-0.0450765975263414,0,-0.0836422469879,0.0506621335084411,-0.0293123168705596,0.113186930788281,0.0402919120061262,-0.135973238321377,0,0,0.0174166377103161,-0.265429845325933,0,0,-0.116104361154035,0,0.140757232560013,0,-0.259734230965572,0,0,0,-0.0410475652746985,0,0,-0.0240708939850577,0,"2015-10-28aaBdehhiillnoopPst",2015-10-28,"Boston","Philadelphia","Philadelphia","Boston"
"10",0,-0.0152407138180391,-0.0158825387435976,0,-0.0611240716107275,0,-0.0410888826569183,-0.0289649365840601,0.0663025019160532,0.0117932570681743,0,0.0997939990683216,-0.0323672479602233,-0.084339279221651,0,-0.0354836623701666,-0.0128913693490081,0.17049990697345,0,0,0,0.0809251396748016,0.146051280846732,0,-0.0385669043992013,0,0,0.276610751894444,-0.0410475652746985,0,0,0.058258284209604,0,"2015-10-28aaCehiilmMortt",2015-10-28,"Miami","Charlotte","Miami","Charlotte"
