"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance"
-0.0265607314903143,0.0644647925807488,0,0.0620436471056983,-0.0412143607594951,0.234118806373622,-0.0191896395148412,-0.160162673878081,-0.00335834876211412,0,-0.0436537444374611,0.0291029929360217,0,0,0,0,0.00629546242108773,-0.00869179434370857,0,0,0,0.0333617128742495,0.00159760143476679,0,0.0186563044134472,0,0,0,0,0,0,0,0,0.788961403374898,0,-0.754705906351681,0,"2018-10-16  aaaCdeeGhikllmnooOSttty",2018-10-16,"Golden State","Oklahoma City","Oklahoma City","Golden State",0.146810026953626,0,0.0342554970232165
0.0580103547823564,-0.0729260834728645,0,-0.120132692708876,0.0867469692461615,0,-0.0234526682115337,0.162261434320283,0,-0.0605263910641461,-0.0523291648104609,0,0,0.0234748899766482,0,0.0392235764014273,0.00626705938167774,0.0236693462707074,0.0544096319412148,0,0,0,0.00101677694054717,0.049366040373392,0,0,0,0,0,0,0,0,0,0.985864591225727,0,-0.70357406987799,0,"2018-10-16aaBdehhiillnoopPst",2018-10-16,"Boston","Philadelphia","Philadelphia","Boston",0.175079079366534,0,0.282290521347737
-0.101830594285681,0.0218756990206318,0.103746739131556,0.0636200041571152,0,0,0.00949809809832675,0,0.0057856229121137,0.0655927596497232,-0.0214615037976207,0,0,0,0,0.106277019634728,-0.00579446316513707,-4.92046557878386e-05,-0.0514051842868937,0,0.00380339853810703,0.0333467347967047,-0.0010343217989824,0,0.199100770979948,0,-4.53979222936706e-10,0,0,-4.38672679084191e-10,0,0,0,0,0,0,0,"2018-10-17 aaAeiiMnnnnnooosStt",2018-10-17,"San Antonio","Minnesota","Minnesota","San Antonio",0.431071574928852,-8.92651902020896e-10,0
0,0,0.0596555617160777,-0.0490701757577569,0.0375504714151149,0,0.0322505481717581,0,0.00500436702601921,0.083030285119825,0.0785235631704809,-0.0199704032124099,0,-0.0728681746471032,0,-0.0488067526229281,-0.00333507899980183,-0.0128082699988493,0,0.0136446950009528,-0.0388982938999297,-0.00157420448247234,-0.00119180556294296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018-10-17 aaAeklnNorttwY",2018-10-17,"New York","Atlanta","Atlanta","New York",0.0611363324360343,0,0
0,0,0,0,0,0,-0.00993009492936194,0.149435025701804,0,0.0389531566195912,0.0149603261733738,-0.00104009671907631,0,0,0,0.0563926769763406,0.00218695801220507,0.00178307086777937,0,-0.0104523996764435,0,0.0245911646973047,0.00124705299135814,0,-0.0291905348232779,0,-0.00638835213861493,0,0,-0.00617295991973215,0,0,0.528655025481851,0,0,0,0,"2018-10-17 ACDeeeilLnpprrsv",2018-10-17,"LA Clippers","Denver","LA Clippers","Denver",0.238936305891598,0.516093713423504,0
-0.120965192660308,0.0310400095873236,0,-0.133532563080424,0.0442482838227298,0.209845983870296,0,-0.0148652401707911,-0.00428304085504551,0,-0.0628090565913595,-0.0133816130912045,0,-0.0249882339707632,0.158742016849725,0,0,0.00100250010978793,0,0,0,0,0.00118144209733921,-0.118349313929922,0,0.0165019110301955,0,0,0,0,0,0,0.528655025481851,0,0,0,0,"2018-10-17 aeeHlnnNooOrsstuw",2018-10-17,"Houston","New Orleans","Houston","New Orleans",-0.0306121069824214,0.528655025481851,0
0,-0.0355078836494885,-0.056753108898134,-0.067333575814493,-0.0567222908174266,0,0.0656807809619878,0,-0.0101722217713531,0.051974742701814,0.0131879716886182,0.0204559134442995,0,0,-0.187440093117352,-0.0548541737160261,0.00513809710015225,-0.00508578335939538,0,-0.0155505493799118,0,-0.0257985289603101,-0.000216426043213885,0,0,0,-0.00409513759704215,0,0,-0.00395706431076766,0,0,0.528655025481851,0,0,0,0,"2018-10-17aaacehmnorSttU",2018-10-17,"Sacramento","Utah","Sacramento","Utah",-0.358997129630232,0.520602823574041,0
0,-0.0379453153996695,0,0,0,0,0.000411859758834211,-0.158631867410244,0.00568250993367423,0.00200491196977569,0.00991077566005723,0,0,0,0,0,-0.00549192541938215,-0.000195800085416755,0,0,0.041042178707315,-0.0257156806751079,-0.000696195127305086,-0.0588031262294092,-0.184233288010577,0,-0.00506929533756168,0,0,-0.00489837696186202,0,0,0.528655025481851,0,0,0,0,"2018-10-17aaCeeehikllMorttuw",2018-10-17,"Charlotte","Milwaukee","Charlotte","Milwaukee",-0.412660962327455,0.518687353182427,0
-0.119931954440605,-0.0708010468157648,-0.00326707203981149,-0.0682594761079868,0,0,-0.0467727633702942,0.0272019982414438,0,0.189412728100403,0.0627747474538046,0,0,0,0,-0.109518035623955,0.00385664307200221,-0.000187176957094943,0,-0.00169351070831428,-0.0345991816095564,-0.0248683733773637,0,0,0,0.0338768716473382,-0.00295374276137317,0,0,-0.00285415319686945,0,0,0.528655025481851,0,0,0,0,"2018-10-17aadehiiImMnnps",2018-10-17,"Indiana","Memphis","Indiana","Memphis",-0.162775602535754,0.522847129523608,0
0,-0.0388353355031955,-0.00597454226766044,-0.179197419014207,-0.0422476149017681,0,0.024626247454738,-0.169523443756055,0.000326157708988353,0.0502418905642951,-0.0813755484725633,-0.018352373603334,0,0,0,0.117935252271826,-0.00469624848243999,0.000426997835264642,0,-9.18348727004424e-05,0,-0.0213335799195497,0.0003380655688026,0,0,0,-4.53979222936706e-10,0,0,-4.38672679084191e-10,0,0,0,0,0,0,0,"2018-10-17aaDehillnoPsx",2018-10-17,"Phoenix","Dallas","Dallas","Phoenix",-0.36773332938956,-8.92651902020896e-10,0
