"share_minutes_cluster_0","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance"
0.0223343409759357,0,-0.142937675022067,0.141299538088927,0,0,0,0,1.73169328382785,10.8973156234887,-1.58555050160839,-76.4326942531964,"2019-10-25aaCeehilMnnoorsttt",2019-10-25,"Charlotte","Minnesota","Minnesota","Charlotte",0.0223343409759357,-0.00163813693313955,-65.3892358474883
0.00209384446649397,-0.0165186801710069,-0.142937675022067,0.141299538088927,-0.0162163973284448,0,0,0.652507532290901,0,0,0,0,"2019-10-25acCeghhiimMops",2019-10-25,"Memphis","Chicago","Memphis","Chicago",0.00209384446649397,0.61813431785831,0
0.0153548594209558,-0.00859956358072021,-0.142937675022067,0.21194930713339,-0.00844219625493736,0,0,0,1.73169328382785,10.8973156234887,0,0,"2019-10-25BnnooooorsttT",2019-10-25,"Boston","Toronto","Toronto","Boston",0.0153548594209558,0.0519698722756664,12.6290089073165
0.0181466520429478,-0.0186195160254657,-0.142937675022067,0.141299538088927,-0.0182787890319624,0,0,0.652507532290901,1.73169328382785,10.8973156234887,-1.58555050160839,-76.4326942531964,"2019-10-25DeeehinnoPrvx",2019-10-25,"Denver","Phoenix","Denver","Phoenix",0.0181466520429478,0.613971090300334,-65.3892358474883
-0.0277602208113015,0,-0.230682852223638,0.0757225899665076,0,0,0,0,1.05423284189757,5.73043782491373,-1.98212722860504,-79.89989725219,"2019-10-26 aaAghiinnnnnooosSttW",2019-10-26,"San Antonio","Washington","Washington","San Antonio",-0.0277602208113015,-0.15496026225713,-75.0973538139838
-0.00224531197738468,-0.0225047353889554,-0.076894284074546,0.151445179933015,-0.0220532279795144,0,0,0,2.13142516770878,11.585675304923,-0.923817079461063,-37.2392289775993,"2019-10-26 ACeehiilLnoppPrsx",2019-10-26,"Phoenix","LA Clippers","LA Clippers","Phoenix",-0.00224531197738468,0.0299929324899994,-24.4459455844285
-0.0244943124805602,-2.26643802052587e-09,-0.153788568149092,0.0757225899665076,-2.22096698780231e-09,0,0,0,0,0,0,0,"2019-10-26 aeeHlnnNooOrsstuw",2019-10-26,"Houston","New Orleans","New Orleans","Houston",-0.0244943124805602,-0.0780659826699894,0
0,-0.0073013490404165,-0.076894284074546,0.0757225899665076,-0.00715486372816168,0,0,0.687603598103076,0,0,-0.991063614302518,-39.949948626095,"2019-10-26 BeknNooorstwY",2019-10-26,"New York","Boston","New York","Boston",0,0.671975691226459,-40.9410122403975
0.0244943124805602,-0.0229544658489186,-0.153788568149092,0.227167769899523,-0.0224939355991102,0,0,0,2.13142516770878,11.585675304923,-1.98212722860504,-79.89989725219,"2019-10-26aaaAdllnnoOrtt",2019-10-26,"Atlanta","Orlando","Orlando","Atlanta",0.0244943124805602,0.027930800302402,-68.1649240081632
0.0212284041498188,-0.010094535044802,-0.230682852223638,0.227167769899523,-0.00989201067431651,0,0,0.687603598103076,0,0,0,0,"2019-10-26aaaCddeeiIllnnnv",2019-10-26,"Cleveland","Indiana","Cleveland","Indiana",0.0212284041498188,0.664101970059842,0
