"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances"
0,0.00529383506654485,0,-0.019825126200419,-0.0198788754616078,-0.00533036215629507,0,0,-0.00574851267570316,0,-0.0168764938939222,0,0,0.0127408712762323,0,0.00861483034830215,0,-0.0100236256620319,0,-0.00148375396991572,-0.0588513454150111,0.0729686769662148,-0.0453432183878886,-0.217986302356601,0,0.0590859212178451,0,0,0,0,0,0,0.496052485721158,0.767741495841569,0,-0.348740166441855,0,"2019-10-22  aAACeeiklLLLpprrss",2019-10-22,"LA Clippers","LA Lakers","LA Clippers","LA Lakers",-0.242643481304257,0.496052485721158
0,0.0149044659829842,0,0,0.0195414842802022,-0.000898451153599798,-0.00265531632507849,0.0904250757283711,-0.246308027834061,0,0,0,0,0.0120675850584269,-0.0171765591124435,0.0206691065460193,0,-0.0085734909173824,0.0855250562586509,0.00308385392414706,0,-0.00721501668969443,-0.143361686687313,0,0,-0.0606647546571575,0,0,0,0,0,0,0,0.47611875711105,0,-0.685025326939359,0,"2019-10-22 aeelnnNoooOrrstTw",2019-10-22,"Toronto","New Orleans","New Orleans","Toronto",-0.240636675597929,0
-0.0644075803061587,0.0152102212119486,0,-0.0204238530055257,-0.0196300786025239,-0.0389525007548386,0,0,0,-0.0151113998916864,0.0211899035320255,0.026141080070937,0,0.0234030947612952,0,0,0,-0.00272393174954,0.0949611362065965,7.08283214400588e-05,-0.066468249598428,0.119277005493566,0,0,0,0.0365454698654266,-0.0409975887012262,0,0,-0.0404443297200057,0,0,0.546392499875567,0,0,0,0,"2019-10-23  aAeiknnnNooorStwY",2019-10-23,"San Antonio","New York","San Antonio","New York",0.109081145554534,0.464950581454335
-0.0408478837036446,-0.0218609086206599,-0.0648671322054128,0.0660377064945724,0.0448650975943615,-0.0206338707264631,0,0,0,0,-0.0158470085629502,-0.0300546651307177,-0.431932536561346,0.0140944275612345,0,-0.0291428058981231,0,0,0,0,-0.00551059573082084,0.111429208950087,0,-0.274938130208992,0,0,-0.0223296637726749,0,0,-0.0220283268545479,0,0,0.546392499875567,0,0,0,0,"2019-10-23 aaaChhiklmoOttUy",2019-10-23,"Utah","Oklahoma City","Utah","Oklahoma City",-0.699209096748874,0.502034509248344
0,0.0225487846566745,0,-0.0616180957916892,0.00276931071925664,0.0301567679407783,0.105430394455096,0,0.0722064359309345,-0.0409835805361544,0,0.0286878341036211,0,-0.000541115151182631,0,0.017725509046877,0,-0.00931030125676732,0.0908497634501108,0.00012392745926078,0,-0.0900629171512231,-0.0570293806828147,0,0,-0.0708981876193614,-2.16275500271417e-09,0,0,-2.13356880744422e-09,0,0,0,0,0,0,0,"2019-10-23aaaDghillnnosstW",2019-10-23,"Dallas","Washington","Washington","Dallas",0.040055149573417,-4.29632381015839e-09
0.143960733176779,-0.022130413557985,-0.0550190691986127,-0.0409848676224083,0,0.0642472592496085,-0.0135331943787315,0.120986734575716,-0.197291239635697,0.0181253699376267,0,0,0,-0.0131582245898478,0,0.0121029660724891,0,0.018839857353856,0.0219367284731718,-1.47008562635547e-06,0,0,-0.0333937069721849,0.223343011125312,-0.128830019720567,0,-0.00701342916144287,0,0,-0.00691878352994002,0,0,0.546392499875567,0,0,0,0,"2019-10-23aaBdehhiillnoopPst",2019-10-23,"Philadelphia","Boston","Philadelphia","Boston",0.119200454202897,0.532460287184184
0,-0.00275813392567451,0,0,0.0375318350275391,0.0601743076362721,0,0,0.0856443608260829,0.0248120006345858,0,0.0348283581185731,0,-0.0124333069742619,0,0,0,0.00485793006002549,-0.002924629599606,0.000116023458978564,0,-0.0194574612918614,-0.0137408354822237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-10-23aacCCeghhiloortt",2019-10-23,"Charlotte","Chicago","Chicago","Charlotte",0.196650448488429,0
-0.0664932554724034,-0.0176770832065621,0.0527563157414142,-0.0140085647861616,0,0.0258078345907377,0,0,0.00359924542052749,0,0.0170813424302028,0.031541513236802,0,0.0103657513298318,0,0,0,0,0.0422909093970397,2.67796180926594e-05,0,0,0.113560468652939,0,0,0.0854229238952498,-0.0232213153257277,0,0,-0.0229079456455414,0,0,0.546392499875567,0,0,0,0,"2019-10-23aaCddeelllnnoOrv",2019-10-23,"Orlando","Cleveland","Orlando","Cleveland",0.28427418084771,0.500263238904298
-0.0508923651829711,-0.0143216361869534,-0.0493199508309415,0,0,0,0.0914133955477019,0,0.0457605096099776,0,0,-0.0320875011631734,0,-0.0155700139090021,0,-0.0175521701454813,0,0.00950860748178131,0.0847397886509835,0,0,-0.0953050343037499,0.000546688584275486,0,0,-0.0014212930849175,-1.52929872846432e-09,0,0,-1.5086609718719e-09,0,0,0,0,0,0,0,"2019-10-23aaceehimnnooPrStx",2019-10-23,"Phoenix","Sacramento","Sacramento","Phoenix",-0.0445009749324704,-3.03795970033623e-09
0,0.0172037371938836,0.0521893002050432,-0.00225812178615829,0.0218479177780676,0.0655677035377679,0.0865266483298875,0,0.133195950739016,0.0181802361346909,0,-0.0389382809238369,0,-0.00155062887864649,0,-0.00628436218011639,-0.0018762357370337,0,-0.0525210748321499,0,-0.111143215049959,-0.108521752962195,0,0,0,0.0632460136386515,-0.00622415401208474,0,0,-0.00614015958175907,0,0,0.546392499875567,0,0,0,0,"2019-10-23aadDeiiInnortt",2019-10-23,"Indiana","Detroit","Indiana","Detroit",0.134863835206913,0.534028186281723
0,0.0171998948499202,0,0,0.0216602483278075,0.0330627355045573,-0.0900176129594382,0.127528925742168,-0.0844817142576272,0.00928172492676235,0,0.0312387305169876,0,0.0150119688615496,0,-0.0153765529767357,0,-0.000778777970294495,-0.0158915788309957,8.46431665264345e-05,0,0,-0.0131425333748273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-10-23aBeiklMnnnooorsty",2019-10-23,"Brooklyn","Minnesota","Minnesota","Brooklyn",0.0353801015263607,0
0.0914899335307181,0.0189733277815289,0,-0.0248139246481051,0,-0.102642237480007,0,0,-0.156616331593931,0.0235271465854355,0,-0.0319309990580673,0,0.00214501239462728,0,0,0,0,0.00403593904816879,-7.1037069281637e-05,0,-0.122771635937643,0,0.235000401166814,0,-0.142562287833068,0,0,0,0,0,0,0,0,0,0,0,"2019-10-23adDeelnnoPrrtv",2019-10-23,"Portland","Denver","Denver","Portland",-0.20623669311281,0
0.0544497873272447,-0.00129165086545927,0.0946282556546102,0.0323619888183918,-0.0226893944638614,0.0550488640534762,0.0878121722715314,0,-0.271358438015692,0,0,0.030492159560042,0,0.0384587942084171,0,0,0,-0.0176567768698355,0.0482925333107943,0,-0.0642248237965812,0,-0.0881032666214416,0,0,0.0632469349679988,0,0,0,0,0,0,0,0,0,0,0,"2019-10-23aehiiimmMMps",2019-10-23,"Miami","Memphis","Memphis","Miami",0.0394671395396356,0
0,-0.00570979323953428,0.0528504202676259,-0.00711563532691757,0.0272736669981213,0.0657832449699466,0,0,0.153748995649727,-0.0226306320521803,0.0193381564644349,0,0.391380758330681,-0.0186846606723875,-0.0590576613397558,-0.0169731950213699,-0.00609620763826926,0.017982640972801,0,9.40170914528885e-05,0,0.0308534039591208,0.0484813567994639,0,0,-0.0711023020638372,-0.00944450335108111,-0.0780144543952199,0,-0.00929216956579614,0,0,0.565120400413222,0,0,-1.09860907990161,0.157060314116393,"2019-10-24  aACdeeeGillLnopprsStt",2019-10-24,"Golden State","LA Clippers","Golden State","LA Clippers",0.600416574149123,0.468369273101124
0,-0.015903334024042,-0.0481387638098086,-0.021345153144163,0,-0.0693650185757948,0,0,-0.0446667390802907,0.0110671929609882,-0.0157417655642171,0,0,-0.0141813408471616,0,-0.0122004275917145,0,0.0251085101944949,0.00109222698663781,0,0.116365803900399,0.00852125012409233,0.0547714490063968,0,0,-0.0815784701351823,-0.0164319555729766,0,0.0665799237150703,-0.016166918662192,0,0,0.565120400413222,1.43830994989557,-0.164262534470211,0,0,"2019-10-24aaADeilnortttt",2019-10-24,"Detroit","Atlanta","Detroit","Atlanta",-0.106194579599366,0.599101449893123
-0.0666242464199314,-0.0319579972903862,0.0547048854258012,-0.0385969721063638,0.0228752119140565,0.03550944621565,-0.0849826238167622,0.133765108767305,0.290179740477694,0,0,0.0287159898015872,-0.361442404816034,-0.0301232666232798,0,0,0.00244116665577103,0.0103692552840049,-0.0900588999629198,0,0,0,0,0,0.060423065978408,-0.0806017866039844,-1.62242977498606e-09,0,0,-1.59626102266576e-09,0,0,0,0,0,0,0,"2019-10-24aeeHiklMnoostuuw",2019-10-24,"Houston","Milwaukee","Milwaukee","Houston",-0.145404327119384,-3.21869079765181e-09
-0.270928644351846,0.0159498991964708,0,0,0,-0.00843007685060823,0.0504117917290725,0,0,0,-0.017096989075168,0,0,0.0193237265933473,0,-0.0643653577802828,0,0.0159108542588265,-0.0935802738719334,0.000138542169757618,-0.139569431567409,0,-0.0980029829970941,0,0,0,-0.0214008098361547,-0.0752078446925325,0.129491323992022,-0.0210856503503581,0,0,0,0,0,0,0,"2019-10-25 aaaCghhiiklmnnooOsttWy",2019-10-25,"Oklahoma City","Washington","Washington","Oklahoma City",-0.590238942546867,0.011797019112977
0,-0.0534215936851734,0,-0.0383132515591998,-0.0206958497558022,-0.0816316926883552,-0.123978130304161,0,0.258289728778598,0,0,0.0286785498480615,0,0.014716388863235,0,-0.0323347787458472,0,0.000589395354353039,-0.0238533288827862,0.00014042074321782,0,0.149933524424532,0.0606176078251838,0,0,0,0,-0.112811767038799,0.129491323992022,0,0,0,0,1.38689378492722,-0.145915571629846,0,0,"2019-10-25 aaaDeelllnNOrssw",2019-10-25,"New Orleans","Dallas","Dallas","New Orleans",0.138736990215856,0.0166795569532235
0,0.0245678158883383,0,0,-0.0305262106973103,-0.0682215627985077,0,0,-0.102021524803322,0,0,0,0,0.0137387645070677,0,-0.0347644451337627,0,0,0,0,-0.0452059468983137,-0.249790533067412,0.0339714407463734,0.339786997418772,0,0.130409103365187,-0.014401832553174,-0.0752078446925325,0.194236985988033,-0.0141897436566913,0,0,0.547476851894106,0,0,-1.06964280308531,0.130211481178729,"2019-10-25 aaAehkLLrstU",2019-10-25,"LA Lakers","Utah","LA Lakers","Utah",0.0119438985271091,0.637914416979741
0,0.0287390017291417,0,0,0.0637842554717368,0.0279688957593595,-0.120304070541633,0,-0.0251678168906753,0,0,0.039005918372648,0,0.0332533165743909,0,0,0,0.00986332810796949,-0.0845143679120727,-0.000195851719167075,0,0.182916224311168,-0.0639963716156135,0,0,-0.0748370809265946,0,-0.0752078446925325,0.129491323992022,0,0,0,0,0,0,0,0,"2019-10-25 BekklnNooorrwyY",2019-10-25,"Brooklyn","New York","New York","Brooklyn",0.0165153807206582,0.0542834792994898
0.113109743362899,0.00126983625688523,0.0300478949866338,0,0,0,0.1000715368507,0,0.252654395285195,0,0,0,0,-0.024479596231472,-0.0298112582306985,-0.0211053441366702,0,-0.00156000315611548,0.0294372016484551,0,-0.120968669043227,-0.160786347105027,-0.0517318149693152,0,0,0.0790469323280397,-0.0120117399397339,-0.0752078446925325,0.129491323992022,-0.0118348487934683,0,0,0.547476851894106,0,0,0,0,"2019-10-25aaacdelmnnooPrrStt",2019-10-25,"Sacramento","Portland","Sacramento","Portland",0.195194507846283,0.577913742460393
0,0.0102646125579538,0,0,-0.0318807258830508,-0.0549875842188905,0,-0.195879751327068,-0.183009612867337,0,0,-0.0559047926454805,0,0,0,0,0,-0.0166904198419041,0.0672313918487489,0.000186543016851778,0,0,0,0,0,0,-0.0131740289702248,-0.0752078446925325,0.129491323992022,-0.0129800213495828,0,0,0.547476851894106,1.38689378492722,-0.145915571629846,-1.06964280308531,0.130211481178729,"2019-10-25aaCeehilMnnoorsttt",2019-10-25,"Charlotte","Minnesota","Charlotte","Minnesota",-0.460670339360176,0.575606280873788
-0.138854151747417,-0.0184679433192733,0.0791230374075405,0,-0.0525338139704061,-0.0553840379223416,0,0,0,0,0,0.0401045395644493,0,0.0199124086137683,0,-0.0392377294788067,0,0,-0.036268088954806,0.000154082544037054,0,-0.137898441566779,0,0,0,0.101936422278222,-0.012911519985072,-0.0752078446925325,0.129491323992022,-0.0127213782086392,0,0,0.547476851894106,0,0,0,0,"2019-10-25acCeghhiimMops",2019-10-25,"Memphis","Chicago","Memphis","Chicago",-0.237413716551813,0.576127432999884
0,-0.0252043003127881,0,0.0286949919078241,0,0,0.159615348776513,0,0,0.0234380169157029,-0.0131871875653234,0,0,0,0,0.0169368473801881,0,0.00936231043921535,0.0139718013472617,-0.000173718292333299,0,-0.154045757826923,0,0,0,0.0143583017321725,-0.00672168937747517,-0.0752078446925325,0.194236985988033,-0.0066227022744586,0,0,0,1.38689378492722,-0.145915571629846,0,0,"2019-10-25BnnooooorsttT",2019-10-25,"Boston","Toronto","Toronto","Boston",0.0737666545015097,0.105684749643567
0,0.0169819625468447,0.0181734075718829,0,0.0248255040303524,0.0197742449803698,0,0,-0.176952890700545,0,0,0.073565411470527,0,0.0181322132574928,0,0,0,-0.0105690761380462,0.0656881828176072,0,0,0.120791656765636,-0.0342045395613305,-0.255535133957708,0,0.0872679389084625,-0.0243831444271745,-0.0752078446925325,0.129491323992022,-0.024024065526955,0,0,0,1.38689378492722,-0.145915571629846,-1.06964280308531,0.130211481178729,"2019-10-25DeeehinnoPrvx",2019-10-25,"Denver","Phoenix","Phoenix","Denver",-0.0320611180084543,0.00587626934536024
-0.0869741056002253,0,0,-0.0656712819022973,0,0.0866003252901452,0.133799286335818,0,0.160572645907131,0,-0.0206941085245148,0,0,0,-0.161584821240871,-0.0628055900966141,0,0.0107222817052095,-0.0906569171099509,-0.00207930343474625,0,-0.157672251446668,-0.204455658250091,0,0,-0.130267345680592,0,-0.13066650015108,0.073336820981277,0,0,0,0,0.768664999111853,-0.178741501992702,-1.23608458420719,0.31054984496874,"2019-10-26 aaAghiinnnnnooosSttW",2019-10-26,"San Antonio","Washington","Washington","San Antonio",-0.591166844048266,-0.0573296791698032
0.0470110614133537,-0.00228725235199193,0.0646539641584243,0.0919483546812188,0.0256698846037625,0.0115503627142694,0,0,-0.179707454001731,-0.0331915742116855,0,0.0393910050585502,0,0,0,0,0,-0.00715563186681323,0,0,0,-0.112218936584582,0.058595836232813,0,0,-0.00757442425311124,-0.0250573026422366,-0.0871110001007201,0.073336820981277,-0.024693276998955,0,0,0.617706747402223,0.760360127424699,-0.176810328801606,-1.23608458420719,0.31054984496874,"2019-10-26 ACeehiilLnoppPrsx",2019-10-26,"Phoenix","LA Clippers","Phoenix","LA Clippers",-0.00331480440752245,0.554181988641588
0,-0.0267956354799288,0,0,0,0.105014158753889,0.113094856445452,0,0.070113142540901,0,-0.0137371310462238,-0.0261307760260738,-0.561311436248286,-0.0313089930354843,-0.0758335152426304,0.0536213532939669,-0.00711109675492356,-0.00900926024670803,-0.0616021763004073,0.00214553531657614,0,0,-0.0543197307544147,-0.353958950021582,0,-0.134051276901645,-2.28677225196449e-09,-0.0871110001007201,0.073336820981277,-2.25355064978546e-09,0,0,0,0,0,0,0,"2019-10-26 aeeHlnnNooOrsstuw",2019-10-26,"Houston","New Orleans","New Orleans","Houston",-1.01118093170752,-0.013774183659766
0.152538314295358,0,0,0.0270566434976616,0.0686318137900532,-0.0169916694067771,0.104353416792457,0,-0.0788825966610701,0.027289230060159,0,0,0,0.0198681173104321,0,0.0198456421549898,-0.00754311153746446,0.0219988802421395,-0.0587423123279053,-0.00117535966059834,0.0823620276103897,-0.0251301885608764,-0.0426019647033704,0,0,-0.0810710205260685,-0.00736685593707876,-0.04355550005036,0.073336820981277,-0.00725983226778174,0,0,0.617706747402223,0,0,-0.612227630174849,0.153814065854016,"2019-10-26 BeknNooorstwY",2019-10-26,"New York","Boston","New York","Boston",0.211805862369509,0.632861380128279
0,-0.0211774640578922,0.0684734886053212,0,0,0.0585761943201922,0,0,0.136032529514667,0,0,0,0,-0.0616571900632888,0,0,0,0.0114805761791646,0.0693157905633944,0.00263986059161981,0,-0.186549602374193,0.0387305213722282,0,0,-0.0248949818717205,-0.0231604107796402,-0.0871110001007201,0.220010462943831,-0.0228239426628161,0,0,0,1.59012021318196,-0.369758575688369,-1.23608458420719,0.31054984496874,"2019-10-26aaaAdllnnoOrtt",2019-10-26,"Atlanta","Orlando","Orlando","Atlanta",0.0909697227794931,0.0869151094006546
0,0,-0.0773919145440512,0.0398629056742758,0,0,0,0,0.0867103728788351,0,0,-0.0511563273978099,0,-0.0555313114102263,0,0.033267395000398,0.0056903768928796,0.0193674081814391,-0.0333140839203409,0.000683110720194469,0,0,-0.112992960113096,0,0,-0.100697767002531,-0.0101851020975991,-0.13066650015108,0.220010462943831,-0.0100371357184598,0,0,0.617706747402223,0,0,0,0,"2019-10-26aaaCddeeiIllnnnv",2019-10-26,"Cleveland","Indiana","Cleveland","Indiana",-0.245502795040033,0.686828472378915
-0.0439980323073748,0.00657354769557356,0.0388976652729549,0,-0.00265734708961193,0.0330087251711712,-0.106648974279545,0,0,0,0,0,0,-0.025614721396626,0,-0.00352425594014529,0,-0.00947641814507887,-0.051414155012448,0,-0.14114270103521,-0.153505259479603,0.0100767839794955,0,0,0.0919389315021397,-0.022469857557474,-0.04355550005036,0.073336820981277,-0.0221434216090963,0,0,0,0,0,-0.589296138982496,0.148052833066492,"2019-10-26aaacehmnorSttU",2019-10-26,"Utah","Sacramento","Sacramento","Utah",-0.357486211064308,-0.0148319582356533
