"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","home_team_selected","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance"
0.026924961524683,-0.0637501304632445,0,-0.0615358865273778,0.0393758613879885,-0.234117050199076,0.0194702057709711,0.160637400665766,3.52941987119874e-05,0,0.043889859600565,-0.0287672887998605,0,0,0,0,-0.00656560650636186,0.00795220324368826,0,0,0,-0.0340467533441953,0.000789135599142103,0,-0.0186365713039717,0,0.0641552040622154,0,0,0.0643694000547615,0,0,0.486409000654849,0.82823552224062,0,-0.724197845180171,0,"2018-10-16  aaaCdeeGhikllmnooOSttty",2018-10-16,"Golden State","Oklahoma City","Golden State","Oklahoma City",-0.148344365152572,0.614933604771826,0.104037677060449
-0.0588058567256602,0.0721176187722183,0,0.119149535715846,-0.0828773411480858,0,0.02379556299657,-0.162742381894489,0,0.0620412076366969,0.0526122037443149,0,0,-0.0223096323000718,0,-0.0381550034145176,-0.00653598466639566,-0.0216553043878843,-0.0547710511828864,0,0,0,0.000502237205545381,-0.0449563889515137,0,0,0.012596668990335,0,0,0.0126387256879419,0,0,0.486409000654849,0.77212200447364,0,-0.90493782021659,0,"2018-10-16aaBdehhiillnoopPst",2018-10-16,"Boston","Philadelphia","Boston","Philadelphia",-0.162590578600313,0.511644395333126,-0.13281581574295
-0.103926739733484,0.0217658267035358,0.103043315306053,0.063363299780663,0,0,0.00966585400791884,0,0.00265247289335368,0.0674247239812568,-0.0216723033294417,0,0,0,0,0.103070763229066,-0.00596301039619234,-4.5641005397086e-05,-0.0518753622140704,0,0.00382053810635098,0.0338055073552304,0.000281202947794466,0,0.199408389663603,0,2.69113060876927e-09,0,0,2.70288567168681e-09,0,0,0,0,0,0,0,"2018-10-17 aaAeiiMnnnnnooosStt",2018-10-17,"San Antonio","Minnesota","Minnesota","San Antonio",0.42481883729624,5.39401628045608e-09,0
0,0,-0.0592510849702432,0.048872179403667,-0.0361068557248349,0,-0.0328201590546305,0,-0.0022942988311797,-0.0853492685196525,-0.0792948385903838,0.0197473633706689,0,0.0695272532526142,0,0.0473343085915217,0.00343208856129999,0.0118806302124219,0,-0.0142833068438699,0.0390735844870695,0.00159586182980992,-0.000324018344993913,0,0,0,0.0340275639483916,0,0,0.034176198932454,0,0,0.502504103281966,0,0,0,0,"2018-10-17 aaAeklnNorttwY",2018-10-17,"New York","Atlanta","New York","Atlanta",-0.0682605611707152,0.570707866162811,0
0,0,0,0,0,0,0.0101054807897695,-0.150289366145456,0,-0.0400410936710098,-0.0151072697325472,0.00102848037837699,0,0,0,-0.0546913742637763,-0.00225057144918558,-0.00165393184438898,0,0.0109416027124816,0,-0.0249294812255671,0.000339038563792062,0,0.0292356353713737,0,0,0,0,0,0,0,0,0,0,0,0,"2018-10-17 ACDeeeilLnpprrsv",2018-10-17,"LA Clippers","Denver","Denver","LA Clippers",-0.237312850516138,0,0
0.123455216800069,-0.0308841088422628,0,0.132993764100516,-0.0425471729075485,-0.210450207901915,0,0.0149502267783341,0.00196360010697347,0,0.0634259807290356,0.0132321602817466,0,0.0238425523904612,-0.160655667692892,0,0,-0.00092989397423483,0,0,0,0,0.000321200810760362,0.108237550357894,0,-0.0130787141693642,2.69113060876927e-09,0,0,2.70288567168681e-09,0,0,0,0,0,0,0,"2018-10-17 aeeHlnnNooOrsstuw",2018-10-17,"Houston","New Orleans","New Orleans","Houston",0.0238764868675713,5.39401628045608e-09,0
0,-0.0353295426763354,-0.056368311368067,-0.0670618873130105,-0.0545416207505336,0,0.0668408383796868,0,-0.00466355013514681,0.0534263644246814,0.0133175067987319,0.0202274511719679,0,0,-0.18969970213175,-0.0531992858911814,0.00528755219451443,-0.0047174451693237,0,-0.0162783608111813,0,-0.0261534559781868,5.88401418118738e-05,0,0,0,0.024275450456151,0,0,0.0243814874677082,0,0,0.502504103281966,0,0,0,0,"2018-10-17aaacehmnorSttU",2018-10-17,"Sacramento","Utah","Sacramento","Utah",-0.348854609113322,0.551161041205825,0
0,0.0377547322451852,0,0,0,0,-0.000419134047618381,0.159538787453548,-0.00260519978475011,-0.00206090789426656,-0.0100081214420129,0,0,0,0,0,0.00565167254283754,0.000181619251515316,0,0,-0.041227130459225,0.02606946789564,-0.000189275834881312,0.0537789880237579,0.184517935836219,0,0,0,0,0,0,0,0,0,0,0,0,"2018-10-17aaCeeehikllMorttuw",2018-10-17,"Charlotte","Milwaukee","Milwaukee","Charlotte",0.410983433785948,0,0
-0.122400709750443,-0.0704454433189744,-0.00324492063214628,-0.0679840516328802,0,0,-0.0475988663839809,0.0273575157791607,0,0.1947029059138,0.0633913345997115,0,0,0,0,-0.106214001464343,0.00396882369899547,-0.000173620653822192,0,-0.00177277198856722,-0.034755098752722,-0.0252105036443976,0,0,0,0.0268493703800151,0.0175094082591314,0,0,0.017585890684423,0,0,0.502504103281966,0,0,0,0,"2018-10-17aadehiiImMnnps",2018-10-17,"Indiana","Memphis","Indiana","Memphis",-0.163530037850595,0.53759940222552,0
0,-0.0386402821568813,-0.00593403366553253,-0.178474364020431,-0.0406234190541349,0,0.0250611975362009,-0.170492632428308,0.000149530049778837,0.0516451148218826,-0.0821748367089075,-0.0181474047571609,0,0,0,0.114377280291152,-0.00483285124537153,0.000396072489316638,0,-9.61330147472372e-05,0,-0.0216270797509985,-9.19105007635266e-05,0,0,0,2.69113060876927e-09,0,0,2.70288567168681e-09,0,0,0,0,0,0,0,"2018-10-17aaDehillnoPsx",2018-10-17,"Phoenix","Dallas","Dallas","Phoenix",-0.369505752114906,5.39401628045608e-09,0
