"Variable","Coeff","DATE","AUROC","N"
"winrate_season_selected_team",1.4265080466088,2017-10-18,0.728449374148701,3692
"winrate_season_selected_team_adj",-0.00735214828717073,2017-10-18,0.728449374148701,3692
"winrate_season_opposing_team",-1.35616371518828,2017-10-18,0.728449374148701,3692
"winrate_season_opposing_team_adj",-0.117862485118223,2017-10-18,0.728449374148701,3692
"share_minutes_cluster_0",-1.93457002299316,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_1",-1.5713341489682,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_2",-0.00832654559413129,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_3",1.7453102231062,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_4",0.105122414387909,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_5",0.980562923176015,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_6",0.534341608479021,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_7",-0.864350243917745,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_8",0.0467578519600204,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_9",-0.271612339516538,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_10",-0.0476615451772061,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_11",0.125122407432601,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_12",0.160750971008588,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_13",0.344863481329968,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_14",0,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_15",-1.3766882303572,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_16",0.623341756764824,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_17",-0.54738733749316,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_18",-0.332078371280467,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_19",-0.494484900518663,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_20",-0.933352153457372,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_21",-1.3460041609644,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_22",2.17005538181248,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_23",0.863528924472424,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_24",-0.19320229399863,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_25",-0.259763123829187,2017-10-19,0.728937290150581,3703
"opposing_team_travel",2.29828484746058e-05,2017-10-19,0.728937290150581,3703
"opposing_team_rest",-0.0427563945603213,2017-10-19,0.728937290150581,3703
"selected_team_rest",0.0379793283677686,2017-10-19,0.728937290150581,3703
"selected_team_travel",-8.7540995672358e-05,2017-10-19,0.728937290150581,3703
"selected_team_matchup_wins",0.0549416682244417,2017-10-19,0.728937290150581,3703
"opposing_team_matchup_wins",-0.118896511250939,2017-10-19,0.728937290150581,3703
"home_team_selected",0.510651596744137,2017-10-19,0.728937290150581,3703
"winrate_season_selected_team",1.56945968016153,2017-10-19,0.728937290150581,3703
"winrate_season_selected_team_adj",-0.0886718201372109,2017-10-19,0.728937290150581,3703
"winrate_season_opposing_team",-1.48852075982563,2017-10-19,0.728937290150581,3703
"winrate_season_opposing_team_adj",-0.0470278988954255,2017-10-19,0.728937290150581,3703
"share_minutes_cluster_0",-1.94519429353263,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_1",-1.56923110263096,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_2",-0.0175195560133982,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_3",1.75274330331682,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_4",0.105865384167256,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_5",1.00178885185561,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_6",0.536206264452908,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_7",-0.859577368184456,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_8",0.0389533056603717,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_9",-0.27739762864646,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_10",-0.0447811181562646,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_11",0.130555737196146,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_12",0.159981551788932,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_13",0.348315831031899,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_14",0,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_15",-1.38319409364595,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_16",0.625743910711393,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_17",-0.555130553095202,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_18",-0.330555089598277,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_19",-0.48100121530925,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_20",-0.94807885255294,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_21",-1.35634945247443,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_22",2.18352806277546,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_23",0.887165304639146,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_24",-0.192948139824222,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_25",-0.263041477146992,2017-10-20,0.729299570889973,3706
"opposing_team_travel",2.51341304535864e-05,2017-10-20,0.729299570889973,3706
"opposing_team_rest",-0.0422577476907112,2017-10-20,0.729299570889973,3706
"selected_team_rest",0.0383281780917238,2017-10-20,0.729299570889973,3706
"selected_team_travel",-8.70023809098665e-05,2017-10-20,0.729299570889973,3706
"selected_team_matchup_wins",0.0559027863978119,2017-10-20,0.729299570889973,3706
"opposing_team_matchup_wins",-0.11784436427966,2017-10-20,0.729299570889973,3706
"home_team_selected",0.51106291208114,2017-10-20,0.729299570889973,3706
"winrate_season_selected_team",1.57201854850428,2017-10-20,0.729299570889973,3706
"winrate_season_selected_team_adj",-0.0886008496294396,2017-10-20,0.729299570889973,3706
"winrate_season_opposing_team",-1.48222696891441,2017-10-20,0.729299570889973,3706
"winrate_season_opposing_team_adj",-0.0462773036743917,2017-10-20,0.729299570889973,3706
"share_minutes_cluster_0",-1.89071940145493,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_1",-1.6129824738853,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_2",-0.0236271159606564,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_3",1.7322399178826,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_4",0.142584217882317,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_5",1.00634746054164,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_6",0.531282681442392,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_7",-0.86234708998235,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_8",0.0326175597151043,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_9",-0.290492969372958,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_10",0.129555852530278,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_11",0.119714743221172,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_12",0.149048224347145,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_13",0.34652586717155,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_14",0,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_15",-1.41564819455289,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_16",0.606026659556301,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_17",-0.554791422680188,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_18",-0.333472415204106,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_19",-0.470817489016668,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_20",-0.962808123743407,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_21",-1.40171619900498,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_22",2.2512910803958,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_23",0.925894725430613,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_24",-0.200149725914948,2017-10-21,0.727952305155206,3716
"share_minutes_cluster_25",-0.250046486342808,2017-10-21,0.727952305155206,3716
"opposing_team_travel",2.22157281604121e-05,2017-10-21,0.727952305155206,3716
"opposing_team_rest",-0.0427418904400786,2017-10-21,0.727952305155206,3716
"selected_team_rest",0.0390607373266433,2017-10-21,0.727952305155206,3716
"selected_team_travel",-8.16235195964771e-05,2017-10-21,0.727952305155206,3716
"selected_team_matchup_wins",0.0609136390752549,2017-10-21,0.727952305155206,3716
