"","DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks"
"552",2015-10-30,"Jahlil Okafor",24,10,1,1,5,2,0,0,1,36.07,12,4,4,2,3,0
"553",2014-10-29,"Joakim Noah",24,3,2,2,4,2,0,0,0,19.85,4,1,2,1,2,3
"554",2014-10-29,"Kenneth Faried",24,22,4,7,10,3,0,0,0,27.68,12,8,8,6,4,0
"555",2014-10-29,"LaMarcus Aldridge",24,27,2,1,2,2,1,1,1,34.1,19,10,8,6,0,2
"556",2014-10-29,"Marc Gasol",24,32,3,2,7,3,0,0,2,36.92,17,12,10,8,1,2
"557",2014-10-29,"Pau Gasol",24,21,0,4,7,1,0,0,0,29.17,11,7,8,7,1,0
"558",2014-10-29,"Paul Millsap",24,13,5,5,5,4,0,2,1,32.13,13,4,9,5,3,0
"559",2014-11-19,"Bradley Beal",25,21,3,1,2,2,3,6,1,25.95,17,9,0,0,4,0
"560",2014-10-29,"DeMar DeRozan",25,15,3,3,8,5,0,1,6,34.97,16,4,10,7,3,0
"561",2014-10-28,"Dirk Nowitzki",25,18,2,2,4,1,0,1,1,31.67,11,7,4,4,4,0
"562",2014-11-01,"Jimmy Butler",25,24,2,1,3,2,1,3,1,39.47,12,6,15,11,3,1
"563",2014-10-31,"Kawhi Leonard",25,6,1,1,7,1,0,1,0,23.65,5,0,6,6,0,0
"564",2015-10-29,"Kristaps Porzingis",25,10,0,2,6,4,0,4,3,25.62,10,4,2,2,5,1
"565",2014-10-29,"Nicolas Batum",25,16,6,0,5,2,2,5,1,34.2,12,5,4,4,2,1
"566",2014-10-29,"Rudy Gay",25,14,0,2,7,3,0,2,1,33.5,15,5,5,4,3,1
"567",2015-10-29,"Sasha Vujacic",25,6,2,2,0,2,2,6,0,25.17,8,2,0,0,3,1
"568",2014-10-29,"Thaddeus Young",25,26,4,2,2,1,2,3,2,34.1,18,10,4,4,2,0
