"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","performance"
0.0052790453286929,0.00177915830894268,0,-0.0386297421718999,-0.00925450899023662,0.0200044061645641,0,0,0.00368719482239329,0,-0.017728130412114,0,0,0.0137439470239827,0,0.00195212398441273,0,-0.0134258482523785,0,-0.00459274102623261,-0.0635261180608228,0.0714113590567992,-0.0446675610106987,-0.177362477513844,0,0.0474972452635634,0.499840850159895,-0.350180387070836,"2019-10-22  aAACeeiklLLLpprrss",2019-10-22,"LA Clippers","LA Lakers","LA Clippers","LA Lakers",-0.203832647484876,0.149660463089059
0.0306827894461165,0.00997852966480703,0,0,0.00943002296313394,0.00136196577530164,-0.080933751442678,0.0530879222622125,-0.324266299362211,0,0,0,0,0.0138356115773467,-0.0147582950979964,0.00212305228150579,0,-0.00949950568902771,0.0778537061091862,0.0085137133497812,0,-0.00911056004147917,-0.119630156813638,0,0,-0.0372570961640459,0.173021832747656,-0.533608208869846,"2019-10-22 aeelnnNoooOrrstTw",2019-10-22,"Toronto","New Orleans","New Orleans","Toronto",-0.388588351181684,-0.36058637612219
0.0776452556329613,-0.011982990813255,0,-0.0120689346370094,0.00865534517084991,0.0446478399585428,0,0,0,0,-0.0284352671952548,0,0,-0.0151875088313917,0,-0.0116856203022422,0,0.00122117269579776,-0.0860647718912206,0.0025877247294664,0.0670027073452984,-0.108348619269378,0,0,0,-0.028812447016967,0,0,"2019-10-23  aAeiknnnNooorStwY",2019-10-23,"San Antonio","New York","New York","San Antonio",-0.100826114423802,0
-0.114675189153941,-0.0152585905043505,-0.0699730734889682,0.0314337908430863,0.0207126115370994,-0.00913610110011762,0,0,0,0,-0.0159956415113214,-0.0262292216157833,-0.414846923202021,0.0179073518286444,0,-0.0073858134894199,0,0,0,0,-0.00690696134614587,0.0974091836624959,0,-0.263845517546116,0,0,0,0,"2019-10-23 aaaChhiklmoOttUy",2019-10-23,"Utah","Oklahoma City","Utah","Oklahoma City",-0.776790095086859,0
0,-0.0126373323976916,0,0.0602809600969524,-0.0112264634141024,-0.00775987775562724,-0.0916808976674217,0,-0.154439267348252,0.032967030585392,0,-0.0336335095763294,0,0.00968718523309506,-0.0871707969585218,-0.00745667235762934,-0.00799368351500918,0,-0.1048867523592,0.00472048854425678,0,0.0883195233012446,0.056737253582952,0,0,0,0,0,"2019-10-23aaaDghillnnosstW",2019-10-23,"Dallas","Washington","Dallas","Washington",-0.266172812005892,0
0.135017922554269,0,-0.0566731633922644,-0.0492124626323313,0,0.0502668178587982,-0.00770427031731244,0.100726435542321,-0.0938540993499001,0.0105937716766935,0,0,0,-0.0148273846414267,0,0.000598138575612911,-0.0103351395205552,0.0208098900874216,0.0238503255606694,-0.000142989615218549,0,0,-0.0253886881732645,0.200110183606469,-0.118019579394853,0,0,0,"2019-10-23aaBdehhiillnoopPst",2019-10-23,"Philadelphia","Boston","Philadelphia","Boston",0.165815708425129,0
0,-0.0190052214715683,0,0.0305504413121006,-0.0178198042910977,-0.0486655010118365,0,0,-0.0911244864718415,0.00286562708847508,0,0,0,0.0124706323916812,0,0,0,-0.000458757975352848,0.00561207413716842,0.00217851811823603,0,0.019700764450573,-0.0174969760221343,0,0,0,0,0,"2019-10-23aacCCeghhiloortt",2019-10-23,"Charlotte","Chicago","Charlotte","Chicago",-0.121192689745597,0
0.0862053220952025,0.0136372276300712,-0.0549880417924322,-0.0220010023514286,0,0.0303261701717992,0,0,-0.108765372017657,0,-0.0210999764755904,-0.0359393185002453,0,-0.0168365322143179,0,-0.00576118309066408,0,0,0,0.000968152622099189,0,0,-0.0931292584322555,0,-0.0347712069500955,-0.0692938955572842,0,0,"2019-10-23aaCddeelllnnoOrv",2019-10-23,"Orlando","Cleveland","Cleveland","Orlando",-0.331448914862798,0
-0.095384092938731,-0.00993187539245158,-0.0552329963359972,0,0,0,0.0921847639268895,0,0.129716688935546,0,0,-0.0306211944756738,0,-0.034079814270082,0,-0.00702798716641845,-0.00701828946988173,0.0224364209171607,0.0879058207751556,0,0,-0.0843955003283356,-0.00185561691967979,0,0.0613543966437521,0.00789073945690433,0,0,"2019-10-23aaceehimnnooPrStx",2019-10-23,"Phoenix","Sacramento","Sacramento","Phoenix",0.0759414633581573,0
0.0995759329575644,-0.0152963582930591,-0.0547398446558856,-0.0226332962544975,-0.0104437257862759,-0.0285020933285991,0,0,-0.108741013625908,-0.00966910772091246,0,0.0359162135768922,0,0.00167477912599167,0,0.00746829114471608,-0.00278047178684388,0,0.0474630241530511,0,0.108583112183965,0.100104535644697,0,0,0,-0.0488407095062526,0,0,"2019-10-23aadDeiiInnortt",2019-10-23,"Indiana","Detroit","Detroit","Indiana",0.0991392678286431,0
