"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstances","performance"
0.0493075883896911,0.0578533123627405,0,-0.0538655897231638,-0.0525551509745571,-0.0622838248982764,0,-0.0326172632025621,0,0.0128440663116708,0,0,0,-0.337336080008,-0.0316951916114909,0,-0.0435876413653022,-0.00289462990641615,0.109771641870069,0.0728541831010269,0,-0.0181484508359369,0,0,0.0361615064499641,-0.00823870974206129,0,0,0,-0.252214229019655,0,0,1.25265823080686,0,-1.50313864250489,0,"2016-10-25  aaAdeeGilnnnnoooSSttt",2016-10-25,"Golden State","San Antonio","San Antonio","Golden State",-0.304430233782605,-0.252214229019655,-0.25048041169803
0.147995694055343,0,0,0.000602570982190704,-0.0456193990246079,-0.0465459628447128,0.0342840707015938,-0.0652926801558802,0,0,-0.0485455405541803,-0.00918432519250221,0,-0.360991411590781,-0.0579805783499504,0.0615671757877606,0,0.000985337528321195,0.0934896134745637,0,0,0,0,0.0692983011957337,0,0.016325819644267,0,0,0,-0.0688047466531881,0,0,0.637716917501674,0,-1.4639525415305,0,"2016-10-25 aCdeeekllnNorvwY",2016-10-25,"Cleveland","New York","New York","Cleveland",-0.209611314342841,-0.0688047466531881,-0.826235624028824
-0.0642822744942863,-0.048644865321818,0,0,0.00491367052169723,0.120398680517844,0.0923757935002753,-0.0255816558882517,0,-0.019958397660964,0,0.0514276020810394,0,0.356174403614062,0.0414305800705443,0,-0.0362186708768602,-0.00350157155518684,-0.119971487056858,0,0,0,0.154384001924021,-0.0852716408870735,0.0346697630729073,0.0183153005400495,0.161548457161357,0,0,0,0,0,0.940412044242099,0,-1.1333826127978,0,"2016-10-25aadhlnoPrttU",2016-10-25,"Portland","Utah","Portland","Utah",0.470659232101142,0.161548457161357,-0.192970568555705
0.02366272597201,0.0745335086385835,0,0,0.0706701273540464,-0.0963029512366379,0.25531307399088,-0.0335369801680104,0,0,0,-0.100906478635007,-0.00273203703142397,-0.719293958690532,0.0335378943315723,0,-0.019047794513844,-0.00828320153429011,0,0.0878127523665001,0,0,0,0.0655926557545876,0.0477226947543087,0.0102046897335303,0.328583259615389,0,0,0,0,0,0,0,0,0,"2016-10-26 aaaaCdehhhiiiklllmoOpPty",2016-10-26,"Philadelphia","Oklahoma City","Philadelphia","Oklahoma City",-0.311053278913727,0.328583259615389,0
0.0445076832594867,0,-0.0645199947094615,-0.00183767907205424,0.0477439813154212,0.118392967604139,-0.485543543813195,0,0,0.0058941859970496,0,0,-0.0014284682378385,-0.40028211530702,-0.0254589944577916,0.0430153389950902,-0.0382968294134514,0.00611504197707703,0,-0.100355803070071,0.0250088830476085,0,0,0,-0.00670239880335202,0.0236436211889149,0.358432775163905,0,0,0,0,0,0,0,0,0,"2016-10-26 aAeHkLLnoorsstu",2016-10-26,"LA Lakers","Houston","LA Lakers","Houston",-0.810104123499448,0.358432775163905,0
-0.050577114418012,0,0,-0.119225032724883,0,0,0,0,0,0.0180275271117887,-0.0670444546840586,0.0445536774112565,0.000477211592337753,0,-0.0381648506778437,0,-0.0411989235063429,0.00416590350509281,0,0,0.0259701265894697,-0.0717823892044731,0,0,0,-0.0173803411185375,0,0,0,-0.187492859340164,0,0,0,0,0,0,"2016-10-26 aDeeeelnnNOrrsvw",2016-10-26,"New Orleans","Denver","Denver","New Orleans",-0.312178660124206,-0.187492859340164,0
-0.0761476243195079,0.0518428431640527,0,-0.0754850393166114,-0.0920155871544729,-0.0566357163497346,0.0593538011401709,-0.0627215048553128,0,0.00537004378841953,0,0,-0.000257616958931867,0,0.062145285941993,0.0733826086021958,-0.0707803085489518,0.000118600601409115,0.116636866598193,0,0,0,0,0,0,0,0.199647841292537,0,0,0,0,0,0,0,0,0,"2016-10-26aaaadDiIllnns",2016-10-26,"Indiana","Dallas","Indiana","Dallas",-0.0651933476670891,0.199647841292537,0
0.0174479631557889,-0.0625038139779316,0,-0.0418859401621575,0.0534951420438733,0.0706258062627559,0.256784103862462,0,0,-0.0070669467950338,-0.0426212272955194,-0.047497919027652,-0.00187915436790807,0,-0.00262816467036988,0,-0.0580416090606714,-0.00654151741940196,0,0,-0.0309070352090896,-0.0996689270639974,0.166577714923479,0,0.034069079240929,-0.0130700247675118,0,0,0,-0.11430400802376,0,0,0,0,0,0,"2016-10-26aaCeeehikllMorttuw",2016-10-26,"Milwaukee","Charlotte","Charlotte","Milwaukee",0.184687529672043,-0.11430400802376,0
0.0493554705748742,0.0519016523150084,0,0.0512500980023418,-0.0456469252102391,0.0820231703576389,0,-0.0328123945346778,0,0,0.0406134381751978,-0.154907926913314,0.000227539531709848,0,-0.0082871186041418,-0.0752524016975591,-0.036943209704661,0.00110125995303664,0,0,0.0270843194631217,0.0895820762790563,0,0,-0.0315409290632618,-0.0130922260956602,0,0,0,-0.110060111588908,0,0,0,0,0,0,"2016-10-26aaceehimnnooPrStx",2016-10-26,"Phoenix","Sacramento","Sacramento","Phoenix",-0.00534410717152898,-0.110060111588908,0
0.0763623926637922,-0.0547462859366018,-0.0564680945635721,-0.0995283881069277,0.0461424408139793,-0.0615134703222859,-0.061269376753011,-0.0367934798280101,0,0.0113591051981465,0,0,0.00214575131710296,0,0,-0.00730164832845174,0,0,0.00896266913155158,0,-0.00887540400218413,0.0796775789011341,0,0,0,0.0264592113001583,0.0536677731207649,0,0,0,0,0,0,0,0,0,"2016-10-26aadiilmMnoOr",2016-10-26,"Orlando","Miami","Orlando","Miami",-0.135386998515179,0.0536677731207649,0
