"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster"
0,-0.00776579465708749,0,0.0703154080023095,0.00733936239351591,0.00422479437782146,0,0,0.00347814487117188,0,0.030663004677638,0,0,-0.00467716807622215,0,0.0077245084199638,0,-0.000413170872599179,0,0.00675376832437411,0.0538699149124787,-0.065900407597045,0.0331876895161182,0.184227683503587,0,-0.0357081283821371,0.30209710366015,-0.588058703304807,"2019-10-22  aAACeeiklLLLpprrss",2019-10-22,"LA Clippers","LA Lakers","LA Lakers","LA Clippers",0.287319609413887
0,0.0215033730563404,0.00530918095693397,0,0.00789320208905449,-0.0240395993702438,-0.00302980042770153,0,-0.0468958228751084,0,0,0,0,0.00433706353036378,-0.0596777242576424,-0.00358643061704481,-0.00636735643912188,7.49158811307018e-05,0.061598832747196,0.00877050809957924,0,-0.000838669413922927,-0.104790795597529,0,0,-0.0332760023807494,0.30209710366015,-0.649959619442155,"2019-10-22 aeelnnNoooOrrstTw",2019-10-22,"Toronto","New Orleans","New Orleans","Toronto",-0.173015125018465
0.0928831361603386,-0.0214257309339688,0,-0.0121444438167205,0.00973420812783848,-0.0271372790867324,0,0,0.15502524567874,0,-0.048142665380137,0,0,-0.00398847526060448,0,0.00239912711089354,0,-0.00136787833414056,-0.0742372751824555,0.00116913492577644,0.0633749797978236,-0.113222527402891,0,0,0,-0.0237174480474895,0,0,"2019-10-23  aAeiknnnNooorStwY",2019-10-23,"San Antonio","New York","New York","San Antonio",-0.000797891643729001
0.119323481829904,0,0.00721836136590151,-0.0450482451316021,-0.0217823502915277,0.0286519873398194,0,0,0.0389835778942021,0,0.0297074878717986,0,0.339173012931631,-0.00508312301565483,0,-0.00181717069405712,0,0,0,0,0.00450059797091948,-0.106061632053507,0,0.246530897657265,-0.0563563084467937,-0.0395865834413811,0,0,"2019-10-23 aaaChhiklmoOttUy",2019-10-23,"Utah","Oklahoma City","Oklahoma City","Utah",0.538353991786918
0,-0.0101120996579928,0,0.0307163842191,-0.0105391012182613,-0.00674807978055552,-0.095897538855765,0,-0.106576852481406,0,0,0,0,-0.00417659422622755,0,0.00487319042502969,0.00467434817593364,-0.0015379386836284,-0.00356925655906149,0.0129952061105139,0,0.0961197990712911,0.039528146946651,0,0.075694443072043,0.0487932473217548,0,0,"2019-10-23aaaDghillnnosstW",2019-10-23,"Dallas","Washington","Dallas","Washington",0.0742373038794188
0.203123602336891,-0.0190308410586705,0,-0.0462524925125744,0,0.056288323925369,-0.00564876653013907,0.090283336534713,-0.0882239804199696,0.0200563517203739,0,0,0,-0.00429759183133627,0,0.00257413374681436,0,-0.00127641240436951,0.0443655683001386,0.00771449799590443,0,0,0,0.192722957897178,-0.104853166768936,0,0,0,"2019-10-23aaBdehhiillnoopPst",2019-10-23,"Philadelphia","Boston","Philadelphia","Boston",0.347545520931387
0,0.0296353536480214,0,0.00180114744331297,0.0180914548041826,0.0495733144112758,0,0,-0.0179491966864493,-0.0237359381112741,0,0.0239868195341213,0,-0.00426124768715933,0,0,0,-0.00311387484512592,-0.00718054068467462,-0.0156980962597349,0,-0.0118222327996916,-0.0218827116646874,0,0,0,0,0,"2019-10-23aacCCeghhiloortt",2019-10-23,"Charlotte","Chicago","Chicago","Charlotte",0.0174442511021169
0.0614123424457102,0.00113495990683243,-0.00591351757170224,-0.00518202894523809,-0.0108715589167398,0.0302455341112591,0,0,0.0079517329597245,0,-0.0351573057240216,-0.023545929577504,0,-0.00825245425256703,0,-0.00126702099644909,0,0.00155518249046368,-0.0332419368238825,0.00309428075570676,0,0,-0.0738270899079994,0,0,-0.0544859843342569,0,0,"2019-10-23aaCddeelllnnoOrv",2019-10-23,"Orlando","Cleveland","Cleveland","Orlando",-0.146350794380664
-0.0494452871661285,0.0192661849290983,-0.00594577478566176,0.00351019034198716,0,-0.0354114346492278,0.0912236018741209,0,0.046176051165415,0,0,-0.021898436971108,0,-0.00479482767689346,0,0.00227128068256919,0.0033143805994411,-0.00122835666681011,0.0349268186908414,0,0,-0.0977284947559487,0.000177906518696638,0,0.0633683913167278,-0.00275451859205592,0,0,"2019-10-23aaceehimnnooPrStx",2019-10-23,"Phoenix","Sacramento","Sacramento","Phoenix",0.0450276748550633
0.100947020613986,-0.0230609693387314,-0.00594838583366811,-0.0256910426618598,-0.0110131583090603,-0.0525136121385998,0,0,-0.0856792439893951,0.0178664377904434,0,0.0291726686975238,0,0.00116157433702105,0,0.00153968990443517,0,-0.00113970111685403,-0.00132360692942219,0,0.0926052372502745,0.0914962736898074,0,0,0,-0.041753284460079,0,0,"2019-10-23aadDeiiInnortt",2019-10-23,"Indiana","Detroit","Detroit","Indiana",0.0866658975058215
