"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,25,57,0.712944559510016,0.88,0.916666666666667,0.639674629470549,"East","Central",0.768292682926829,1
"Philadelphia",82,25,57,0.657226500645856,0.72,0.75,0.62969426408702,"East","Atlantic",0.695121951219512,2
"Miami",82,24,58,0.652966924863801,0.75,0.782608695652174,0.612815307566063,"East","Southeast",0.585365853658537,3
"Toronto",82,24,58,0.640245551415855,0.666666666666667,0.695652173913043,0.629312676139657,"East","Atlantic",0.695121951219512,4
"Boston",82,23,59,0.590014665320778,0.739130434782609,0.772727272727273,0.531884789089895,"East","Atlantic",0.670731707317073,5
"Indiana",82,25,57,0.547168342511066,0.64,0.666666666666667,0.506452703261533,"East","Central",0.560975609756098,6
"Brooklyn",82,24,58,0.517948318550609,0.541666666666667,0.565217391304348,0.508133829674999,"East","Atlantic",0.475609756097561,7
"Detroit",82,24,58,0.47665020110678,0.416666666666667,0.454545454545455,0.501470973978551,"East","Central",0.402439024390244,8
"Orlando",82,24,58,0.45163185007166,0.458333333333333,0.478260869565217,0.448858822515106,"East","Southeast",0.48780487804878,9
"Chicago",82,26,56,0.418698666853578,0.346153846153846,0.36,0.452380190749883,"East","Central",0.341463414634146,10
"Charlotte",82,27,55,0.39895743364497,0.407407407407407,0.423076923076923,0.394809264707047,"East","Southeast",0.304878048780488,11
"Washington",82,23,59,0.385709141342877,0.304347826086957,0.318181818181818,0.417426264239252,"East","Southeast",0.402439024390244,12
"Atlanta",82,25,57,0.340634491848362,0.24,0.25,0.384772426869574,"East","Southeast",0.353658536585366,13
"Cleveland",82,24,58,0.311197877217221,0.208333333333333,0.217391304347826,0.353762516065726,"East","Central",0.304878048780488,14
"New York",82,25,57,0.308943128020962,0.2,0.208333333333333,0.356725201714366,"East","Atlantic",0.219512195121951,15
"LA Lakers",82,25,57,0.739059594323825,0.88,0.916666666666667,0.677243626921994,"West","Pacific",0.719512195121951,1
"Houston",82,24,58,0.69573258293229,0.666666666666667,0.695652173913043,0.707759858628411,"West","Southwest",0.682926829268293,2
"LA Clippers",82,26,56,0.648649672398197,0.730769230769231,0.791666666666667,0.610522734583075,"West","Pacific",0.719512195121951,3
"Dallas",82,23,59,0.607077687007877,0.695652173913043,0.727272727272727,0.572548649739761,"West","Southwest",0.621951219512195,4
"Denver",82,22,60,0.583195513944049,0.636363636363636,0.666666666666667,0.563700535723534,"West","Northwest",0.646341463414634,5
"Utah",82,25,57,0.550455508621549,0.56,0.583333333333333,0.546269328192403,"West","Northwest",0.609756097560976,6
"Sacramento",82,24,58,0.479762673692212,0.458333333333333,0.478260869565217,0.488629986944161,"West","Pacific",0.463414634146341,7
"Minnesota",82,24,58,0.464307887943165,0.416666666666667,0.434782608695652,0.484021496747233,"West","Northwest",0.475609756097561,8
"Oklahoma City",82,24,58,0.442322361733545,0.458333333333333,0.478260869565217,0.435697132106047,"West","Northwest",0.48780487804878,9
"Phoenix",82,24,58,0.439263777159832,0.458333333333333,0.478260869565217,0.431372926329417,"West","Pacific",0.475609756097561,10
"San Antonio",82,23,59,0.430952305208771,0.391304347826087,0.409090909090909,0.446408288595241,"West","Southwest",0.353658536585366,11
"Portland",82,25,57,0.426829268292683,0.4,0.416666666666667,0.43859649122807,"West","Northwest",0.463414634146341,12
"Memphis",82,24,58,0.402073861104407,0.333333333333333,0.347826086956522,0.430518217423472,"West","Southwest",0.341463414634146,13
"New Orleans",82,25,57,0.375531513549302,0.24,0.25,0.434975159842855,"West","Southwest",0.439024390243902,14
"Golden State",82,26,56,0.303848139163905,0.192307692307692,0.2,0.355634775204289,"West","Pacific",0.268292682926829,15
