"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,64,18,0.773295762786958,0.828125,0.841269841269841,0.578347363807254,"East","Central",0.792682926829268,1
"Toronto",82,63,19,0.681195700983224,0.714285714285714,0.725806451612903,0.571476183190756,"East","Atlantic",0.695121951219512,2
"Boston",82,63,19,0.64663462917442,0.666666666666667,0.67741935483871,0.580212610121181,"East","Atlantic",0.682926829268293,3
"Miami",82,64,18,0.629280777773356,0.640625,0.650793650793651,0.588945765411954,"East","Southeast",0.621951219512195,4
"Philadelphia",82,64,18,0.603026970673694,0.59375,0.603174603174603,0.636011755291273,"East","Atlantic",0.609756097560976,5
"Indiana",82,64,18,0.590626211598001,0.609375,0.619047619047619,0.523963852835336,"East","Central",0.585365853658537,6
"Brooklyn",82,63,19,0.454253582647449,0.46031746031746,0.467741935483871,0.434147040899515,"East","Atlantic",0.426829268292683,7
"Orlando",82,64,18,0.451731855386789,0.453125,0.46031746031746,0.446778452317593,"East","Southeast",0.463414634146341,8
"Washington",82,63,19,0.377266962652975,0.365079365079365,0.370967741935484,0.41767847039705,"East","Southeast",0.353658536585366,9
"Charlotte",82,63,19,0.358393330951924,0.349206349206349,0.354838709677419,0.388855428318829,"East","Southeast",0.329268292682927,10
"Chicago",82,64,18,0.340439742150315,0.328125,0.333333333333333,0.384225492018103,"East","Central",0.329268292682927,11
"New York",82,64,18,0.339024475278471,0.3125,0.317460317460317,0.433333720713033,"East","Atlantic",0.304878048780488,12
"Atlanta",82,65,17,0.330103559213854,0.292307692307692,0.296875,0.474617167972707,"East","Southeast",0.329268292682927,13
"Cleveland",82,64,18,0.328154191777127,0.296875,0.301587301587302,0.439369095873577,"East","Central",0.292682926829268,14
"Detroit",82,65,17,0.311365700337121,0.307692307692308,0.317460317460317,0.325411025155525,"East","Central",0.292682926829268,15
"LA Lakers",81,62,19,0.757382815653155,0.790322580645161,0.80327868852459,0.649895161468715,"West","Pacific",0.780487804878049,1
"LA Clippers",81,63,18,0.671234224538481,0.682539682539683,0.704918032786885,0.631665121534274,"West","Pacific",0.695121951219512,2
"Denver",82,63,19,0.644504760552863,0.666666666666667,0.67741935483871,0.571020545543936,"West","Northwest",0.658536585365854,3
"Utah",82,63,19,0.636019203559471,0.650793650793651,0.661290322580645,0.587030246940875,"West","Northwest",0.634146341463415,4
"Houston",82,63,19,0.629341140585746,0.619047619047619,0.629032258064516,0.663472290949008,"West","Southwest",0.634146341463415,5
"Oklahoma City",82,64,18,0.6052792547787,0.625,0.634920634920635,0.53516104954741,"West","Northwest",0.609756097560976,6
"Dallas",82,65,17,0.583559902271781,0.6,0.609375,0.520700705075649,"West","Southwest",0.597560975609756,7
"Memphis",82,64,18,0.499334480953967,0.5,0.507936507936508,0.496968191012516,"West","Southwest",0.463414634146341,8
"New Orleans",82,64,18,0.462490209362573,0.4375,0.444444444444444,0.551344287096164,"West","Southwest",0.48780487804878,9
"Sacramento",82,64,18,0.450549547690741,0.4375,0.444444444444444,0.496947939480044,"West","Pacific",0.451219512195122,10
"Portland",82,65,17,0.444799143182715,0.430769230769231,0.4375,0.498442925940155,"West","Northwest",0.451219512195122,11
"San Antonio",82,62,20,0.42695384301463,0.419354838709677,0.426229508196721,0.450510756359984,"West","Southwest",0.414634146341463,12
"Phoenix",82,64,18,0.408812189606316,0.40625,0.412698412698413,0.417922197095441,"West","Pacific",0.414634146341463,13
"Minnesota",82,63,19,0.314857194685004,0.301587301587302,0.306451612903226,0.358857366535281,"West","Northwest",0.317073170731707,14
"Golden State",82,64,18,0.255315673253688,0.234375,0.238095238095238,0.32977140037791,"West","Pacific",0.268292682926829,15
