"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","future_win_rate","conference","division"
"Dallas",82,15,67,0.158536585365854,0.133333333333333,0.164179104477612,"West","Southwest"
"Philadelphia",82,16,66,0.158536585365854,0.25,0.136363636363636,"East","Atlantic"
"Brooklyn",82,15,67,0.182926829268293,0.266666666666667,0.164179104477612,"East","Atlantic"
"Miami",82,15,67,0.182926829268293,0.333333333333333,0.149253731343284,"East","Southeast"
"Orlando",82,16,66,0.231707317073171,0.375,0.196969696969697,"East","Southeast"
"Phoenix",82,17,65,0.231707317073171,0.294117647058824,0.215384615384615,"West","Pacific"
"Minnesota",82,15,67,0.280487804878049,0.333333333333333,0.26865671641791,"West","Northwest"
"New Orleans",82,17,65,0.317073170731707,0.352941176470588,0.307692307692308,"West","Southwest"
"Washington",82,14,68,0.317073170731707,0.357142857142857,0.308823529411765,"East","Southeast"
"Detroit",82,17,65,0.414634146341463,0.470588235294118,0.4,"East","Central"
"Sacramento",82,16,66,0.414634146341463,0.375,0.424242424242424,"West","Pacific"
"LA Lakers",82,17,65,0.439024390243902,0.470588235294118,0.430769230769231,"West","Pacific"
"Milwaukee",82,14,68,0.439024390243902,0.428571428571429,0.441176470588235,"East","Central"
"New York",82,15,67,0.451219512195122,0.533333333333333,0.432835820895522,"East","Atlantic"
"Charlotte",82,15,67,0.48780487804878,0.533333333333333,0.477611940298507,"East","Southeast"
"Portland",82,18,64,0.48780487804878,0.5,0.484375,"West","Northwest"
"Denver",82,16,66,0.5,0.375,0.53030303030303,"West","Northwest"
"Indiana",82,17,65,0.524390243902439,0.470588235294118,0.538461538461538,"East","Central"
"Oklahoma City",82,17,65,0.524390243902439,0.529411764705882,0.523076923076923,"West","Northwest"
"Utah",82,17,65,0.524390243902439,0.529411764705882,0.523076923076923,"West","Northwest"
"Memphis",82,16,66,0.646341463414634,0.625,0.651515151515151,"West","Southwest"
"Boston",82,16,66,0.670731707317073,0.5625,0.696969696969697,"East","Atlantic"
"Atlanta",82,16,66,0.707317073170732,0.625,0.727272727272727,"East","Southeast"
"Chicago",82,16,66,0.731707317073171,0.625,0.757575757575758,"East","Central"
"Toronto",82,16,66,0.731707317073171,0.625,0.757575757575758,"East","Atlantic"
"San Antonio",82,16,66,0.74390243902439,0.8125,0.727272727272727,"West","Southwest"
"Houston",82,16,66,0.792682926829268,0.625,0.833333333333333,"West","Southwest"
"Cleveland",82,14,68,0.865853658536585,0.857142857142857,0.867647058823529,"East","Central"
"LA Clippers",82,17,65,0.878048780487805,0.823529411764706,0.892307692307692,"West","Pacific"
"Golden State",82,16,66,0.963414634146341,0.875,0.984848484848485,"West","Pacific"
