"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","future_win_rate","conference","division"
"Philadelphia",82,15,67,0.158536585365854,0.266666666666667,0.134328358208955,"East","Atlantic"
"Orlando",82,15,67,0.170731707317073,0.4,0.119402985074627,"East","Southeast"
"Dallas",82,14,68,0.182926829268293,0.142857142857143,0.191176470588235,"West","Southwest"
"Phoenix",82,16,66,0.182926829268293,0.3125,0.151515151515152,"West","Pacific"
"Miami",82,14,68,0.219512195121951,0.285714285714286,0.205882352941176,"East","Southeast"
"Minnesota",82,14,68,0.280487804878049,0.285714285714286,0.279411764705882,"West","Northwest"
"Washington",82,13,69,0.292682926829268,0.307692307692308,0.289855072463768,"East","Southeast"
"Brooklyn",82,14,68,0.304878048780488,0.285714285714286,0.308823529411765,"East","Atlantic"
"New Orleans",82,16,66,0.304878048780488,0.375,0.287878787878788,"West","Southwest"
"Sacramento",82,15,67,0.353658536585366,0.4,0.343283582089552,"West","Pacific"
"Detroit",82,16,66,0.378048780487805,0.4375,0.363636363636364,"East","Central"
"New York",82,14,68,0.378048780487805,0.5,0.352941176470588,"East","Atlantic"
"Milwaukee",82,13,69,0.390243902439024,0.461538461538462,0.376811594202899,"East","Central"
"Indiana",82,16,66,0.439024390243902,0.4375,0.439393939393939,"East","Central"
"Utah",82,16,66,0.439024390243902,0.5,0.424242424242424,"West","Northwest"
"Denver",82,15,67,0.451219512195122,0.4,0.462686567164179,"West","Northwest"
"LA Lakers",82,16,66,0.48780487804878,0.5,0.484848484848485,"West","Pacific"
"Oklahoma City",82,16,66,0.51219512195122,0.5,0.515151515151515,"West","Northwest"
"Portland",82,17,65,0.548780487804878,0.470588235294118,0.569230769230769,"West","Northwest"
"Boston",82,15,67,0.573170731707317,0.6,0.567164179104478,"East","Atlantic"
"Toronto",82,15,67,0.621951219512195,0.6,0.626865671641791,"East","Atlantic"
"San Antonio",82,15,67,0.707317073170732,0.8,0.686567164179104,"West","Southwest"
"Chicago",82,15,67,0.719512195121951,0.6,0.746268656716418,"East","Central"
"Memphis",82,15,67,0.75609756097561,0.666666666666667,0.776119402985075,"West","Southwest"
"Charlotte",82,14,68,0.768292682926829,0.571428571428571,0.808823529411765,"East","Southeast"
"Houston",82,15,67,0.792682926829268,0.6,0.835820895522388,"West","Southwest"
"Atlanta",82,15,67,0.804878048780488,0.666666666666667,0.835820895522388,"East","Southeast"
"LA Clippers",82,16,66,0.878048780487805,0.875,0.878787878787879,"West","Pacific"
"Cleveland",82,13,69,0.951219512195122,0.846153846153846,0.971014492753623,"East","Central"
"Golden State",82,15,67,0.951219512195122,0.866666666666667,0.970149253731343,"West","Pacific"
