"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,48,34,0.748393485295983,0.854166666666667,0.872340425531915,0.59906664100796,"East","Central",0.780487804878049,1
"Toronto",82,49,33,0.675036111369174,0.714285714285714,0.729166666666667,0.616756397947645,"East","Atlantic",0.670731707317073,2
"Miami",82,47,35,0.644116298811605,0.680851063829787,0.695652173913043,0.594786757215761,"East","Southeast",0.621951219512195,3
"Boston",82,47,35,0.620702652062085,0.680851063829787,0.695652173913043,0.539931927688313,"East","Atlantic",0.658536585365854,4
"Philadelphia",82,49,33,0.614582197161618,0.63265306122449,0.645833333333333,0.587749702037961,"East","Atlantic",0.658536585365854,5
"Indiana",82,48,34,0.608996439662138,0.645833333333333,0.659574468085106,0.556991413302803,"East","Central",0.609756097560976,6
"Brooklyn",82,47,35,0.467674719091618,0.446808510638298,0.456521739130435,0.495695056157504,"East","Atlantic",0.451219512195122,7
"Chicago",82,51,31,0.416253308501574,0.372549019607843,0.38,0.488153912810614,"East","Central",0.378048780487805,8
"Orlando",82,48,34,0.412243463753557,0.416666666666667,0.425531914893617,0.405998941993872,"East","Southeast",0.475609756097561,9
"Washington",82,47,35,0.37556666426608,0.340425531914894,0.347826086956522,0.42275618485196,"East","Southeast",0.365853658536585,10
"Detroit",82,50,32,0.371761827595442,0.34,0.354166666666667,0.421389683213321,"East","Central",0.317073170731707,11
"Charlotte",82,48,34,0.341633240990117,0.333333333333333,0.340425531914894,0.353350757682047,"East","Southeast",0.304878048780488,12
"Atlanta",82,49,33,0.341113099788062,0.26530612244898,0.270833333333333,0.453674975230942,"East","Southeast",0.329268292682927,13
"Cleveland",82,49,33,0.309405523129644,0.26530612244898,0.270833333333333,0.374886451413054,"East","Central",0.268292682926829,14
"New York",82,49,33,0.307774672240106,0.26530612244898,0.270833333333333,0.370834034051173,"East","Atlantic",0.268292682926829,15
"LA Lakers",81,47,34,0.72294684400161,0.787234042553192,0.804347826086957,0.634079246003835,"West","Pacific",0.731707317073171,1
"LA Clippers",81,48,33,0.669260630396182,0.6875,0.717391304347826,0.642730638245173,"West","Pacific",0.695121951219512,2
"Houston",82,48,34,0.649713637157355,0.625,0.638297872340426,0.684603477850091,"West","Southwest",0.658536585365854,3
"Denver",82,49,33,0.638670443765188,0.693877551020408,0.708333333333333,0.556696254204407,"West","Northwest",0.670731707317073,4
"Utah",82,48,34,0.619420979056141,0.666666666666667,0.680851063829787,0.552721184782458,"West","Northwest",0.646341463414634,5
"Oklahoma City",82,50,32,0.57583037252546,0.6,0.612244897959184,0.538065329596491,"West","Northwest",0.585365853658537,6
"Dallas",82,48,34,0.575576107315666,0.604166666666667,0.617021276595745,0.535212964702489,"West","Southwest",0.597560975609756,7
"Memphis",82,49,33,0.471979920407635,0.489795918367347,0.5,0.445525862831092,"West","Southwest",0.426829268292683,8
"Portland",82,49,33,0.46433834349448,0.448979591836735,0.458333333333333,0.487143762622647,"West","Northwest",0.475609756097561,9
"San Antonio",82,47,35,0.461066421828775,0.446808510638298,0.456521739130435,0.480212759713129,"West","Southwest",0.414634146341463,10
"New Orleans",82,49,33,0.457126030264665,0.408163265306122,0.416666666666667,0.529828317627349,"West","Southwest",0.475609756097561,11
"Sacramento",82,48,34,0.423728197696881,0.375,0.382978723404255,0.492520947386596,"West","Pacific",0.402439024390244,12
"Phoenix",82,48,34,0.422067164892574,0.416666666666667,0.425531914893617,0.42969139768209,"West","Pacific",0.414634146341463,13
"Minnesota",82,47,35,0.346399773250338,0.319148936170213,0.326086956521739,0.382993754472221,"West","Northwest",0.378048780487805,14
"Golden State",82,49,33,0.251404448208708,0.204081632653061,0.208333333333333,0.321671659185275,"West","Pacific",0.268292682926829,15
