"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","future_win_rate","conference","division"
"Philadelphia",82,13,69,0.0853658536585366,0.230769230769231,0.0579710144927536,"East","Atlantic"
"Miami",82,12,70,0.121951219512195,0.333333333333333,0.0857142857142857,"East","Southeast"
"New Orleans",82,14,68,0.134146341463415,0.285714285714286,0.102941176470588,"West","Southwest"
"Dallas",82,12,70,0.146341463414634,0.166666666666667,0.142857142857143,"West","Southwest"
"Brooklyn",82,12,70,0.182926829268293,0.333333333333333,0.157142857142857,"East","Atlantic"
"Phoenix",82,14,68,0.182926829268293,0.285714285714286,0.161764705882353,"West","Pacific"
"Washington",82,12,70,0.182926829268293,0.25,0.171428571428571,"East","Southeast"
"Sacramento",82,13,69,0.292682926829268,0.307692307692308,0.289855072463768,"West","Pacific"
"New York",82,12,70,0.329268292682927,0.416666666666667,0.314285714285714,"East","Atlantic"
"Detroit",82,14,68,0.353658536585366,0.428571428571429,0.338235294117647,"East","Central"
"Denver",82,12,70,0.390243902439024,0.333333333333333,0.4,"West","Northwest"
"Orlando",82,13,69,0.390243902439024,0.461538461538462,0.376811594202899,"East","Southeast"
"Minnesota",82,12,70,0.402439024390244,0.333333333333333,0.414285714285714,"West","Northwest"
"Milwaukee",82,12,70,0.426829268292683,0.416666666666667,0.428571428571429,"East","Central"
"Indiana",82,13,69,0.439024390243902,0.461538461538462,0.434782608695652,"East","Central"
"LA Lakers",82,13,69,0.5,0.538461538461538,0.492753623188406,"West","Pacific"
"Memphis",82,13,69,0.524390243902439,0.615384615384615,0.507246376811594,"West","Southwest"
"Utah",82,14,68,0.585365853658537,0.5,0.602941176470588,"West","Northwest"
"Charlotte",82,12,70,0.609756097560976,0.666666666666667,0.6,"East","Southeast"
"Boston",82,13,69,0.646341463414634,0.538461538461538,0.666666666666667,"East","Atlantic"
"Oklahoma City",82,13,69,0.658536585365854,0.615384615384615,0.666666666666667,"West","Northwest"
"Houston",82,13,69,0.682926829268293,0.615384615384615,0.695652173913043,"West","Southwest"
"Portland",82,14,68,0.707317073170732,0.5,0.75,"West","Northwest"
"San Antonio",82,13,69,0.768292682926829,0.769230769230769,0.768115942028985,"West","Southwest"
"Chicago",82,13,69,0.792682926829268,0.615384615384615,0.826086956521739,"East","Central"
"Toronto",82,12,70,0.792682926829268,0.666666666666667,0.814285714285714,"East","Atlantic"
"Atlanta",82,12,70,0.853658536585366,0.75,0.871428571428571,"East","Southeast"
"LA Clippers",82,14,68,0.902439024390244,0.857142857142857,0.911764705882353,"West","Pacific"
"Golden State",82,13,69,0.951219512195122,0.846153846153846,0.971014492753623,"West","Pacific"
"Cleveland",82,12,70,0.963414634146341,0.833333333333333,0.985714285714286,"East","Central"
