"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,31,51,0.69965740046816,0.870967741935484,0.9,0.595527585066453,"East","Central",0.780487804878049,1
"Miami",82,30,52,0.658366366932034,0.733333333333333,0.758620689655172,0.615116194008208,"East","Southeast",0.609756097560976,2
"Toronto",82,30,52,0.65656845806373,0.7,0.724137931034483,0.631511799254344,"East","Atlantic",0.670731707317073,3
"Philadelphia",82,32,50,0.640523892155346,0.6875,0.709677419354839,0.610459183134767,"East","Atlantic",0.682926829268293,4
"Boston",82,27,55,0.594546999862903,0.740740740740741,0.769230769230769,0.522779163431965,"East","Atlantic",0.695121951219512,5
"Indiana",82,31,51,0.590189282452199,0.67741935483871,0.7,0.537167081589811,"East","Central",0.573170731707317,6
"Brooklyn",82,29,53,0.539045942240038,0.551724137931034,0.571428571428571,0.532108816295908,"East","Atlantic",0.48780487804878,7
"Orlando",82,30,52,0.445666054907998,0.433333333333333,0.448275862068966,0.452781086585689,"East","Southeast",0.5,8
"Chicago",82,32,50,0.43003929260904,0.375,0.387096774193548,0.465264439878825,"East","Central",0.353658536585366,9
"Detroit",82,31,51,0.422376371792097,0.354838709677419,0.379310344827586,0.463428676214743,"East","Central",0.390243902439024,10
"Washington",82,29,53,0.398032090668475,0.310344827586207,0.321428571428571,0.446011913864432,"East","Southeast",0.378048780487805,11
"Charlotte",82,33,49,0.392927392561077,0.393939393939394,0.40625,0.392245840612414,"East","Southeast",0.317073170731707,12
"Cleveland",82,30,52,0.36058913218959,0.3,0.310344827586207,0.395544400760507,"East","Central",0.317073170731707,13
"New York",82,31,51,0.310075745125397,0.225806451612903,0.233333333333333,0.361298256868285,"East","Atlantic",0.25609756097561,14
"Atlanta",82,31,51,0.304365821450795,0.193548387096774,0.2,0.371725438411083,"East","Southeast",0.304878048780488,15
"LA Lakers",82,30,52,0.702492635783229,0.8,0.827586206896552,0.64623838719663,"West","Pacific",0.719512195121951,1
"Houston",82,30,52,0.701868804654963,0.7,0.724137931034483,0.702946961186672,"West","Southwest",0.695121951219512,2
"LA Clippers",82,32,50,0.665403275221108,0.6875,0.733333333333333,0.651261371362617,"West","Pacific",0.707317073170732,3
"Denver",82,29,53,0.631811606811707,0.724137931034483,0.75,0.581293429406791,"West","Northwest",0.682926829268293,4
"Dallas",82,29,53,0.606264096770934,0.655172413793103,0.678571428571429,0.579502942173898,"West","Southwest",0.646341463414634,5
"Utah",82,30,52,0.580852818935788,0.6,0.620689655172414,0.56980636832182,"West","Northwest",0.609756097560976,6
"Oklahoma City",82,29,53,0.475665132753896,0.517241379310345,0.535714285714286,0.452915865770179,"West","Northwest",0.524390243902439,7
"Sacramento",82,30,52,0.457083492720383,0.4,0.413793103448276,0.490016276982143,"West","Pacific",0.426829268292683,8
"Portland",82,31,51,0.443177966434246,0.451612903225806,0.466666666666667,0.438050847992317,"West","Northwest",0.475609756097561,9
"San Antonio",82,29,53,0.430699091149715,0.413793103448276,0.428571428571429,0.439949537250502,"West","Southwest",0.341463414634146,10
"Phoenix",82,30,52,0.414710543384764,0.366666666666667,0.379310344827586,0.442428164568282,"West","Pacific",0.426829268292683,11
"Minnesota",82,29,53,0.402990939170953,0.344827586206897,0.357142857142857,0.434816170038078,"West","Northwest",0.426829268292683,12
"Memphis",82,31,51,0.400416678199772,0.354838709677419,0.366666666666667,0.428120933576105,"West","Southwest",0.329268292682927,13
"New Orleans",82,31,51,0.340783755981492,0.258064516129032,0.266666666666667,0.391064078244752,"West","Southwest",0.414634146341463,14
"Golden State",82,31,51,0.302808918548172,0.225806451612903,0.233333333333333,0.349614339626472,"West","Pacific",0.268292682926829,15
