"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,30,52,0.704198563559678,0.866666666666667,0.896551724137931,0.610466965613338,"East","Central",0.768292682926829,1
"Toronto",82,28,54,0.66826899120881,0.714285714285714,0.740740740740741,0.644408468131896,"East","Atlantic",0.682926829268293,2
"Miami",82,29,53,0.639930752945261,0.724137931034483,0.75,0.593855127198328,"East","Southeast",0.609756097560976,3
"Philadelphia",82,31,51,0.627096357509325,0.67741935483871,0.7,0.596507868936562,"East","Atlantic",0.682926829268293,4
"Indiana",82,29,53,0.605877396101685,0.689655172413793,0.714285714285714,0.560036726044116,"East","Central",0.560975609756098,5
"Boston",82,26,56,0.592917409722571,0.730769230769231,0.76,0.528914778522337,"East","Atlantic",0.695121951219512,6
"Brooklyn",82,29,53,0.55801661844692,0.551724137931034,0.571428571428571,0.561459673823537,"East","Atlantic",0.48780487804878,7
"Orlando",82,29,53,0.44190002690461,0.413793103448276,0.428571428571429,0.457279286909019,"East","Southeast",0.5,8
"Chicago",82,31,51,0.438515665043844,0.387096774193548,0.4,0.469770284972454,"East","Central",0.365853658536585,9
"Detroit",82,30,52,0.418829213785918,0.366666666666667,0.392857142857143,0.448922990970101,"East","Central",0.390243902439024,10
"Charlotte",82,32,50,0.380168995699462,0.40625,0.419354838709677,0.363477152947117,"East","Southeast",0.317073170731707,11
"Washington",82,28,54,0.374419489116102,0.285714285714286,0.296296296296296,0.420414779768895,"East","Southeast",0.378048780487805,12
"Cleveland",82,29,53,0.346414913578224,0.275862068965517,0.285714285714286,0.385019300253101,"East","Central",0.317073170731707,13
"New York",82,30,52,0.313981039873507,0.233333333333333,0.241379310344828,0.360508562877453,"East","Atlantic",0.24390243902439,14
"Atlanta",82,30,52,0.299765670846025,0.2,0.206896551724138,0.357322788641808,"East","Southeast",0.317073170731707,15
"LA Lakers",82,29,53,0.724773229598038,0.827586206896552,0.857142857142857,0.668517072208285,"West","Pacific",0.731707317073171,1
"Houston",82,29,53,0.705607476448298,0.689655172413793,0.714285714285714,0.714336095636989,"West","Southwest",0.695121951219512,2
"LA Clippers",82,31,51,0.701881431265526,0.709677419354839,0.758620689655172,0.697142693407317,"West","Pacific",0.707317073170732,3
"Dallas",82,28,54,0.603053188535589,0.678571428571429,0.703703703703704,0.56389558259108,"West","Southwest",0.646341463414634,4
"Denver",82,27,55,0.591004597030858,0.703703703703704,0.730769230769231,0.535679581027824,"West","Northwest",0.658536585365854,5
"Utah",82,29,53,0.568566426565187,0.620689655172414,0.642857142857143,0.540046169402742,"West","Northwest",0.585365853658537,6
"Portland",82,30,52,0.536585365853659,0.466666666666667,0.5,0.576923076923077,"West","Northwest",0.5,7
"Oklahoma City",82,28,54,0.470022134107171,0.5,0.518518518518518,0.454478055496074,"West","Northwest",0.5,8
"Sacramento",82,29,53,0.440080520621387,0.413793103448276,0.428571428571429,0.454464201716108,"West","Pacific",0.426829268292683,9
"San Antonio",82,28,54,0.418940977836401,0.392857142857143,0.407407407407407,0.432465929307127,"West","Southwest",0.329268292682927,10
"Phoenix",82,29,53,0.404654730260574,0.379310344827586,0.392857142857143,0.418522412855982,"West","Pacific",0.426829268292683,11
"Memphis",82,30,52,0.389253990088033,0.366666666666667,0.379310344827586,0.402285138215744,"West","Southwest",0.353658536585366,12
"Minnesota",82,28,54,0.388527707095577,0.357142857142857,0.384615384615385,0.404801332996988,"West","Northwest",0.451219512195122,13
"New Orleans",82,30,52,0.344295266663813,0.233333333333333,0.241379310344828,0.408311766662166,"West","Southwest",0.414634146341463,14
"Golden State",82,30,52,0.30245185368795,0.2,0.206896551724138,0.361558692354076,"West","Pacific",0.268292682926829,15
