"DATE","home_team_name_538","home_team_prob_win_538","home_team_name"
2020-08-09,"Thunder",0.83,"Oklahoma City"
2020-08-09,"Raptors",0.83,"Toronto"
2020-08-09,"Pelicans",0.67,"New Orleans"
2020-08-09,"Celtics",0.85,"Boston"
2020-08-09,"Kings",0.28,"Sacramento"
2020-08-09,"Clippers",0.87,"LA Clippers"
2020-08-10,"Suns",0.58,"Phoenix"
2020-08-10,"Jazz",0.41,"Utah"
2020-08-10,"Bucks",0.6,"Milwaukee"
2020-08-10,"Heat",0.43,"Miami"
2020-08-10,"Lakers",0.57,"LA Lakers"
2020-08-11,"Magic",0.63,"Orlando"
2020-08-11,"Spurs",0.2,"San Antonio"
2020-08-11,"76ers",0.67,"Philadelphia"
2020-08-11,"Grizzlies",0.15,"Memphis"
2020-08-11,"Mavericks",0.55,"Dallas"
2020-08-11,"Wizards",0.1,"Washington"
2020-08-11,"Kings",0.41,"Sacramento"
2020-08-12,"Rockets",0.65,"Houston"
2020-08-12,"76ers",0.38,"Philadelphia"
2020-08-12,"Thunder",0.53,"Oklahoma City"
2020-08-12,"Nuggets",0.36,"Denver"
2020-08-13,"Suns",0.36,"Phoenix"
2020-08-13,"Grizzlies",0.16,"Memphis"
2020-08-13,"Magic",0.32,"Orlando"
2020-08-13,"Nets",0.22,"Brooklyn"
2020-08-13,"Jazz",0.73,"Utah"
2020-08-13,"Lakers",0.74,"LA Lakers"
2020-08-13,"Celtics",0.93,"Boston"
2020-08-14,"Raptors",0.54,"Toronto"
2020-08-14,"Pacers",0.52,"Indiana"
2020-08-14,"Clippers",0.72,"LA Clippers"
2020-08-14,"Rockets",0.63,"Houston"
2020-08-08,"Nuggets",0.58,"Denver"
2020-08-08,"Pacers",0.37,"Indiana"
2020-08-08,"Heat",0.39,"Miami"
2020-08-08,"Mavericks",0.42,"Dallas"
2020-08-07,"Spurs",0.31,"San Antonio"
2020-08-07,"Grizzlies",0.28,"Memphis"
2020-08-07,"Nets",0.29,"Brooklyn"
2020-08-07,"76ers",0.73,"Philadelphia"
2020-08-07,"Pelicans",0.75,"New Orleans"
2020-08-07,"Raptors",0.46,"Toronto"
2020-08-06,"Kings",0.37,"Sacramento"
2020-08-06,"Suns",0.52,"Phoenix"
2020-08-06,"Bucks",0.81,"Milwaukee"
2020-08-06,"Mavericks",0.47,"Dallas"
2020-08-06,"Nuggets",0.41,"Denver"
2020-08-06,"Rockets",0.5,"Houston"
2020-08-05,"Jazz",0.69,"Utah"
2020-08-05,"Spurs",0.3,"San Antonio"
2020-08-05,"Wizards",0.11,"Washington"
2020-08-05,"Lakers",0.62,"LA Lakers"
2020-08-05,"Magic",0.21,"Orlando"
2020-08-05,"Celtics",0.84,"Boston"
2020-08-04,"Bucks",0.97,"Milwaukee"
2020-08-04,"Kings",0.35,"Sacramento"
2020-08-04,"Clippers",0.78,"LA Clippers"
2020-08-04,"Pacers",0.44,"Indiana"
2020-08-04,"Heat",0.25,"Miami"
2020-08-03,"Heat",0.34,"Miami"
2020-08-03,"Thunder",0.52,"Oklahoma City"
2020-08-03,"Wizards",0.2,"Washington"
2020-08-03,"Pelicans",0.78,"New Orleans"
2020-08-03,"76ers",0.86,"Philadelphia"
2020-08-03,"Jazz",0.35,"Utah"
2020-08-02,"Nets",0.52,"Brooklyn"
2020-08-02,"Celtics",0.67,"Boston"
2020-08-02,"Grizzlies",0.48,"Memphis"
2020-08-02,"Magic",0.54,"Orlando"
2020-08-02,"Rockets",0.53,"Houston"
2020-08-02,"Suns",0.32,"Phoenix"
