"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Aaron Gordon","Day-To-Day","Dec 16",2017-12-20,2017-12-17
"Allen Crabbe","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Andre Roberson","Out","Dec 15",2017-12-18,2017-12-17
"Anthony Davis","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Anthony Tolliver","Day-To-Day","Dec 14",2017-12-18,2017-12-17
"Arron Afflalo","Out","Dec 17",2017-12-20,2017-12-17
"Austin Rivers","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Avery Bradley","Day-To-Day","Dec 17",2017-12-20,2017-12-17
"Brandan Wright","Out","Dec 16",2017-12-20,2017-12-17
"Chandler Parsons","Day-To-Day","Dec 16",2017-12-20,2017-12-17
"CJ Miles","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Clint Capela","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Daniel Theis","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Danilo Gallinari","Out","Dec 16",2017-12-18,2017-12-17
"Danny Green","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Dante Cunningham","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"De'Aaron Fox","Day-To-Day","Dec 17",2017-12-19,2017-12-17
"Delon Wright","Out","Dec 15",2017-12-18,2017-12-17
"DeMarre Carroll","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Devin Booker","Out","Dec 13",2017-12-26,2017-12-17
"Draymond Green","Out","Dec 17",2017-12-20,2017-12-17
"Dwyane Wade","Day-To-Day","Dec 17",2017-12-19,2017-12-17
"Emmanuel Mudiay","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Evan Fournier","Out","Dec 16",2017-12-20,2017-12-17
"Furkan Korkmaz","Out","Dec 17",2018-01-03,2017-12-17
"Gordon Hayward","Out","Dec 13",2018-04-07,2017-12-17
"Hassan Whiteside","Out","Dec 16",2017-12-22,2017-12-17
"Ian Mahinmi","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Isaiah Thomas","Out","Dec 17",2018-01-02,2017-12-17
"Jameer Nelson","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"James Harden","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"James Johnson","Out","Dec 17",2017-12-26,2017-12-17
"Jimmy Butler","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Joel Embiid","Day-To-Day","Dec 17",2017-12-19,2017-12-17
"John Collins","Out","Dec 15",2017-12-18,2017-12-17
"John Holland","Out","Dec 15",2018-01-12,2017-12-17
"John Wall","Out","Dec 13",2017-12-18,2017-12-17
"Jonathan Isaac","Out","Dec 17",2017-12-18,2017-12-17
"Justise Winslow","Out","Dec 17",2017-12-18,2017-12-17
"Jusuf Nurkic","Out","Dec 15",2017-12-18,2017-12-17
"Kawhi Leonard","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Kemba Walker","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Kentavious Caldwell-Pope","Day-To-Day","Dec 14",2017-12-18,2017-12-17
"Kristaps Porzingis","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Lauri Markkanen","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Lonzo Ball","Day-To-Day","Dec 14",2017-12-18,2017-12-17
"Luc Mbah a Moute","Out","Dec 14",2017-12-29,2017-12-17
"Luke Babbitt","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Malachi Richardson","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Marcus Morris","Out","Dec 15",2017-12-23,2017-12-17
"Markieff Morris","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Matthew Dellavedova","Out","Dec 16",2017-12-19,2017-12-17
"Maurice Harkless","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Meyers Leonard","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Mike Conley","Out","Dec 14",2017-12-20,2017-12-17
"Mike Muscala","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Milos Teodosic","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Mirza Teletovic","Out","Dec 14",2018-02-01,2017-12-17
"Nemanja Bjelica","Out","Dec 17",2017-12-18,2017-12-17
"Nene Hilario","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Nick Young","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Nicolas Batum","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Nikola Jokic","Day-To-Day","Dec 15",2017-12-18,2017-12-17
"Serge Ibaka","Day-To-Day","Dec 17",2017-12-20,2017-12-17
"Seth Curry","Out","Dec 13",2018-01-01,2017-12-17
"Shaun Livingston","Day-To-Day","Dec 17",2017-12-20,2017-12-17
"Stephen Curry","Out","Dec 16",2017-12-20,2017-12-17
"Steven Adams","Day-To-Day","Dec 17",2017-12-20,2017-12-17
"Thaddeus Young","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Tony Parker","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Tony Snell","Out","Dec 16",2017-12-19,2017-12-17
"Trevor Booker","Day-To-Day","Dec 17",2017-12-21,2017-12-17
"Tristan Thompson","Day-To-Day","Dec 17",2017-12-18,2017-12-17
"Tyler Johnson","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Tyreke Evans","Day-To-Day","Dec 16",2017-12-18,2017-12-17
"Tyson Chandler","Day-To-Day","Dec 13",2017-12-18,2017-12-17
"Wayne Selden","Out","Dec 16",2017-12-18,2017-12-17
"Will Barton","Day-To-Day","Dec 14",2017-12-18,2017-12-17
"Zach Randolph","Day-To-Day","Dec 17",2017-12-19,2017-12-17
"Zaza Pachulia","Out","Dec 17",2017-12-20,2017-12-17
"Zhou Qi","Out","Dec 14",2017-12-18,2017-12-17
"Alan Williams","Out",NA,2018-03-15,2017-12-17
"Alexis Ajinca","Out",NA,2018-04-07,2017-12-17
"Blake Griffin","Out",NA,2018-01-28,2017-12-17
"Brandon Knight","Out",NA,2018-10-25,2017-12-17
"C.J. Wilcox","Out",NA,2017-12-20,2017-12-17
"Cameron Payne","Out",NA,2017-12-18,2017-12-17
"Chris Boucher","Out",NA,2018-01-01,2017-12-17
"Cody Zeller","Out",NA,2018-01-22,2017-12-17
"D'Angelo Russell","Out",NA,2018-01-01,2017-12-17
"Dante Exum","Out",NA,2018-03-01,2017-12-17
"Davon Reed","Out",NA,2017-12-26,2017-12-17
"Dennis Smith Jr.","Out",NA,2017-12-18,2017-12-17
"Derrick Favors","Out",NA,2017-12-18,2017-12-17
"Derrick Rose","Out",NA,2017-12-20,2017-12-17
"DeWayne Dedmon","Out",NA,2017-12-20,2017-12-17
"Dorian Finney-Smith","Out",NA,2017-12-26,2017-12-17
"Edmond Sumner","Out",NA,2018-02-01,2017-12-17
"Frank Jackson","Out",NA,2017-12-25,2017-12-17
"Glenn Robinson III","Out",NA,2018-01-15,2017-12-17
"Harry Giles","Out",NA,2018-01-02,2017-12-17
"Iman Shumpert","Out",NA,2018-01-18,2017-12-17
"Jabari Parker","Out",NA,2018-02-01,2017-12-17
"Jason Terry","Out",NA,2017-12-19,2017-12-17
"Jeremy Lin","Out",NA,2018-10-25,2017-12-17
"Johnny O'Bryant","Out",NA,2017-12-18,2017-12-17
"Jon Leuer","Out",NA,2018-01-03,2017-12-17
