round,series,conference,rank_home,rank_road
1,1,West,1,8
1,2,West,2,7
1,3,West,3,6
1,4,West,4,5
1,5,East,1,8
1,6,East,2,7
1,7,East,3,6
1,8,East,4,5
2,1,West,1,4
2,2,West,2,3
2,3,East,1,4
2,4,East,2,3
3,1,West,1,2
3,2,East,1,2
4,1,Final,1,1
