"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Reggie Bullock","New York","SG",28,"6' 6""",205,4e+06,"New York Knicks","Out","Dec 20","Game Time Decision",2019-12-23,2019-12-22
"Reggie Jackson","Detroit","PG",29,"6' 3""",208,18086956,"Detroit Pistons","Out",NA,"Dec 26",2019-12-26,2019-12-22
"Richaun Holmes","Sacramento","PF",26,"6' 10""",235,4767000,"Sacramento Kings",NA,NA,NA,NA,NA
"Ricky Rubio","Phoenix","PG",29,"6' 3""",190,16200000,"Phoenix Suns","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"RJ Barrett","New York","SF",19,"6' 6""",214,7839960,"New York Knicks",NA,NA,NA,NA,NA
"Robert Covington","Minnesota","PF",29,"6' 7""",209,11301219,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Robert Franks","Charlotte","SF",23,"6' 7""",225,NA,"Charlotte Hornets",NA,NA,NA,NA,NA
"Robert Williams III","Boston","C",22,"6' 8""",237,1937520,"Boston Celtics",NA,NA,NA,NA,NA
"Robin Lopez","Milwaukee","C",31,"7' 0""",281,4767000,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Rodions Kurucs","Brooklyn","SF",21,"6' 9""",228,1699236,"Brooklyn Nets",NA,NA,NA,NA,NA
"Rodney Hood",NA,"SG",27,"6' 8""",208,5718000,"Portland Trailblazers","Out",NA,"Out for the season",2020-12-21,2019-12-22
"Rodney McGruder","LA Clippers","SG",28,"6' 4""",205,4807693,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Romeo Langford","Boston","SG",20,"6' 4""",216,3458400,"Boston Celtics",NA,NA,NA,NA,NA
"Rondae Hollis-Jefferson","Toronto","SF",24,"6' 6""",217,2500000,"Toronto Raptors",NA,NA,NA,NA,NA
"Royce O'Neale","Utah","SF",26,"6' 4""",226,1618520,"Utah Jazz",NA,NA,NA,NA,NA
"Rudy Gay","San Antonio","SF",33,"6' 8""",250,14500000,"San Antonio Spurs","Day-To-Day","Dec 21",NA,2019-12-23,2019-12-22
"Rudy Gobert","Utah","C",27,"7' 1""",258,23241573,"Utah Jazz",NA,NA,NA,NA,NA
"Rui Hachimura","Washington","PF",21,"6' 8""",230,4469160,"Washington Wizards","Out",NA,"Dec 28",2019-12-28,2019-12-22
"Russell Westbrook","Houston","PG",31,"6' 3""",200,38506482,"Houston Rockets",NA,NA,NA,NA,NA
"Ryan Arcidiacono","Chicago","PG",25,"6' 3""",195,3e+06,"Chicago Bulls","Day-To-Day","Dec 20",NA,2019-12-23,2019-12-22
"Ryan Broekhoff","Dallas","SG",29,"6' 6""",215,1416852,"Dallas Mavericks",NA,NA,NA,NA,NA
"Sekou Doumbouya","Detroit","SF",18,"6' 8""",230,3285120,"Detroit Pistons",NA,NA,NA,NA,NA
"Semi Ojeleye","Boston","PF",25,"6' 6""",240,1618520,"Boston Celtics",NA,NA,NA,NA,NA
"Serge Ibaka","Toronto","PF",30,"7' 0""",235,23271604,"Toronto Raptors",NA,NA,NA,NA,NA
"Seth Curry","Dallas","SG",29,"6' 2""",185,7461380,"Dallas Mavericks","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Shabazz Napier","Minnesota","PG",28,"6' 0""",175,1845301,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Shai Gilgeous-Alexander","Oklahoma City","SG",21,"6' 5""",180,3952920,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Shake Milton","Philadelphia","SG",23,"6' 5""",205,1455697,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Shamorie Ponds","Toronto","PG",21,"6' 0""",175,NA,"Toronto Raptors",NA,NA,NA,NA,NA
"Shaquille Harrison","Chicago","PG",26,"6' 7""",190,1620564,"Chicago Bulls",NA,NA,NA,NA,NA
