"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Andre Iguodala","Day-To-Day","Dec 10",2016-12-13,2016-12-12
"Andrew Bogut","Out","Dec 8",2016-12-25,2016-12-12
"Anthony Davis","Day-To-Day","Dec 10",2016-12-13,2016-12-12
"Austin Rivers","Day-To-Day","Dec 11",2016-12-14,2016-12-12
"Bismack Biyombo","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Blake Griffin","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Bruno Caboclo","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Channing Frye","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"D'Angelo Russell","Out","Dec 8",2016-12-13,2016-12-12
"DeMarre Carroll","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Derrick Rose","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Dion Waiters","Out","Dec 11",2016-12-14,2016-12-12
"Dirk Nowitzki","Out","Dec 12",2016-12-25,2016-12-12
"Donatas Motiejunas","Day-To-Day","Dec 9",2016-12-15,2016-12-12
"Doug McDermott","Out","Dec 8",2016-12-13,2016-12-12
"Draymond Green","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"E'Twaun Moore","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Emmanuel Mudiay","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Gary Harris","Out","Dec 8",2016-12-15,2016-12-12
"Ian Mahinmi","Out","Dec 9",2016-12-16,2016-12-12
"Isaiah Thomas","Out","Dec 9",2016-12-13,2016-12-12
"J.R. Smith","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Jahlil Okafor","Out","Dec 8",2016-12-13,2016-12-12
"Jamal Murray","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"James Johnson","Out","Dec 12",2016-12-13,2016-12-12
"Jeff Green","Day-To-Day","Dec 10",2016-12-13,2016-12-12
"Jeremy Lin","Out","Dec 9",2016-12-13,2016-12-12
"Jerryd Bayless","Out","Dec 10",2016-12-13,2016-12-12
"Joel Embiid","Day-To-Day","Dec 10",2016-12-13,2016-12-12
"Josh Richardson","Out","Dec 9",2016-12-13,2016-12-12
"Jrue Holiday","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Justin Hamilton","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Justise Winslow","Out","Dec 11",2016-12-14,2016-12-12
"Kemba Walker","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Kentavious Caldwell-Pope","Day-To-Day","Dec 12",2016-12-13,2016-12-12
"Kevin Love","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Kevon Looney","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Kyle O'Quinn","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Luke Babbitt","Out","Dec 12",2016-12-13,2016-12-12
"Marc Gasol","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Matt Barnes","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Maurice Harkless","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Monta Ellis","Day-To-Day","Dec 12",2016-12-14,2016-12-12
"Nemanja Bjelica","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Nerlens Noel","Out","Dec 8",2016-12-13,2016-12-12
"Nick Young","Out","Dec 11",2016-12-13,2016-12-12
"Nikola Jokic","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Nikola Vucevic","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Paul Millsap","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Raymond Felton","Out","Dec 8",2016-12-13,2016-12-12
"Robert Covington","Out","Dec 8",2016-12-13,2016-12-12
"Rodney McGruder","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Sergio Rodriguez","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Seth Curry","Out","Dec 9",2016-12-13,2016-12-12
"Shaun Livingston","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Tarik Black","Day-To-Day","Dec 8",2016-12-13,2016-12-12
"Troy Daniels","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Udonis Haslem","Day-To-Day","Dec 9",2016-12-13,2016-12-12
"Victor Oladipo","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Vince Carter","Out","Dec 9",2016-12-13,2016-12-12
"Wilson Chandler","Day-To-Day","Dec 11",2016-12-13,2016-12-12
"Zaza Pachulia","Out","Dec 12",2016-12-13,2016-12-12
