"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Allen Crabbe","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"Amir Coffey","Out","Dec 6","Dec 15",2019-12-15,2019-12-09
"Andre Iguodala","Day-To-Day","Dec 9","Dec 15",2019-12-15,2019-12-09
"Andrew Wiggins","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Anthony Davis","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Aron Baynes","Out","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Avery Bradley","Out","Dec 7","Dec 11",2019-12-11,2019-12-09
"Bam Adebayo","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Bogdan Bogdanovic","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Brandon Clarke","Out","Dec 8","Dec 11",2019-12-11,2019-12-09
"Brandon Ingram","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"Brian Bowen II","Day-To-Day","Dec 9",NA,2019-12-10,2019-12-09
"C.J. Miles","Out","Dec 9","Feb 1",2020-02-01,2019-12-09
"Chandler Hutchison","Out","Dec 7","Dec 9",2019-12-09,2019-12-09
"Chimezie Metu","Out","Dec 6",NA,2019-12-10,2019-12-09
"Cory Joseph","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"D'Angelo Russell","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"Damion Lee","Out","Dec 5","Game Time Decision",2019-12-10,2019-12-09
"Damyean Dotson","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Dario Saric","Day-To-Day","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"De'Andre Hunter","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"Delon Wright","Day-To-Day","Dec 7","Dec 12",2019-12-12,2019-12-09
"Deonte Burton","Suspension","Dec 6",NA,2019-12-10,2019-12-09
"Derrick Favors","Out","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Devonte' Graham","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Dillon Brooks","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Dion Waiters","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Dragan Bender","Day-To-Day","Dec 8","Dec 11",2019-12-11,2019-12-09
"Dwight Powell","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Dylan Windler","Out","Dec 6","Game Time Decision",2019-12-10,2019-12-09
"Edmond Sumner","Out","Dec 5",NA,2019-12-10,2019-12-09
"Elfrid Payton","Out","Dec 5",NA,2019-12-10,2019-12-09
