"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Fred VanVleet","Day-To-Day","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Gary Trent Jr.","Out","Dec 8",NA,2019-12-10,2019-12-09
"Goran Dragic","Out","Dec 7","Dec 10",2019-12-10,2019-12-09
"Gordon Hayward","Out","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Ian Mahinmi","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Isaiah Thomas","Out","Dec 9","Dec 16",2019-12-16,2019-12-09
"Ja Morant","Out","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Jacob Evans","Out","Dec 6","Game Time Decision",2019-12-10,2019-12-09
"JaKarr Sampson","Out","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Jake Layman","Out","Dec 7","Game Time Decision",2019-12-10,2019-12-09
"Jamal Murray","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"James Harden","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"JaMychal Green","Day-To-Day","Dec 9","Dec 11",2019-12-11,2019-12-09
"Jeff Teague","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Joel Embiid","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Jonah Bolden","Day-To-Day","Dec 8","Dec 10",2019-12-10,2019-12-09
"Jordan McRae","Out","Dec 5","Dec 20",2019-12-20,2019-12-09
"Josh Richardson","Out","Dec 7","Dec 10",2019-12-10,2019-12-09
"Justise Winslow","Day-To-Day","Dec 8","Dec 10",2019-12-10,2019-12-09
"Karl-Anthony Towns","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Kawhi Leonard","Day-To-Day","Dec 9","Dec 11",2019-12-11,2019-12-09
"Kevin Love","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Kyle Anderson","Out","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Kyle Kuzma","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Kyrie Irving","Out","Dec 8","Dec 17",2019-12-17,2019-12-09
"KZ Okpala","Out","Dec 7","Dec 13",2019-12-13,2019-12-09
"LaMarcus Aldridge","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"Landry Shamet","Out","Dec 9","Dec 11",2019-12-11,2019-12-09
"Malcolm Brogdon","Day-To-Day","Dec 9",NA,2019-12-10,2019-12-09
"Marcus Smart","Day-To-Day","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Markieff Morris","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Marvin Bagley III","Out","Dec 8","Dec 11",2019-12-11,2019-12-09
"Marvin Williams","Day-To-Day","Dec 8","Dec 10",2019-12-10,2019-12-09
"Matisse Thybulle","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"Michael Carter-Williams","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Mikal Bridges","Day-To-Day","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Mike Conley","Day-To-Day","Dec 8","Dec 11",2019-12-11,2019-12-09
"Naz Reid","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Nene Hilario","Out","Dec 5",NA,2019-12-10,2019-12-09
"Otto Porter Jr.","Out","Dec 6","Dec 23",2019-12-23,2019-12-09
"Patrick McCaw","Out","Dec 8","Dec 11",2019-12-11,2019-12-09
"Patrick Patterson","Day-To-Day","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Paul George","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"PJ Washington","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"Rajon Rondo","Day-To-Day","Dec 8","Dec 11",2019-12-11,2019-12-09
"Robert Williams III","Day-To-Day","Dec 8",NA,2019-12-10,2019-12-09
"Rodney Hood","Out","Dec 6","Out for the season",2020-12-08,2019-12-09
"Rodney McGruder","Out","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Romeo Langford","Day-To-Day","Dec 9","Dec 11",2019-12-11,2019-12-09
"Shabazz Napier","Day-To-Day","Dec 7",NA,2019-12-10,2019-12-09
"Stanley Johnson","Out","Dec 7","Dec 11",2019-12-11,2019-12-09
"Stephen Curry","Out","Dec 6","Feb 28",2020-02-28,2019-12-09
"Terrance Ferguson","Day-To-Day","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Thaddeus Young","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Tristan Thompson","Day-To-Day","Dec 5",NA,2019-12-10,2019-12-09
"Ty Jerome","Day-To-Day","Dec 6",NA,2019-12-10,2019-12-09
"Tyson Chandler","Day-To-Day","Dec 8","Game Time Decision",2019-12-10,2019-12-09
"Victor Oladipo","Out","Dec 6","Dec 20",2019-12-20,2019-12-09
"Wayne Ellington","Day-To-Day","Dec 7","Game Time Decision",2019-12-10,2019-12-09
"Zhaire Smith","Day-To-Day","Dec 8","Dec 10",2019-12-10,2019-12-09
"Zion Williamson","Out","Dec 5","Jan 3",2020-01-03,2019-12-09
"Zylan Cheatham","Day-To-Day","Dec 9","Game Time Decision",2019-12-10,2019-12-09
"Al-Farouq Aminu","Out",NA,"Feb 1",2020-02-01,2019-12-09
"Andre Roberson","Out",NA,"Jan 1",2020-01-01,2019-12-09
"Brian Bowen","Out",NA,"Game Time Decision",2019-12-10,2019-12-09
"Caris LeVert","Out",NA,"Dec 14",2019-12-14,2019-12-09
"Cristiano Felicio","Out",NA,"Dec 21",2019-12-21,2019-12-09
"Darius Miller","Out",NA,"Apr 1",2020-03-31,2019-12-09
"De'Aaron Fox","Out",NA,"Jan 1",2020-01-01,2019-12-09
"DeMarcus Cousins","Out",NA,"May 15",2020-05-14,2019-12-09
"Eric Gordon","Out",NA,"Dec 13",2019-12-13,2019-12-09
"Gerald Green","Out",NA,"Apr 15",2020-04-14,2019-12-09
"Hamidou Diallo","Out",NA,"Jan 4",2020-01-04,2019-12-09
"John Wall","Out",NA,"May 1",2020-04-30,2019-12-09
"Jusuf Nurkic","Out",NA,"Feb 1",2020-02-01,2019-12-09
"Kevin Durant","Out",NA,"Out for the season",2020-12-08,2019-12-09
"Khyri Thomas","Out",NA,"Jan 1",2020-01-01,2019-12-09
"Klay Thompson","Out",NA,"Jun 1",2020-05-31,2019-12-09
"Matt Thomas","Out",NA,"Dec 28",2019-12-28,2019-12-09
"Nene","Out",NA,"Dec 13",2019-12-13,2019-12-09
"Nikola Vucevic","Out",NA,"Dec 20",2019-12-20,2019-12-09
"P.J. Washington","Out",NA,"Game Time Decision",2019-12-10,2019-12-09
"Reggie Bullock","Out",NA,"Dec 20",2019-12-20,2019-12-09
"Reggie Jackson","Out",NA,"Dec 23",2019-12-23,2019-12-09
"Robert Williams","Out",NA,"Dec 11",2019-12-11,2019-12-09
"Tacko Fall","Out",NA,"Game Time Decision",2019-12-10,2019-12-09
"Thomas Bryant","Out",NA,"Jan 5",2020-01-05,2019-12-09
"Zach Collins","Out",NA,"Mar 15",2020-03-14,2019-12-09
