"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Out","Dec 17",2016-12-20,2016-12-18
"Alex Len","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Anthony Davis","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Austin Rivers","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Ben McLemore","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Brandon Knight","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Bruno Caboclo","Out","Dec 16",2016-12-19,2016-12-18
"Cameron Payne","Out","Dec 15",2016-12-25,2016-12-18
"Carmelo Anthony","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Chandler Parsons","Out","Dec 16",2016-12-19,2016-12-18
"Chris Andersen","Out","Dec 16",2017-10-25,2016-12-18
"Clint Capela","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"D'Angelo Russell","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Dante Cunningham","Out","Dec 17",2016-12-19,2016-12-18
"Dario Saric","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Darrell Arthur","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"David West","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"DeAndre Bembry","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"DeMarcus Cousins","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Derrick Rose","Day-To-Day","Dec 17",2016-12-20,2016-12-18
"Deyonta Davis","Out","Dec 15",2017-01-24,2016-12-18
"Dion Waiters","Out","Dec 17",2016-12-20,2016-12-18
"Festus Ezeli","Out","Dec 17",2017-10-01,2016-12-18
"Gary Harris","Out","Dec 15",2016-12-19,2016-12-18
"Gerald Green","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Giannis Antetokounmpo","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Hollis Thompson","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Ian Mahinmi","Out","Dec 16",2016-12-19,2016-12-18
"Isaiah Thomas","Out","Dec 16",2016-12-19,2016-12-18
"J.J. Barea","Out","Dec 16",2016-12-30,2016-12-18
"Jameer Nelson","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"James Ennis","Out","Dec 18",2016-12-19,2016-12-18
"Jarell Martin","Day-To-Day","Dec 18",2016-12-19,2016-12-18
"Jason Smith","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Jeremy Lamb","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Jeremy Lin","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Jerryd Bayless","Out","Dec 15",2017-10-25,2016-12-18
"Joel Embiid","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Jon Leuer","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Jrue Holiday","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Justin Hamilton","Out","Dec 16",2016-12-19,2016-12-18
"Justise Winslow","Out","Dec 15",2016-12-19,2016-12-18
"Kemba Walker","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"LaMarcus Aldridge","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Luc Mbah a Moute","Out","Dec 17",2016-12-20,2016-12-18
"Lucas Nogueira","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Malcolm Delaney","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Markieff Morris","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Michael Beasley","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Michael Carter-Williams","Out","Dec 16",2016-12-25,2016-12-18
"Mike Conley","Out","Dec 16",2016-12-19,2016-12-18
"Nerlens Noel","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Nikola Vucevic","Out","Dec 16",2016-12-19,2016-12-18
"Omri Casspi","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Rajon Rondo","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Rodney Stuckey","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Rudy Gay","Out","Dec 18",2016-12-19,2016-12-18
"Salah Mejri","Day-To-Day","Dec 15",2016-12-19,2016-12-18
"Solomon Hill","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Taj Gibson","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Tarik Black","Out","Dec 16",2016-12-19,2016-12-18
"Tim Frazier","Out","Dec 16",2016-12-19,2016-12-18
"Tyler Johnson","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Tyreke Evans","Day-To-Day","Dec 16",2016-12-19,2016-12-18
"Victor Oladipo","Out","Dec 17",2016-12-19,2016-12-18
"Wayne Ellington","Day-To-Day","Dec 17",2016-12-19,2016-12-18
"Wilson Chandler","Day-To-Day","Dec 14",2016-12-19,2016-12-18
"Zaza Pachulia","Out","Dec 17",2016-12-19,2016-12-18
