"DATE","home_team_name_538","home_team_prob_win_538","home_team_name"
2020-02-28,"Magic",0.8,"Orlando"
2020-02-28,"Hawks",0.6,"Atlanta"
2020-02-28,"Raptors",0.91,"Toronto"
2020-02-28,"Pelicans",0.92,"New Orleans"
2020-02-28,"Heat",0.59,"Miami"
2020-02-28,"Bucks",0.83,"Milwaukee"
2020-02-28,"Grizzlies",0.58,"Memphis"
2020-02-28,"Suns",0.87,"Phoenix"
2020-02-28,"Jazz",0.83,"Utah"
2020-02-28,"Clippers",0.72,"LA Clippers"
2020-02-29,"Knicks",0.63,"New York"
2020-02-29,"Heat",0.79,"Miami"
2020-02-29,"Hawks",0.65,"Atlanta"
2020-02-29,"Cavaliers",0.23,"Cleveland"
2020-02-29,"Grizzlies",0.29,"Memphis"
2020-02-29,"Celtics",0.46,"Boston"
2020-02-29,"Spurs",0.63,"San Antonio"
2020-02-29,"Suns",0.81,"Phoenix"
NA,"Hornets",0.16,"Charlotte"
NA,"Timberwolves",0.27,"Minnesota"
NA,"Clippers",0.85,"LA Clippers"
NA,"Kings",0.86,"Sacramento"
NA,"Nuggets",0.72,"Denver"
NA,"Pelicans",0.65,"New Orleans"
NA,"Warriors",0.38,"Golden State"
NA,"Knicks",0.13,"New York"
NA,"Magic",0.73,"Orlando"
NA,"Cavaliers",0.28,"Cleveland"
NA,"Hawks",0.6,"Atlanta"
NA,"Heat",0.47,"Miami"
NA,"Bulls",0.38,"Chicago"
NA,"Spurs",0.52,"San Antonio"
NA,"Hornets",0.5,"Charlotte"
NA,"Celtics",0.89,"Boston"
NA,"Thunder",0.4,"Oklahoma City"
NA,"Pelicans",0.9,"New Orleans"
NA,"Nuggets",0.93,"Denver"
NA,"Suns",0.45,"Phoenix"
NA,"Lakers",0.75,"LA Lakers"
NA,"Kings",0.71,"Sacramento"
NA,"Cavaliers",0.22,"Cleveland"
NA,"Bucks",0.8,"Milwaukee"
NA,"Pistons",0.33,"Detroit"
NA,"Nets",0.53,"Brooklyn"
NA,"Heat",0.66,"Miami"
NA,"Knicks",0.25,"New York"
NA,"Timberwolves",0.46,"Minnesota"
NA,"Mavericks",0.69,"Dallas"
NA,"Hornets",0.22,"Charlotte"
NA,"Rockets",0.62,"Houston"
NA,"Kings",0.48,"Sacramento"
NA,"Warriors",0.26,"Golden State"
2020-02-27,"76ers",0.85,"Philadelphia"
2020-02-27,"Pacers",0.87,"Indiana"
2020-02-27,"Thunder",0.75,"Oklahoma City"
2020-02-27,"Warriors",0.25,"Golden State"
2020-02-26,"Wizards",0.65,"Washington"
2020-02-26,"Hornets",0.59,"Charlotte"
2020-02-26,"Cavaliers",0.18,"Cleveland"
2020-02-26,"Heat",0.82,"Miami"
2020-02-26,"Hawks",0.43,"Atlanta"
2020-02-26,"Rockets",0.91,"Houston"
2020-02-26,"Spurs",0.36,"San Antonio"
2020-02-26,"Suns",0.32,"Phoenix"
2020-02-26,"Jazz",0.75,"Utah"
2020-02-25,"Pacers",0.87,"Indiana"
2020-02-25,"Raptors",0.62,"Toronto"
2020-02-25,"Bulls",0.17,"Chicago"
2020-02-25,"Nuggets",0.95,"Denver"
2020-02-25,"Lakers",0.71,"LA Lakers"
2020-02-25,"Warriors",0.33,"Golden State"
2020-02-24,"76ers",0.85,"Philadelphia"
2020-02-24,"Cavaliers",0.47,"Cleveland"
2020-02-24,"Wizards",0.26,"Washington"
2020-02-24,"Nets",0.53,"Brooklyn"
2020-02-24,"Rockets",0.95,"Houston"
2020-02-24,"Mavericks",0.95,"Dallas"
2020-02-24,"Jazz",0.78,"Utah"
2020-02-24,"Clippers",0.84,"LA Clippers"
2020-02-23,"Lakers",0.78,"LA Lakers"
2020-02-23,"Raptors",0.71,"Toronto"
2020-02-23,"Nuggets",0.96,"Denver"
2020-02-23,"Thunder",0.78,"Oklahoma City"
2020-02-23,"Bulls",0.46,"Chicago"
2020-02-23,"Warriors",0.14,"Golden State"
2020-02-22,"Clippers",0.7,"LA Clippers"
2020-02-22,"Hornets",0.49,"Charlotte"
2020-02-22,"Hawks",0.52,"Atlanta"
2020-02-22,"Heat",0.9,"Miami"
2020-02-22,"Bulls",0.3,"Chicago"
2020-02-22,"Bucks",0.63,"Milwaukee"
2020-02-22,"Jazz",0.4,"Utah"
2020-02-21,"Wizards",0.77,"Washington"
2020-02-21,"Magic",0.46,"Orlando"
2020-02-21,"Knicks",0.25,"New York"
2020-02-21,"Raptors",0.78,"Toronto"
2020-02-21,"Timberwolves",0.24,"Minnesota"
2020-02-21,"Thunder",0.57,"Oklahoma City"
2020-02-21,"Jazz",0.79,"Utah"
2020-02-21,"Lakers",0.9,"LA Lakers"
