"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al Horford","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Andrew Bogut","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Ben Simmons","Out","Dec 1",2017-01-09,2016-12-02
"Blake Griffin","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Brandon Rush","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"C.J. Miles","Out","Nov 30",2016-12-03,2016-12-02
"Caris LeVert","Out","Nov 28",2016-12-05,2016-12-02
"Channing Frye","Out","Nov 30",2016-12-03,2016-12-02
"Courtney Lee","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Danilo Gallinari","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Darrell Arthur","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"DeMarcus Cousins","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Deron Williams","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Derrick Williams","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Devin Harris","Out","Nov 30",2016-12-03,2016-12-02
"Dewayne Dedmon","Out","Nov 29",2016-12-03,2016-12-02
"Dion Waiters","Out","Nov 30",2016-12-14,2016-12-02
"Dirk Nowitzki","Out","Nov 30",2016-12-05,2016-12-02
"Doug McDermott","Out","Nov 30",2016-12-03,2016-12-02
"Draymond Green","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Dwyane Wade","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Elfrid Payton","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Gary Harris","Out","Nov 29",2016-12-10,2016-12-02
"Hassan Whiteside","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Henry Ellenson","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Ian Clark","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Ian Mahinmi","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Iman Shumpert","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Jeff Green","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Jeremy Lamb","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Jeremy Lin","Out","Nov 30",2016-12-05,2016-12-02
"Jerryd Bayless","Out","Nov 30",2016-12-03,2016-12-02
"Joakim Noah","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Jodie Meeks","Out","Nov 28",2016-12-03,2016-12-02
"Joel Embiid","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Josh Richardson","Day-To-Day","Nov 30",2016-12-06,2016-12-02
"Juancho Hernangomez","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Julius Randle","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Justise Winslow","Out","Nov 29",2016-12-06,2016-12-02
"Lance Thomas","Out","Nov 30",2016-12-03,2016-12-02
"Luke Babbitt","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Manu Ginobili","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Markieff Morris","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Mike Conley","Out","Nov 29",2017-01-14,2016-12-02
"Mike Dunleavy","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Mike Miller","Out","Nov 29",2016-12-03,2016-12-02
"Mike Scott","Out","Nov 30",2016-12-03,2016-12-02
"Nene Hilario","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Nerlens Noel","Out","Nov 30",2016-12-10,2016-12-02
"Nick Young","Out","Nov 30",2016-12-14,2016-12-02
"Nikola Jokic","Day-To-Day","Dec 1",2016-12-03,2016-12-02
"Pau Gasol","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Paul Millsap","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Quincy Pondexter","Out","Dec 1",2016-12-31,2016-12-02
"Reggie Bullock","Out","Nov 30",2017-01-31,2016-12-02
"Reggie Jackson","Out","Nov 29",2016-12-04,2016-12-02
"Rondae Hollis-Jefferson","Day-To-Day","Nov 28",2016-12-03,2016-12-02
"Seth Curry","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Tony Parker","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Tyler Johnson","Day-To-Day","Nov 29",2016-12-03,2016-12-02
"Tyreke Evans","Out","Dec 1",2016-12-20,2016-12-02
"Vince Carter","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Wayne Ellington","Out","Nov 28",2016-12-03,2016-12-02
"Will Barton","Day-To-Day","Nov 30",2016-12-03,2016-12-02
"Willie Reed","Out","Nov 28",2016-12-03,2016-12-02
"Zach Randolph","Out","Nov 30",2016-12-03,2016-12-02
