"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Aaron Gordon","Out","Nov 29",NA,2019-12-03,2019-12-02
"Al Horford","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Al-Farouq Aminu","Out","Dec 1","Feb 1",2020-02-01,2019-12-02
"Allen Crabbe","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Amir Coffey","Out","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Andre Roberson","Out","Dec 1","Game Time Decision",2019-12-03,2019-12-02
"Anthony Davis","Day-To-Day","Nov 28","Game Time Decision",2019-12-03,2019-12-02
"Aron Baynes","Out","Nov 29","Game Time Decision",2019-12-03,2019-12-02
"Avery Bradley","Out","Nov 30","Dec 8",2019-12-08,2019-12-02
"Ben Simmons","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"Bogdan Bogdanovic","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Bol Bol","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"Brandon Clarke","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Brook Lopez","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"C.J. Miles","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Cam Reddish","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Cameron Johnson","Day-To-Day","Dec 1",NA,2019-12-03,2019-12-02
"Cedi Osman","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Chandler Hutchison","Out","Nov 29","Game Time Decision",2019-12-03,2019-12-02
"Cheick Diallo","Day-To-Day","Dec 1","Game Time Decision",2019-12-03,2019-12-02
"Chimezie Metu","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Clint Capela","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Cody Zeller","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"D'Angelo Russell","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Damion Lee","Out","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"De'Aaron Fox","Out","Nov 29","Jan 1",2020-01-01,2019-12-02
"De'Andre Hunter","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"DeAndre Jordan","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"DeAndre' Bembry","Day-To-Day","Dec 1",NA,2019-12-03,2019-12-02
"Dennis Smith Jr.","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Derrick Favors","Out","Nov 30","Dec 5",2019-12-05,2019-12-02
"Derrick Jones Jr.","Out","Nov 30",NA,2019-12-03,2019-12-02
"Dewan Hernandez","Out","Nov 28",NA,2019-12-03,2019-12-02
"Dion Waiters","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"Dorian Finney-Smith","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Draymond Green","Day-To-Day","Dec 1","Game Time Decision",2019-12-03,2019-12-02
"Dylan Windler","Out","Dec 2","Dec 6",2019-12-06,2019-12-02
"Ed Davis","Out","Nov 29",NA,2019-12-03,2019-12-02
"Edmond Sumner","Out","Nov 30","Dec 6",2019-12-06,2019-12-02
"Elfrid Payton","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Eric Bledsoe","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Frank Ntilikina","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Garrison Mathews","Day-To-Day","Dec 2","Dec 3",2019-12-03,2019-12-02
"Gary Trent Jr.","Day-To-Day","Nov 28","Game Time Decision",2019-12-03,2019-12-02
"George Hill","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Giannis Antetokounmpo","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Goran Dragic","Day-To-Day","Dec 2","Dec 4",2019-12-04,2019-12-02
"Gordon Hayward","Out","Nov 30","Dec 25",2019-12-25,2019-12-02
"Ian Mahinmi","Out","Dec 2","Dec 5",2019-12-05,2019-12-02
"Isaiah Roby","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Ja Morant","Out","Nov 30","Dec 9",2019-12-09,2019-12-02
"Jacob Evans","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"JaKarr Sampson","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Jake Layman","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"JaMychal Green","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Jerami Grant","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Jimmy Butler","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"John Henson","Out","Nov 28","Game Time Decision",2019-12-03,2019-12-02
"John Konchar","Out","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Jonas Valanciunas","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Josh Okogie","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Josh Richardson","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Kenrich Williams","Day-To-Day","Nov 30","Dec 5",2019-12-05,2019-12-02
