"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Kevin Huerter","Out","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Kevon Looney","Out","Nov 29",NA,2019-12-03,2019-12-02
"Kristaps Porzingis","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Kyle Anderson","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Kyle Korver","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Kyle Kuzma","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Kyle Lowry","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Kyle O'Quinn","Out","Nov 30",NA,2019-12-03,2019-12-02
"Kyrie Irving","Out","Nov 29","Game Time Decision",2019-12-03,2019-12-02
"KZ Okpala","Out","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"LaMarcus Aldridge","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Landry Shamet","Out","Dec 2","Dec 6",2019-12-06,2019-12-02
"Lonzo Ball","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Malik Monk","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Marcus Morris Sr.","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Marcus Smart","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Marvin Bagley III","Out","Nov 29","Dec 6",2019-12-06,2019-12-02
"Michael Carter-Williams","Out","Nov 28","Game Time Decision",2019-12-03,2019-12-02
"Michael Kidd-Gilchrist","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Mikal Bridges","Day-To-Day","Dec 1",NA,2019-12-03,2019-12-02
"Mike Conley","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Nicolas Batum","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Nicolas Claxton","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Nikola Vucevic","Out","Nov 30","Dec 20",2019-12-20,2019-12-02
"Otto Porter Jr.","Out","Dec 2","Dec 9",2019-12-09,2019-12-02
"Patrick McCaw","Out","Dec 2","Dec 14",2019-12-14,2019-12-02
"Richaun Holmes","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"Ricky Rubio","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Rodney McGruder","Day-To-Day","Nov 30","Dec 8",2019-12-08,2019-12-02
"Romeo Langford","Out","Nov 30",NA,2019-12-03,2019-12-02
"Ryan Arcidiacono","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Serge Ibaka","Out","Nov 30",NA,2019-12-03,2019-12-02
"Shabazz Napier","Out","Nov 30",NA,2019-12-03,2019-12-02
"Shake Milton","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Sterling Brown","Day-To-Day","Nov 30","Game Time Decision",2019-12-03,2019-12-02
"Sviatoslav Mykhailiuk","Day-To-Day","Dec 2",NA,2019-12-03,2019-12-02
"Thanasis Antetokounmpo","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Tomas Satoransky","Day-To-Day","Nov 29",NA,2019-12-03,2019-12-02
"Treveon Graham","Day-To-Day","Nov 30",NA,2019-12-03,2019-12-02
"Trevor Ariza","Out","Nov 29",NA,2019-12-03,2019-12-02
"Trey Burke","Day-To-Day","Dec 2","Game Time Decision",2019-12-03,2019-12-02
"Ty Jerome","Out","Nov 30",NA,2019-12-03,2019-12-02
"Tyler Cook","Day-To-Day","Dec 1","Dec 5",2019-12-05,2019-12-02
"Victor Oladipo","Out","Nov 30","Dec 9",2019-12-09,2019-12-02
"Vlatko Cancar","Day-To-Day","Nov 28",NA,2019-12-03,2019-12-02
"Zion Williamson","Out","Nov 29","Dec 15",2019-12-15,2019-12-02
"Andre Iguodala","Out",NA,"Dec 15",2019-12-15,2019-12-02
"Caris LeVert","Out",NA,"Dec 14",2019-12-14,2019-12-02
"Cristiano Felicio","Out",NA,"Dec 21",2019-12-21,2019-12-02
"Danuel House Jr.","Out",NA,"Game Time Decision",2019-12-03,2019-12-02
"Darius Miller","Out",NA,"Apr 1",2020-03-31,2019-12-02
"DeMarcus Cousins","Out",NA,"May 15",2020-05-14,2019-12-02
"Eric Gordon","Out",NA,"Dec 13",2019-12-13,2019-12-02
"Gerald Green","Out",NA,"Apr 15",2020-04-14,2019-12-02
"Hamidou Diallo","Out",NA,"Jan 4",2020-01-04,2019-12-02
"John Wall","Out",NA,"May 1",2020-04-30,2019-12-02
"Jusuf Nurkic","Out",NA,"Feb 1",2020-02-01,2019-12-02
"Kevin Durant","Out",NA,"Out for the season",2020-12-01,2019-12-02
"Khyri Thomas","Out",NA,"Jan 1",2020-01-01,2019-12-02
"Klay Thompson","Out",NA,"Jun 1",2020-05-31,2019-12-02
"Marcus Morris","Out",NA,"Game Time Decision",2019-12-03,2019-12-02
"Matt Thomas","Out",NA,"Dec 28",2019-12-28,2019-12-02
"Moe Wagner","Out",NA,"Game Time Decision",2019-12-03,2019-12-02
"Nene","Out",NA,"Dec 3",2019-12-03,2019-12-02
"Reggie Bullock","Out",NA,"Dec 20",2019-12-20,2019-12-02
"Reggie Jackson","Out",NA,"Dec 3",2019-12-03,2019-12-02
"Stanley Johnson","Out",NA,"Game Time Decision",2019-12-03,2019-12-02
"Stephen Curry","Out",NA,"Mar 5",2020-03-04,2019-12-02
"Svi Mykhailiuk","Out",NA,"Game Time Decision",2019-12-03,2019-12-02
"Tacko Fall","Out",NA,"Dec 8",2019-12-08,2019-12-02
"Zach Collins","Out",NA,"Mar 15",2020-03-14,2019-12-02
