"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Brad Wanamaker",NA,"PG",31,"6' 3""",210,1445697,"1",NA,NA,NA,NA,NA
"Carsen Edwards",NA,"PG",22,"5' 11""",200,1228026,"1",NA,NA,NA,NA,NA
"Daniel Theis",NA,"C",28,"6' 8""",245,5e+06,"1",NA,NA,NA,NA,NA
"Enes Kanter",NA,"C",28,"6' 10""",250,4767000,"1",NA,NA,NA,NA,NA
"Gordon Hayward",NA,"SF",30,"6' 7""",225,32700690,"1",NA,NA,NA,NA,NA
"Grant Williams",NA,"PF",21,"6' 6""",236,2379840,"1",NA,NA,NA,NA,NA
"Javonte Green",NA,"SG",27,"6' 4""",205,898310,"1",NA,NA,NA,NA,NA
"Jaylen Brown",NA,"SG",23,"6' 6""",223,6534829,"1",NA,NA,NA,NA,NA
"Jayson Tatum",NA,"PF",22,"6' 8""",210,7830000,"1",NA,NA,NA,NA,NA
"Kemba Walker",NA,"PG",30,"6' 0""",184,32742000,"1",NA,NA,NA,NA,NA
"Marcus Smart",NA,"PG",26,"6' 3""",220,12553571,"1",NA,NA,NA,NA,NA
"Robert Williams III",NA,"C",22,"6' 8""",237,1937520,"1",NA,NA,NA,NA,NA
"Romeo Langford",NA,"SG",20,"6' 4""",216,3458400,"1",NA,NA,NA,NA,NA
"Semi Ojeleye",NA,"PF",25,"6' 6""",240,1618520,"1",NA,NA,NA,NA,NA
"Tacko Fall",NA,"C",24,"7' 5""",311,NA,"1",NA,NA,NA,NA,NA
"Tremont Waters",NA,"PG",22,"5' 10""",175,NA,"1",NA,NA,NA,NA,NA
"Vincent Poirier",NA,"C",26,"7' 0""",235,2505793,"1",NA,NA,NA,NA,NA
"Caris LeVert",NA,"SG",25,"6' 6""",205,2625718,"2",NA,NA,NA,NA,NA
"Chris Chiozza",NA,"PG",24,"5' 11""",176,NA,"2",NA,NA,NA,NA,NA
"DeAndre Jordan",NA,"C",32,"6' 11""",265,9881598,"2",NA,NA,NA,NA,NA
"Donta Hall",NA,"PF",23,"6' 9""",229,NA,"2",NA,NA,NA,NA,NA
"Dzanan Musa",NA,"SG",21,"6' 9""",217,1911600,"2",NA,NA,NA,NA,NA
"Garrett Temple",NA,"SG",34,"6' 5""",195,4767000,"2",NA,NA,NA,NA,NA
"Jamal Crawford",NA,"SG",40,"6' 5""",185,NA,"2","Out",NA,"Game Time Decision",2020-08-11,2020-08-10
"Jarrett Allen",NA,"C",22,"6' 11""",243,2376840,"2",NA,NA,NA,NA,NA
"Jeremiah Martin",NA,"PG",24,"6' 2""",185,NA,"2",NA,NA,NA,NA,NA
"Joe Harris",NA,"SF",28,"6' 6""",220,7666667,"2",NA,NA,NA,NA,NA
"Justin Anderson",NA,"SG",26,"6' 5""",231,NA,"2",NA,NA,NA,NA,NA
"Kevin Durant",NA,"SF",31,"6' 10""",240,38199000,"2",NA,NA,NA,NA,NA
"Kyrie Irving",NA,"PG",28,"6' 2""",195,31742000,"2",NA,NA,NA,NA,NA
"Lance Thomas",NA,"SF",32,"6' 8""",235,7119650,"2",NA,NA,NA,NA,NA
"Nicolas Claxton",NA,"PF",21,"6' 11""",215,898310,"2",NA,NA,NA,NA,NA
"Rodions Kurucs",NA,"SF",22,"6' 9""",228,1699236,"2",NA,NA,NA,NA,NA
"Spencer Dinwiddie",NA,"PG",27,"6' 5""",215,10605600,"2",NA,NA,NA,NA,NA
"Taurean Prince",NA,"PF",26,"6' 7""",218,3481986,"2",NA,NA,NA,NA,NA
"Timothe Luwawu-Cabarrot",NA,"SG",25,"6' 7""",210,654469,"2",NA,NA,NA,NA,NA
"Tyler Johnson",NA,"SG",28,"6' 4""",190,183115,"2",NA,NA,NA,NA,NA
"Wilson Chandler",NA,"SF",33,"6' 8""",235,1620564,"2",NA,NA,NA,NA,NA
"Bobby Portis",NA,"PF",25,"6' 10""",250,1.5e+07,"3",NA,NA,NA,NA,NA
"Damyean Dotson",NA,"SG",26,"6' 5""",210,1618520,"3",NA,NA,NA,NA,NA
"Dennis Smith Jr.",NA,"PG",22,"6' 2""",205,4463640,"3",NA,NA,NA,NA,NA
"Elfrid Payton",NA,"PG",26,"6' 3""",195,8e+06,"3",NA,NA,NA,NA,NA
"Frank Ntilikina",NA,"PG",22,"6' 4""",200,4855800,"3",NA,NA,NA,NA,NA
"Ignas Brazdeikis",NA,"SF",21,"6' 6""",221,898310,"3",NA,NA,NA,NA,NA
"Jared Harper",NA,"PG",22,"5' 11""",175,NA,"3",NA,NA,NA,NA,NA
"Julius Randle",NA,"PF",25,"6' 8""",250,1.8e+07,"3",NA,NA,NA,NA,NA
"Kenny Wooten",NA,"PF",22,"6' 9""",225,NA,"3",NA,NA,NA,NA,NA
"Kevin Knox II",NA,"SF",20,"6' 7""",215,4380120,"3",NA,NA,NA,NA,NA
"Maurice Harkless",NA,"SF",27,"6' 7""",220,11011234,"3",NA,NA,NA,NA,NA
"Mitchell Robinson",NA,"C",22,"7' 0""",240,1599712,"3",NA,NA,NA,NA,NA
"Reggie Bullock",NA,"SF",29,"6' 6""",205,4e+06,"3",NA,NA,NA,NA,NA
"RJ Barrett",NA,"SG",20,"6' 6""",214,7839960,"3",NA,NA,NA,NA,NA
"Taj Gibson",NA,"C",35,"6' 9""",232,9e+06,"3",NA,NA,NA,NA,NA
"Theo Pinson",NA,"SG",24,"6' 5""",212,1445697,"3",NA,NA,NA,NA,NA
"Wayne Ellington",NA,"SG",32,"6' 4""",207,8e+06,"3",NA,NA,NA,NA,NA
"Al Horford",NA,"PF",34,"6' 9""",240,2.8e+07,"4",NA,NA,NA,NA,NA
"Alec Burks",NA,"SG",29,"6' 6""",214,1620564,"4",NA,NA,NA,NA,NA
"Ben Simmons",NA,"PG",24,"6' 10""",240,8113930,"4","Out",NA,"Sep 1",2020-09-01,2020-08-10
"Furkan Korkmaz",NA,"SG",23,"6' 7""",202,1620564,"4",NA,NA,NA,NA,NA
"Glenn Robinson III",NA,"SF",26,"6' 6""",222,1620564,"4",NA,NA,NA,NA,NA
"Joel Embiid",NA,"C",26,"7' 0""",280,27504630,"4","Out",NA,"Game Time Decision",2020-08-11,2020-08-10
"Josh Richardson",NA,"SG",26,"6' 5""",200,10116576,"4",NA,NA,NA,NA,NA
"Kyle O'Quinn",NA,"C",30,"6' 9""",250,1620564,"4",NA,NA,NA,NA,NA
"Marial Shayok",NA,"SG",25,"6' 5""",198,NA,"4",NA,NA,NA,NA,NA
"Matisse Thybulle",NA,"SG",23,"6' 5""",201,2582160,"4",NA,NA,NA,NA,NA
"Mike Scott",NA,"PF",32,"6' 7""",237,4767000,"4",NA,NA,NA,NA,NA
"Norvel Pelle",NA,"SF",27,"6' 10""",231,350189,"4",NA,NA,NA,NA,NA
"Raul Neto",NA,"PG",28,"6' 1""",180,1620564,"4",NA,NA,NA,NA,NA
"Ryan Broekhoff",NA,"SG",29,"6' 6""",215,1416852,"4",NA,NA,NA,NA,NA
"Shake Milton",NA,"SG",23,"6' 5""",205,1455697,"4",NA,NA,NA,NA,NA
"Tobias Harris",NA,"SF",28,"6' 8""",226,32742000,"4",NA,NA,NA,NA,NA
"Zhaire Smith",NA,"SG",21,"6' 3""",205,3058800,"4",NA,NA,NA,NA,NA
