"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Aron Baynes","Boston","C",32,"6' 10""",260,5193600,"Boston Celtics","Out","Feb 5","Feb 21",2019-02-21,2019-02-09
"Austin Rivers","Houston","PG",26,"6' 4""",200,922943,"Houston Rockets",NA,NA,NA,NA,NA
"Avery Bradley","Memphis","SG",28,"6' 2""",180,1.2e+07,"Memphis Grizzlies","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Bam Adebayo","Miami","C",21,"6' 10""",255,2955840,"Miami Heat",NA,NA,NA,NA,NA
"Ben Moore","San Antonio","PF",23,"6' 8""",220,1349383,"San Antonio Spurs",NA,NA,NA,NA,NA
"Ben Simmons","Philadelphia","PG",22,"6' 10""",230,6434520,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Bismack Biyombo","Charlotte","C",26,"6' 9""",255,1.7e+07,"Charlotte Hornets",NA,NA,NA,NA,NA
"Blake Griffin","Detroit","PF",29,"6' 10""",250,32088932,"Detroit Pistons",NA,NA,NA,NA,NA
"Boban Marjanovic","Philadelphia","C",30,"7' 3""",290,7e+06,"Philadelphia 76ers","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Bobby Portis","Washington","PF",23,"6' 11""",250,2494346,"Washington Wizards","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Bogdan Bogdanovic","Sacramento","SG",26,"6' 6""",205,9e+06,"Sacramento Kings",NA,NA,NA,NA,NA
"Bojan Bogdanovic","Indiana","SF",29,"6' 8""",216,10500000,"Indiana Pacers",NA,NA,NA,NA,NA
"Bonzie Colson","Milwaukee","PF",23,"6' 6""",225,NA,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Brad Wanamaker","Boston","PG",29,"6' 4""",210,838464,"Boston Celtics",NA,NA,NA,NA,NA
"Bradley Beal","Washington","SG",25,"6' 5""",207,25434263,"Washington Wizards",NA,NA,NA,NA,NA
"Brandon Goodwin","Denver","PG",23,"6' 2""",180,630032,"Denver Nuggets",NA,NA,NA,NA,NA
"Brandon Ingram","LA Lakers","SF",21,"6' 9""",190,5757120,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Brandon Knight","Cleveland","PG",27,"6' 3""",195,14631250,"Cleveland Cavaliers","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
