"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Aaron Gordon","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Alex Caruso","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Alfonzo McKinnie","Out","Mar 3","Game Time Decision",2020-03-07,2020-03-06
"Andre Drummond","Day-To-Day","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"Anfernee Simons","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Anthony Davis","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Anthony Tolliver","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Brandon Knight","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Bruce Brown","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Bruno Fernando","Day-To-Day","Mar 5",NA,2020-03-07,2020-03-06
"Cam Reddish","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Cameron Johnson","Day-To-Day","Mar 5","Mar 8",2020-03-08,2020-03-06
"Chandler Hutchison","Out","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Chasson Randle","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Christian Wood","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Clint Capela","Out","Mar 4","Mar 20",2020-03-20,2020-03-06
"Cory Joseph","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Damian Lillard","Out","Mar 4",NA,2020-03-07,2020-03-06
"Darius Garland","Day-To-Day","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"De'Aaron Fox","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Deandre Ayton","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"DeAndre' Bembry","Out","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"DeMarre Carroll","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Dennis Smith Jr.","Out","Mar 5","Mar 8",2020-03-08,2020-03-06
"Derrick Rose","Out","Mar 3","Mar 25",2020-03-25,2020-03-06
"Devonte' Graham","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Dewayne Dedmon","Out","Mar 6",NA,2020-03-07,2020-03-06
"Dion Waiters","Day-To-Day","Mar 5",NA,2020-03-07,2020-03-06
"Dorian Finney-Smith","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Doug McDermott","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Draymond Green","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Eric Gordon","Day-To-Day","Mar 6","Mar 8",2020-03-08,2020-03-06
"Evan Fournier","Out","Mar 6","Mar 17",2020-03-17,2020-03-06
"Fred VanVleet","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Garrett Temple","Day-To-Day","Mar 6","Mar 8",2020-03-08,2020-03-06
"Gary Clark","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"George Hill","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Gordon Hayward","Day-To-Day","Mar 5","Mar 8",2020-03-08,2020-03-06
