"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Ish Smith","Day-To-Day","Mar 5","Mar 8",2020-03-08,2020-03-06
"J.J. Barea","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"JaKarr Sampson","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Jakob Poeltl","Out","Mar 2","Mar 27",2020-03-27,2020-03-06
"Jalen Brunson","Out","Mar 4","Mar 10",2020-03-10,2020-03-06
"Jared Harper","Out","Mar 4",NA,2020-03-07,2020-03-06
"Javonte Green","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Jaylen Brown","Out","Mar 6","Mar 10",2020-03-10,2020-03-06
"Jayson Tatum","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Joel Embiid","Out","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Jordan McRae","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Josh Richardson","Day-To-Day","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Kadeem Allen","Out","Mar 2","Game Time Decision",2020-03-07,2020-03-06
"Karl-Anthony Towns","Out","Mar 5","Mar 8",2020-03-08,2020-03-06
"Kelly Oubre Jr.","Out","Mar 3","Apr 1",2020-04-01,2020-03-06
"Kemba Walker","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Kenrich Williams","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Kevin Durant","Out","Mar 3","Out for the season",2021-03-06,2020-03-06
"Kevin Knox II","Day-To-Day","Mar 5",NA,2020-03-07,2020-03-06
"Kevin Porter Jr.","Day-To-Day","Mar 5",NA,2020-03-07,2020-03-06
"Kevon Looney","Day-To-Day","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Khris Middleton","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Kris Dunn","Out","Mar 3","Out for the season",2021-03-06,2020-03-06
"Kristaps Porzingis","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Ky Bowman","Out","Mar 6","Mar 12",2020-03-12,2020-03-06
"Kyle Korver","Out","Mar 5",NA,2020-03-07,2020-03-06
"Kyrie Irving","Out","Mar 3","Out for the season",2021-03-06,2020-03-06
"LaMarcus Aldridge","Out","Mar 5","Mar 8",2020-03-08,2020-03-06
"Lauri Markkanen","Out","Mar 4",NA,2020-03-07,2020-03-06
"Luka Doncic","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Luke Kennard","Out","Mar 3","Mar 11",2020-03-11,2020-03-06
"Malcolm Brogdon","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Marc Gasol","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Marco Belinelli","Day-To-Day","Mar 5","Mar 8",2020-03-08,2020-03-06
"Marcus Smart","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Meyers Leonard","Out","Mar 6","Mar 11",2020-03-11,2020-03-06
"Mitchell Robinson","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Nigel Williams-Goss","Out","Mar 2","Game Time Decision",2020-03-07,2020-03-06
"Noah Vonleh","Day-To-Day","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Otto Porter Jr.","Out","Mar 2",NA,2020-03-07,2020-03-06
"Paul Millsap","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Reggie Bullock","Day-To-Day","Mar 2",NA,2020-03-07,2020-03-06
"Richaun Holmes","Out","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Romeo Langford","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Russell Westbrook","Day-To-Day","Mar 6","Mar 8",2020-03-08,2020-03-06
"Ryan Arcidiacono","Day-To-Day","Mar 6",NA,2020-03-07,2020-03-06
"Sekou Doumbouya","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Semi Ojeleye","Day-To-Day","Mar 4",NA,2020-03-07,2020-03-06
"Serge Ibaka","Out","Mar 5",NA,2020-03-07,2020-03-06
"Seth Curry","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Skal Labissiere","Out","Mar 4","Mar 18",2020-03-18,2020-03-06
"Stephen Curry","Out","Mar 5",NA,2020-03-07,2020-03-06
"T.J. Warren","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Thomas Bryant","Day-To-Day","Mar 4","Game Time Decision",2020-03-07,2020-03-06
"Thon Maker","Day-To-Day","Mar 3",NA,2020-03-07,2020-03-06
"Tim Hardaway Jr.","Day-To-Day","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"Trae Young","Day-To-Day","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"Tristan Thompson","Out","Mar 6","Game Time Decision",2020-03-07,2020-03-06
"Troy Daniels","Day-To-Day","Mar 5",NA,2020-03-07,2020-03-06
"Tyler Herro","Out","Mar 6","Mar 11",2020-03-11,2020-03-06
"Victor Oladipo","Day-To-Day","Mar 5","Game Time Decision",2020-03-07,2020-03-06
"Willie Cauley-Stein","Out","Mar 3",NA,2020-03-07,2020-03-06
"Zach LaVine","Out","Mar 3","Mar 10",2020-03-10,2020-03-06
"Al-Farouq Aminu","Out",NA,"Apr 20",2020-04-20,2020-03-06
"Andre Roberson","Out",NA,"Mar 15",2020-03-15,2020-03-06
"Ben Simmons","Out",NA,"Mar 11",2020-03-11,2020-03-06
"Blake Griffin","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Bol Bol","Out",NA,"Mar 13",2020-03-13,2020-03-06
"Brandon Clarke","Out",NA,"Mar 12",2020-03-12,2020-03-06
"Dante Exum","Out",NA,"Mar 17",2020-03-17,2020-03-06
"Darius Bazley","Out",NA,"Mar 11",2020-03-11,2020-03-06
"Darius Miller","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Dewan Hernandez","Out",NA,"Mar 9",2020-03-09,2020-03-06
"Dwight Powell","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Dylan Windler","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Evan Turner","Out",NA,"Apr 15",2020-04-15,2020-03-06
"Frank Kaminsky","Out",NA,"Mar 20",2020-03-20,2020-03-06
"Grayson Allen","Out",NA,"Mar 10",2020-03-10,2020-03-06
"Jaren Jackson Jr.","Out",NA,"Mar 10",2020-03-10,2020-03-06
"Jeremy Lamb","Out",NA,"Out for the season",2021-03-06,2020-03-06
"JJ Redick","Out",NA,"Mar 16",2020-03-16,2020-03-06
"John Wall","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Jonathan Isaac","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Justise Winslow","Out",NA,"Mar 10",2020-03-10,2020-03-06
"Jusuf Nurkic","Out",NA,"Mar 15",2020-03-15,2020-03-06
"Kevin II Knox","Out",NA,"Game Time Decision",2020-03-07,2020-03-06
"Kevin Porter","Out",NA,"Mar 8",2020-03-08,2020-03-06
"Klay Thompson","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Kyle Alexander","Out",NA,"Game Time Decision",2020-03-07,2020-03-06
"Luke Kornet","Out",NA,"Apr 5",2020-04-05,2020-03-06
"Malik Monk","Out",NA,"Mar 10",2020-03-10,2020-03-06
"Marvin Bagley III","Out",NA,"Mar 15",2020-03-15,2020-03-06
"Max Strus","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Rodney Hood","Out",NA,"Out for the season",2021-03-06,2020-03-06
"Zach Collins","Out",NA,"Mar 15",2020-03-15,2020-03-06
