"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Out","Dec 5",2016-12-09,2016-12-08
"Andrew Bogut","Out","Dec 6",2016-12-20,2016-12-08
"Anthony Davis","Day-To-Day","Dec 5",2016-12-09,2016-12-08
"Brandon Rush","Out","Dec 6",2016-12-09,2016-12-08
"Brice Johnson","Out","Dec 5",2016-12-20,2016-12-08
"C.J. Miles","Out","Dec 4",2016-12-09,2016-12-08
"Caris LeVert","Out","Dec 6",2016-12-09,2016-12-08
"Courtney Lee","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"D'Angelo Russell","Out","Dec 7",2016-12-12,2016-12-08
"Delon Wright","Out","Dec 7",2016-12-31,2016-12-08
"Derrick Rose","Day-To-Day","Dec 7",2016-12-09,2016-12-08
"Dion Waiters","Out","Dec 7",2016-12-12,2016-12-08
"Donatas Motiejunas","Out","Dec 6",2016-12-15,2016-12-08
"Doug McDermott","Out","Dec 7",2016-12-09,2016-12-08
"E'Twaun Moore","Day-To-Day","Dec 7",2016-12-09,2016-12-08
"Eric Gordon","Day-To-Day","Dec 5",2016-12-09,2016-12-08
"Gary Harris","Out","Dec 5",2016-12-12,2016-12-08
"George Hill","Out","Dec 4",2016-12-10,2016-12-08
"Henry Ellenson","Out","Dec 4",2016-12-09,2016-12-08
"Ian Mahinmi","Out","Dec 6",2016-12-09,2016-12-08
"Isaiah Thomas","Day-To-Day","Dec 8",2016-12-09,2016-12-08
"J.R. Smith","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Jahlil Okafor","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Jamal Murray","Day-To-Day","Dec 7",2016-12-09,2016-12-08
"James Ennis","Out","Dec 5",2016-12-13,2016-12-08
"James Johnson","Out","Dec 7",2016-12-12,2016-12-08
"James Young","Day-To-Day","Dec 5",2016-12-09,2016-12-08
"Jeremy Lin","Out","Dec 6",2016-12-09,2016-12-08
"Jerryd Bayless","Out","Dec 6",2016-12-11,2016-12-08
"Joel Embiid","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Jose Calderon","Out","Dec 5",2016-12-19,2016-12-08
"Josh Richardson","Out","Dec 6",2016-12-12,2016-12-08
"Jrue Holiday","Day-To-Day","Dec 7",2016-12-09,2016-12-08
"Justise Winslow","Out","Dec 6",2016-12-12,2016-12-08
"Kent Bazemore","Day-To-Day","Dec 7",2016-12-13,2016-12-08
"Kevin Seraphin","Out","Dec 4",2016-12-09,2016-12-08
"Luke Babbitt","Out","Dec 7",2016-12-12,2016-12-08
"Manu Ginobili","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Marvin Williams","Out","Dec 7",2016-12-09,2016-12-08
"Michael Carter-Williams","Out","Dec 6",2017-01-06,2016-12-08
"Nene Hilario","Day-To-Day","Dec 4",2016-12-09,2016-12-08
"Nerlens Noel","Out","Dec 5",2016-12-11,2016-12-08
"Nick Young","Out","Dec 7",2016-12-12,2016-12-08
"Nikola Jokic","Day-To-Day","Dec 8",2016-12-09,2016-12-08
"Paul George","Out","Dec 4",2016-12-09,2016-12-08
"Paul Millsap","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Rajon Rondo","Out","Dec 5",2016-12-09,2016-12-08
"Raymond Felton","Out","Dec 8",2016-12-12,2016-12-08
"Reggie Bullock","Out","Dec 4",2017-01-14,2016-12-08
"Reggie Jackson","Out","Dec 4",2016-12-09,2016-12-08
"Robert Covington","Out","Dec 5",2016-12-11,2016-12-08
"Rodney McGruder","Day-To-Day","Dec 7",2016-12-09,2016-12-08
"Seth Curry","Out","Dec 7",2016-12-09,2016-12-08
"Steven Adams","Day-To-Day","Dec 5",2016-12-09,2016-12-08
"Tarik Black","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Tony Parker","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Trevor Ariza","Day-To-Day","Dec 5",2016-12-09,2016-12-08
"Vince Carter","Out","Dec 7",2016-12-09,2016-12-08
"Yogi Ferrell","Day-To-Day","Dec 6",2016-12-09,2016-12-08
"Zach Randolph","Out","Dec 6",2016-12-09,2016-12-08
