"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Andrew Bogut","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Anthony Davis","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"C.J. Miles","Out","Nov 25",2016-11-30,2016-11-27
"C.J. Watson","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Cameron Payne","Out","Nov 23",2016-12-01,2016-11-27
"Channing Frye","Day-To-Day","Nov 27",2016-11-29,2016-11-27
"Cody Zeller","Out","Nov 25",2016-11-28,2016-11-27
"D'Angelo Russell","Out","Nov 23",2016-11-28,2016-11-27
"Danilo Gallinari","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Dante Cunningham","Out","Nov 24",2016-12-24,2016-11-27
"Danuel House Jr.","Out","Nov 25",2016-11-28,2016-11-27
"Darrell Arthur","Out","Nov 23",2016-11-28,2016-11-27
"Delon Wright","Out","Nov 25",2016-12-31,2016-11-27
"Deron Williams","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Devin Harris","Out","Nov 27",2016-11-30,2016-11-27
"Dewayne Dedmon","Out","Nov 26",2016-11-28,2016-11-27
"Dion Waiters","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Dirk Nowitzki","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Doug McDermott","Out","Nov 25",2016-11-30,2016-11-27
"Draymond Green","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Gary Harris","Out","Nov 23",2016-12-10,2016-11-27
"Gerald Henderson","Day-To-Day","Nov 25",2016-11-28,2016-11-27
"Goran Dragic","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Ian Clark","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Ian Mahinmi","Out","Nov 26",2016-11-28,2016-11-27
"Iman Shumpert","Day-To-Day","Nov 27",2016-11-29,2016-11-27
"Jae Crowder","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Jared Dudley","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Jeff Green","Day-To-Day","Nov 27",2016-11-29,2016-11-27
"Jeremy Lamb","Out","Nov 23",2016-11-28,2016-11-27
"Jeremy Lin","Out","Nov 26",2016-11-29,2016-11-27
"Jerryd Bayless","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Joakim Noah","Day-To-Day","Nov 24",2016-11-28,2016-11-27
"Joe Young","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Joel Embiid","Day-To-Day","Nov 25",2016-11-28,2016-11-27
"Juancho Hernangomez","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Julius Randle","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Justise Winslow","Out","Nov 27",2016-11-28,2016-11-27
"Kevin Seraphin","Out","Nov 25",2016-12-04,2016-11-27
"Kyle Korver","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Lance Thomas","Out","Nov 24",2016-11-28,2016-11-27
"Manu Ginobili","Day-To-Day","Nov 26",2016-11-28,2016-11-27
"Marco Belinelli","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Marvin Williams","Out","Nov 26",2016-12-03,2016-11-27
"Michael Carter-Williams","Out","Nov 25",2017-01-06,2016-11-27
"Mike Miller","Out","Nov 27",2016-11-30,2016-11-27
"Myles Turner","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Nerlens Noel","Out","Nov 25",2016-12-05,2016-11-27
"Nick Young","Day-To-Day","Nov 26",2016-11-28,2016-11-27
"Nicolas Batum","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Paul George","Out","Nov 25",2016-12-04,2016-11-27
"Paul Zipser","Out","Nov 25",2016-12-15,2016-11-27
"Reggie Bullock","Out","Nov 25",2017-01-14,2016-11-27
"Reggie Jackson","Out","Nov 23",2016-12-01,2016-11-27
"Richaun Holmes","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Rondae Hollis-Jefferson","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Stanley Johnson","Out","Nov 25",2016-11-28,2016-11-27
"Terrence Jones","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Tiago Splitter","Out","Nov 27",2017-01-14,2016-11-27
"TJ Warren","Out","Nov 23",2016-11-28,2016-11-27
"Treveon Graham","Out","Nov 23",2016-11-28,2016-11-27
"Tyson Chandler","Out","Nov 25",2016-11-28,2016-11-27
"Wayne Ellington","Out","Nov 27",2016-11-28,2016-11-27
"Will Barton","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Willie Reed","Out","Nov 27",2016-11-28,2016-11-27
"Zach Randolph","Day-To-Day","Nov 26",2016-11-28,2016-11-27
