"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Alex Len","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Andre Iguodala","Day-To-Day","Dec 10",2016-12-15,2016-12-14
"Anthony Davis","Day-To-Day","Dec 10",2016-12-15,2016-12-14
"Austin Rivers","Day-To-Day","Dec 14",2016-12-15,2016-12-14
"Ben McLemore","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Ben Simmons","Out","Dec 13",2017-01-09,2016-12-14
"Bismack Biyombo","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Blake Griffin","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"D'Angelo Russell","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Darrell Arthur","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Derrick Rose","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Deyonta Davis","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Dion Waiters","Out","Dec 13",2016-12-21,2016-12-14
"Dirk Nowitzki","Out","Dec 13",2016-12-25,2016-12-14
"Donatas Motiejunas","Out","Dec 12",2016-12-15,2016-12-14
"E'Twaun Moore","Out","Dec 11",2016-12-15,2016-12-14
"Emmanuel Mudiay","Day-To-Day","Dec 10",2016-12-15,2016-12-14
"Isaiah Thomas","Out","Dec 13",2016-12-16,2016-12-14
"J.J. Barea","Out","Dec 13",2016-12-31,2016-12-14
"Jahlil Okafor","Out","Dec 11",2016-12-15,2016-12-14
"James Ennis","Out","Dec 12",2016-12-19,2016-12-14
"James Johnson","Out","Dec 12",2016-12-15,2016-12-14
"Jeff Green","Day-To-Day","Dec 10",2016-12-15,2016-12-14
"Jeremy Lin","Out","Dec 12",2016-12-15,2016-12-14
"Jerryd Bayless","Out","Dec 13",2016-12-16,2016-12-14
"Joel Embiid","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Josh Richardson","Day-To-Day","Dec 11",2016-12-15,2016-12-14
"Jrue Holiday","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Julius Randle","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Justin Hamilton","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Justise Winslow","Out","Dec 13",2016-12-16,2016-12-14
"Kemba Walker","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Kent Bazemore","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Kentavious Caldwell-Pope","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Kevin Love","Day-To-Day","Dec 13",2016-12-17,2016-12-14
"Kevon Looney","Day-To-Day","Dec 11",2016-12-15,2016-12-14
"Kyle O'Quinn","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Kyrie Irving","Day-To-Day","Dec 13",2016-12-17,2016-12-14
"LeBron James","Day-To-Day","Dec 13",2016-12-17,2016-12-14
"Luc Mbah a Moute","Day-To-Day","Dec 14",2016-12-15,2016-12-14
"Luke Babbitt","Out","Dec 13",2016-12-15,2016-12-14
"Marc Gasol","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Michael Carter-Williams","Out","Dec 13",2017-01-06,2016-12-14
"Monta Ellis","Out","Dec 12",2016-12-14,2016-12-14
"Nemanja Bjelica","Day-To-Day","Dec 11",2016-12-15,2016-12-14
"Nerlens Noel","Day-To-Day","Dec 14",2016-12-16,2016-12-14
"Nick Young","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Nikola Jokic","Day-To-Day","Dec 10",2016-12-15,2016-12-14
"Nikola Vucevic","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Rajon Rondo","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Raymond Felton","Out","Dec 11",2016-12-15,2016-12-14
"Rodney Stuckey","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Rudy Gay","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Sergio Rodriguez","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Tarik Black","Out","Dec 13",2016-12-16,2016-12-14
"Tyreke Evans","Out","Dec 13",2016-12-25,2016-12-14
"Victor Oladipo","Day-To-Day","Dec 13",2016-12-15,2016-12-14
"Vince Carter","Out","Dec 13",2016-12-15,2016-12-14
"Wilson Chandler","Day-To-Day","Dec 12",2016-12-15,2016-12-14
"Zaza Pachulia","Out","Dec 14",2016-12-15,2016-12-14
