"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Andre Iguodala","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Anthony Davis","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Austin Rivers","Day-To-Day","Dec 11",2016-12-14,2016-12-13
"Ben McLemore","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Bismack Biyombo","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Blake Griffin","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Bruno Caboclo","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Channing Frye","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"D'Angelo Russell","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Darrell Arthur","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"DeMarre Carroll","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Derrick Rose","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Dion Waiters","Out","Dec 12",2016-12-21,2016-12-13
"Dirk Nowitzki","Out","Dec 13",2016-12-25,2016-12-13
"Donatas Motiejunas","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"E'Twaun Moore","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Emmanuel Mudiay","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Ian Mahinmi","Out","Dec 9",2016-12-16,2016-12-13
"Isaiah Thomas","Out","Dec 9",2016-12-14,2016-12-13
"J.R. Smith","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Jahlil Okafor","Out","Dec 11",2016-12-14,2016-12-13
"James Ennis","Out","Dec 12",2016-12-18,2016-12-13
"James Johnson","Out","Dec 12",2016-12-14,2016-12-13
"Jeff Green","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Jeremy Lin","Out","Dec 9",2016-12-14,2016-12-13
"Jerryd Bayless","Out","Dec 10",2016-12-14,2016-12-13
"Joel Embiid","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Josh Richardson","Out","Dec 9",2016-12-14,2016-12-13
"Jrue Holiday","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Julius Randle","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Justin Hamilton","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Justise Winslow","Out","Dec 12",2016-12-14,2016-12-13
"Kemba Walker","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Kent Bazemore","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Kentavious Caldwell-Pope","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Kevin Love","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Kevon Looney","Day-To-Day","Dec 11",2016-12-14,2016-12-13
"Kyle O'Quinn","Day-To-Day","Dec 11",2016-12-14,2016-12-13
"Luke Babbitt","Out","Dec 12",2016-12-14,2016-12-13
"Marc Gasol","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Matt Barnes","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Maurice Harkless","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Monta Ellis","Out","Dec 12",2016-12-14,2016-12-13
"Nemanja Bjelica","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Nerlens Noel","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Nick Young","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Nikola Jokic","Day-To-Day","Dec 10",2016-12-14,2016-12-13
"Nikola Vucevic","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Raymond Felton","Out","Dec 11",2016-12-14,2016-12-13
"Rodney Stuckey","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Rudy Gay","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Sergio Rodriguez","Day-To-Day","Dec 11",2016-12-14,2016-12-13
"Seth Curry","Out","Dec 9",2016-12-14,2016-12-13
"Tarik Black","Out","Dec 11",2016-12-14,2016-12-13
"Troy Daniels","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Udonis Haslem","Day-To-Day","Dec 9",2016-12-14,2016-12-13
"Victor Oladipo","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Vince Carter","Out","Dec 9",2016-12-14,2016-12-13
"Wilson Chandler","Day-To-Day","Dec 12",2016-12-14,2016-12-13
"Zaza Pachulia","Out","Dec 12",2016-12-14,2016-12-13
