"PLAYER_FULL_NAME","injury_status","injury_date","return_notes","clean_note","injury_scrape_date","return_date"
"Al Horford","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Allen Crabbe","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Amir Johnson","Day-To-Day","Jan 11","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Andre Iguodala","Day-To-Day","Jan 9","Game Time Decision","Game Time Decision",2018-01-13,NA
"Andre Roberson","Out","Jan 9","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Andrew Harrison","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Anthony Davis","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Blake Griffin","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Brandon Ingram","Day-To-Day","Jan 13"," "," ",2018-01-13,NA
"C.J. Williams","Day-To-Day","Jan 11","Game Time Decision","Game Time Decision",2018-01-13,NA
"Chandler Parsons","Out","Jan 9","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"D'Angelo Russell","Out","Jan 13","Expected to be out until at least Jan 13","Jan 13",2018-01-13,NA
"Damian Lillard","Day-To-Day","Jan 11",NA,NA,2018-01-13,NA
"Danny Green","Out","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"DeAndre Jordan","Day-To-Day","Jan 13","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"DeAndre' Bembry","Day-To-Day","Jan 9","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"DeMarre Carroll","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Derrick Rose","Out","Jan 10","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Dewayne Dedmon","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Dion Waiters","Out","Jan 11","Out for the season","Out for the season",2018-01-13,NA
"Domantas Sabonis","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Draymond Green","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Dwyane Wade","Day-To-Day","Jan 12","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Evan Turner","Day-To-Day","Jan 13","Expected to be out until at least Jan 14","Jan 14",2018-01-13,NA
"Gary Harris","Day-To-Day","Jan 13","Expected to be out until at least Jan 13","Jan 13",2018-01-13,NA
"George Hill","Out","Jan 9",NA,NA,2018-01-13,NA
"Georgios Papagiannis","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Gordon Hayward","Out","Jan 10","Expected to be out until at least Apr 15","Apr 15",2018-01-13,NA
"Iman Shumpert","Out","Jan 10","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Isaiah Canaan","Out","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Isaiah Thomas","Day-To-Day","Jan 12","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Jabari Parker","Out","Jan 10","Expected to be out until at least Feb 13","Feb 13",2018-01-13,NA
"James Harden","Out","Jan 10","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"James Johnson","Day-To-Day","Jan 10","Game Time Decision","Game Time Decision",2018-01-13,NA
"Jayson Tatum","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Jeff Teague","Out","Jan 9",NA,NA,2018-01-13,NA
"Jonathon Simmons","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Josh Jackson","Day-To-Day","Jan 13","Expected to be out until at least Jan 14","Jan 14",2018-01-13,NA
"Justise Winslow","Out","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Kawhi Leonard","Out","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Kevin Durant","Out","Jan 9",NA,NA,2018-01-13,NA
"Klay Thompson","Day-To-Day","Jan 10",NA,NA,2018-01-13,NA
"Kyle Lowry","Day-To-Day","Jan 9","Game Time Decision","Game Time Decision",2018-01-13,NA
"Marco Belinelli","Day-To-Day","Jan 12","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Markelle Fultz","Out","Jan 11","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Marquese Chriss","Day-To-Day","Jan 9","Expected to be out until at least Jan 14","Jan 14",2018-01-13,NA
"Matthew Dellavedova","Day-To-Day","Jan 10",NA,NA,2018-01-13,NA
"Michael Beasley","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Mike Conley","Out","Jan 11","Expected to be out until at least Feb 1","Feb 1",2018-01-13,NA
"Mike Muscala","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Milos Teodosic","Out","Jan 12",NA,NA,2018-01-13,NA
"Myles Turner","Day-To-Day","Jan 9","Expected to be out until at least Jan 14","Jan 14",2018-01-13,NA
"Nene Hilario","Out","Jan 10",NA,NA,2018-01-13,NA
"Nik Stauskas","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Nikola Mirotic","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Omri Casspi","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Paul Millsap","Out","Jan 10","Expected to be out until at least Feb 23","Feb 23",2018-01-13,NA
"Rodney McGruder","Out","Jan 11","Expected to be out until at least Feb 2","Feb 2",2018-01-13,NA
"Rudy Gay","Out","Jan 12","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Serge Ibaka","Out","Jan 11",NA,NA,2018-01-13,NA
"Shane Larkin","Day-To-Day","Jan 13"," "," ",2018-01-13,NA
"Shaun Livingston","Day-To-Day","Jan 11",NA,NA,2018-01-13,NA
"Stanley Johnson","Day-To-Day","Jan 9","Game Time Decision","Game Time Decision",2018-01-13,NA
"Stephen Curry","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Tarik Black","Day-To-Day","Jan 10","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Taurean Prince","Day-To-Day","Jan 9",NA,NA,2018-01-13,NA
"Thabo Sefolosha","Out","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Tony Allen","Out","Jan 10","Expected to be out until at least Jan 31","Jan 31",2018-01-13,NA
"Tony Parker","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Trey Burke","Day-To-Day","Jan 13","Game Time Decision","Game Time Decision",2018-01-13,NA
"Troy Williams","Out","Jan 10","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Tyler Johnson","Day-To-Day","Jan 9","Game Time Decision","Game Time Decision",2018-01-13,NA
"Tyler Zeller","Day-To-Day","Jan 13","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Zach LaVine","Out","Jan 9",NA,NA,2018-01-13,NA
"Zhou Qi","Day-To-Day","Jan 11","Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Rudy Gobert","Out",NA,"Expected to be out until at least Jan 21","Jan 21",2018-01-13,NA
"Harry Giles","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"John Holland","Out",NA,"Expected to be out until at least Jan 20","Jan 20",2018-01-13,NA
"C.J. Wilcox","Out",NA,"Game Time Decision","Game Time Decision",2018-01-13,NA
"Frank Mason III","Out",NA,"Expected to be out until at least Feb 9","Feb 9",2018-01-13,NA
"Luc Mbah a Moute","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Raul Neto","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
" Nene","Out",NA,"Expected to be out until at least Jan 18","Jan 18",2018-01-13,NA
"Seth Curry","Out",NA,"Expected to be out until at least Jan 20","Jan 20",2018-01-13,NA
"Dorian Finney-Smith","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Frank Jackson","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Reggie Jackson","Out",NA,"Expected to be out until at least Feb 23","Feb 23",2018-01-13,NA
"Jon Leuer","Out",NA,"Expected to be out until at least Feb 1","Feb 1",2018-01-13,NA
"Nerlens Noel","Out",NA,"Expected to be out until at least Feb 3","Feb 3",2018-01-13,NA
"Austin Rivers","Out",NA,"Expected to be out until at least Jan 20","Jan 20",2018-01-13,NA
"Furkan Korkmaz","Out",NA,"Expected to be out until at least Jan 24","Jan 24",2018-01-13,NA
"Chris Boucher","Out",NA,"Expected to be out until at least Jan 25","Jan 25",2018-01-13,NA
"Jonathan Isaac","Out",NA,"Expected to be out until at least Feb 3","Feb 3",2018-01-13,NA
"Nikola Vucevic","Out",NA,"Expected to be out until at least Feb 3","Feb 3",2018-01-13,NA
"Cameron Payne","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Danilo Gallinari","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Mirza Teletovic","Out",NA,"Expected to be out until at least Feb 1","Feb 1",2018-01-13,NA
"Patrick Beverley","Out",NA,"Out for the season","Out for the season",2018-01-13,NA
"Cody Zeller","Out",NA,"Expected to be out until at least Jan 22","Jan 22",2018-01-13,NA
"Alexis Ajinca","Out",NA,"Expected to be out until at least Apr 7","Apr 7",2018-01-13,NA
"Terrence Ross","Out",NA,"Expected to be out until at least Feb 3","Feb 3",2018-01-13,NA
"Solomon Hill","Out",NA,"Expected to be out until at least Feb 20","Feb 20",2018-01-13,NA
"Okaro White","Out",NA,"Expected to be out until at least Feb 7","Feb 7",2018-01-13,NA
"Brandon Knight","Out",NA,"Out for the season","Out for the season",2018-01-13,NA
"Jeremy Lin","Out",NA,"Out for the season","Out for the season",2018-01-13,NA
"Dante Exum","Out",NA,"Expected to be out until at least Mar 1","Mar 1",2018-01-13,NA
"Glenn Robinson III","Out",NA,"Expected to be out until at least Jan 15","Jan 15",2018-01-13,NA
"Sheldon Mac","Out",NA,"Expected to be out until at least Apr 11","Apr 11",2018-01-13,NA
"Alan Williams","Out",NA,"Expected to be out until at least Mar 15","Mar 15",2018-01-13,NA
"Edmond Sumner","Out",NA,"Expected to be out until at least Feb 1","Feb 1",2018-01-13,NA
