"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Out","Dec 4",2016-12-05,2016-12-04
"Andrew Bogut","Day-To-Day","Dec 1",2016-12-05,2016-12-04
"Ben Simmons","Out","Dec 1",2017-01-09,2016-12-04
"Brandon Rush","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"C.J. Miles","Out","Nov 30",2016-12-05,2016-12-04
"Caris LeVert","Out","Dec 4",2016-12-05,2016-12-04
"Chandler Parsons","Out","Dec 2",2016-12-10,2016-12-04
"Channing Frye","Out","Nov 30",2016-12-05,2016-12-04
"Courtney Lee","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Danilo Gallinari","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Darrell Arthur","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"DeMarre Carroll","Day-To-Day","Dec 2",2016-12-05,2016-12-04
"Deron Williams","Day-To-Day","Dec 1",2016-12-05,2016-12-04
"Derrick Williams","Day-To-Day","Dec 2",2016-12-05,2016-12-04
"Devin Harris","Out","Nov 30",2016-12-05,2016-12-04
"Dion Waiters","Out","Nov 30",2016-12-14,2016-12-04
"Dirk Nowitzki","Out","Nov 30",2016-12-20,2016-12-04
"Doug McDermott","Out","Nov 30",2016-12-05,2016-12-04
"Dwyane Wade","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"George Hill","Out","Dec 4",2016-12-06,2016-12-04
"Henry Ellenson","Out","Dec 4",2016-12-05,2016-12-04
"Ian Mahinmi","Day-To-Day","Nov 30",2016-12-06,2016-12-04
"J.J. Redick","Day-To-Day","Dec 2",2016-12-05,2016-12-04
"James Ennis","Out","Dec 4",2016-12-10,2016-12-04
"Jeremy Lin","Out","Nov 30",2016-12-07,2016-12-04
"Jerryd Bayless","Out","Nov 30",2016-12-05,2016-12-04
"Joakim Noah","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Jodie Meeks","Out","Dec 2",2016-12-05,2016-12-04
"Joel Embiid","Day-To-Day","Dec 2",2016-12-05,2016-12-04
"Jose Calderon","Day-To-Day","Dec 4",2016-12-07,2016-12-04
"Josh Richardson","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Julius Randle","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Lance Thomas","Out","Nov 30",2016-12-05,2016-12-04
"Luke Babbitt","Day-To-Day","Dec 3",2016-12-05,2016-12-04
"Manu Ginobili","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Markieff Morris","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Marvin Williams","Out","Dec 3",2016-12-07,2016-12-04
"Mike Dunleavy","Day-To-Day","Dec 2",2016-12-05,2016-12-04
"Mike Scott","Out","Nov 30",2016-12-05,2016-12-04
"Nene Hilario","Day-To-Day","Dec 4",2016-12-05,2016-12-04
"Nerlens Noel","Out","Nov 30",2016-12-10,2016-12-04
"Nick Young","Out","Nov 30",2016-12-14,2016-12-04
"Nikola Jokic","Out","Dec 4",2016-12-08,2016-12-04
"Pau Gasol","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Paul Millsap","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Quincy Pondexter","Out","Dec 1",2016-12-31,2016-12-04
"Reggie Bullock","Out","Nov 30",2017-01-14,2016-12-04
"Reggie Jackson","Out","Dec 4",2016-12-05,2016-12-04
"Robert Covington","Day-To-Day","Dec 3",2016-12-05,2016-12-04
"Rondae Hollis-Jefferson","Day-To-Day","Dec 1",2016-12-05,2016-12-04
"Seth Curry","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Tony Parker","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Trevor Ariza","Day-To-Day","Dec 4",2016-12-05,2016-12-04
"Trevor Booker","Day-To-Day","Dec 3",2016-12-05,2016-12-04
"Tyreke Evans","Out","Dec 1",2016-12-20,2016-12-04
"Vince Carter","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Will Barton","Day-To-Day","Nov 30",2016-12-05,2016-12-04
"Willie Reed","Out","Dec 1",2016-12-05,2016-12-04
"Zach Randolph","Out","Nov 30",2016-12-05,2016-12-04
