"","DATE","home_team_name","home_team_prob_win_538"
"1",2020-03-09,"Atlanta",0.69
"2",2020-03-09,"Denver",0.8
"3",2020-03-09,"Utah",0.67
"4",2020-03-10,"Indiana",0.46
"5",2020-03-10,"Washington",0.8
"6",2020-03-10,"Chicago",0.73
"7",2020-03-10,"San Antonio",0.35
"8",2020-03-10,"Houston",0.93
"9",2020-03-10,"Memphis",0.59
"10",2020-03-10,"LA Lakers",0.92
"11",2020-03-10,"Golden State",0.22
"12",2020-03-11,"Philadelphia",0.86
"13",2020-03-11,"Miami",0.86
"14",2020-03-11,"Atlanta",0.79
"15",2020-03-11,"Dallas",0.55
"16",2020-03-11,"Oklahoma City",0.64
"17",2020-03-11,"Sacramento",0.53
"18",2020-03-12,"Orlando",0.68
"19",2020-03-12,"Milwaukee",0.56
"20",2020-03-12,"Golden State",0.68
"21",2020-03-12,"LA Lakers",0.65
"22",2020-03-13,"Charlotte",0.62
"23",2020-03-13,"Boston",0.84
"24",2020-03-13,"Oklahoma City",0.87
"25",2020-03-13,"Miami",0.87
"26",2020-03-13,"San Antonio",0.35
"27",2020-03-13,"Utah",0.64
"28",2020-03-13,"LA Clippers",0.93
"29",2020-03-14,"Dallas",0.78
"30",2020-03-14,"Atlanta",0.75
"31",2020-03-14,"Toronto",0.91
"32",2020-03-14,"Philadelphia",0.76
"33",2020-03-14,"Miami",0.69
"34",2020-03-14,"Milwaukee",0.87
"35",2020-03-14,"San Antonio",0.74
"36",2020-03-14,"Utah",0.77
"37",2020-03-14,"LA Clippers",0.78
"38",2020-03-15,"Orlando",0.81
"39",2020-03-15,"Washington",0.44
"40",2020-03-15,"Chicago",0.25
"41",2020-03-15,"Sacramento",0.77
"42",2020-03-15,"LA Lakers",0.73
"43",2020-03-08,"Brooklyn",0.61
"44",2020-03-08,"LA Clippers",0.68
"45",2020-03-08,"Minnesota",0.3
"46",2020-03-08,"Phoenix",0.42
"47",2020-03-08,"Boston",0.69
"48",2020-03-08,"Dallas",0.75
"49",2020-03-08,"Washington",0.51
"50",2020-03-08,"Houston",0.8
"51",2020-03-08,"New York",0.71
"52",2020-03-08,"Cleveland",0.52
"53",2020-03-08,"Sacramento",0.42
"54",2020-03-07,"Charlotte",0.21
"55",2020-03-07,"Detroit",0.3
"56",2020-03-07,"Cleveland",0.2
"57",2020-03-07,"Memphis",0.7
"58",2020-03-07,"Golden State",0.44
"59",2020-03-06,"Washington",0.77
"60",2020-03-06,"New York",0.24
"61",2020-03-06,"Brooklyn",0.69
"62",2020-03-06,"Chicago",0.52
"63",2020-03-06,"New Orleans",0.67
"64",2020-03-06,"Minnesota",0.5
"65",2020-03-06,"Boston",0.65
"66",2020-03-06,"Dallas",0.76
"67",2020-03-06,"Phoenix",0.63
"68",2020-03-06,"LA Lakers",0.61
"69",2020-03-05,"Charlotte",0.21
"70",2020-03-05,"Houston",0.6
"71",2020-03-05,"Sacramento",0.7
"72",2020-03-05,"Golden State",0.2
"73",2020-03-04,"Cleveland",0.45
"74",2020-03-04,"Milwaukee",0.81
"75",2020-03-04,"Detroit",0.26
"76",2020-03-04,"Brooklyn",0.54
"77",2020-03-04,"Miami",0.74
"78",2020-03-04,"New York",0.25
"79",2020-03-04,"Minnesota",0.51
"80",2020-03-04,"Dallas",0.7
"81",2020-03-03,"Charlotte",0.63
"82",2020-03-03,"Boston",0.8
"83",2020-03-03,"Oklahoma City",0.39
"84",2020-03-03,"New Orleans",0.89
"85",2020-03-03,"Denver",0.95
"86",2020-03-03,"Phoenix",0.47
"87",2020-03-03,"LA Lakers",0.84
"88",2020-03-03,"Sacramento",0.71
"89",2020-03-02,"New York",0.13
"90",2020-03-02,"Orlando",0.83
"91",2020-03-02,"Cleveland",0.19
"92",2020-03-02,"Atlanta",0.59
"93",2020-03-02,"Miami",0.53
"94",2020-03-02,"Chicago",0.42
"95",2020-03-02,"San Antonio",0.43
