"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Aaron Gordon00","Orlando","PF",23,"6' 9""",220,21590909,"Orlando Magic",NA,NA,NA,NA,NA
"Aaron Holiday3","Indiana","PG",22,"6' 1""",185,1911960,"Indiana Pacers",NA,NA,NA,NA,NA
"Abdel Nader11","Oklahoma City","SF",25,"6' 6""",225,1378242,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Al Horford42","Boston","C",32,"6' 10""",245,28928709,"Boston Celtics",NA,NA,NA,NA,NA
"Al-Farouq Aminu8","Portland","PF",28,"6' 9""",220,6957105,"Portland Trailblazers",NA,NA,NA,NA,NA
"Alan Williams15","Brooklyn","PF",26,"6' 8""",265,5e+06,"Brooklyn Nets",NA,NA,NA,NA,NA
"Alec Burks10","Sacramento","SG",27,"6' 6""",214,11536515,"Sacramento Kings",NA,NA,NA,NA,NA
"Alex Caruso4","LA Lakers","SG",24,"6' 5""",186,NA,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Alex Len25","Atlanta","C",25,"7' 1""",250,4350000,"Atlanta Hawks",NA,NA,NA,NA,NA
"Alex Poythress22","Atlanta","SF",25,"6' 9""",235,1544951,"Atlanta Hawks",NA,NA,NA,NA,NA
"Alfonzo McKinnie28","Golden State","SF",26,"6' 8""",215,1349383,"Golden State Warriors",NA,NA,NA,NA,NA
"Alize Johnson24","Indiana","PF",22,"6' 9""",212,838464,"Indiana Pacers",NA,NA,NA,NA,NA
"Allen Crabbe33","Brooklyn","SG",26,"6' 6""",212,18500000,"Brooklyn Nets",NA,NA,NA,NA,NA
"Allonzo Trier14","New York","SG",23,"6' 5""",200,3382000,"New York Knicks",NA,NA,NA,NA,NA
"Amile Jefferson11","Orlando","PF",25,"6' 9""",222,NA,"Orlando Magic",NA,NA,NA,NA,NA
"Amir Johnson5","Philadelphia","C",31,"6' 9""",240,1512601,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Andre Drummond0","Detroit","C",25,"6' 11""",279,25434263,"Detroit Pistons",NA,NA,NA,NA,NA
"Andre Iguodala9","Golden State","SG",35,"6' 6""",215,1.6e+07,"Golden State Warriors",NA,NA,NA,NA,NA
"Andre Roberson21","Oklahoma City","SG",27,"6' 7""",210,1e+07,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Andrew Wiggins22","Minnesota","SF",23,"6' 8""",194,25467250,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Anfernee Simons24","Portland","SG",19,"6' 4""",185,1760520,"Portland Trailblazers",NA,NA,NA,NA,NA
"Angel Delgado31","LA Clippers","C",24,"6' 10""",245,NA,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Ante Zizic41","Cleveland","C",22,"6' 11""",254,1952760,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Anthony Davis23","New Orleans","PF",25,"6' 10""",253,25434263,"New Orleans Pelicans",NA,NA,NA,NA,NA
"Anthony Tolliver43","Minnesota","PF",33,"6' 8""",250,4750000,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Antonio Blakeney9","Chicago","SG",22,"6' 4""",192,1349383,"Chicago Bulls",NA,NA,NA,NA,NA
"Aron Baynes46","Boston","C",32,"6' 10""",260,5193600,"Boston Celtics",NA,NA,NA,NA,NA
"Austin Rivers25","Houston","PG",26,"6' 4""",200,922943,"Houston Rockets",NA,NA,NA,NA,NA
"Avery Bradley0","Memphis","SG",28,"6' 2""",180,1.2e+07,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Bam Adebayo13","Miami","C",21,"6' 10""",255,2955840,"Miami Heat",NA,NA,NA,NA,NA
"Ben Moore26","San Antonio","PF",23,"6' 8""",220,1349383,"San Antonio Spurs",NA,NA,NA,NA,NA
"Ben Simmons25","Philadelphia","PG",22,"6' 10""",230,6434520,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Bismack Biyombo8","Charlotte","C",26,"6' 9""",255,1.7e+07,"Charlotte Hornets",NA,NA,NA,NA,NA
