"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Andrew Bogut","Day-To-Day","Dec 29",2016-12-30,2016-12-29
"Arron Afflalo","Day-To-Day","Dec 28",2016-12-31,2016-12-29
"Bradley Beal","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Brice Johnson","Out","Dec 26",2017-01-14,2016-12-29
"Cameron Payne","Out","Dec 28",2016-12-31,2016-12-29
"Chandler Parsons","Day-To-Day","Dec 27",2016-12-30,2016-12-29
"Chris Paul","Out","Dec 28",2016-12-30,2016-12-29
"Courtney Lee","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Damian Lillard","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Daniel Ochefu","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Devin Harris","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Dion Waiters","Out","Dec 28",2016-12-30,2016-12-29
"Dirk Nowitzki","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Doug McDermott","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Dwight Howard","Out","Dec 26",2016-12-30,2016-12-29
"Dwyane Wade","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Evan Fournier","Out","Dec 29",2016-12-31,2016-12-29
"Evan Turner","Out","Dec 26",2016-12-30,2016-12-29
"Gerald Henderson","Day-To-Day","Dec 28",2017-01-02,2016-12-29
"Goran Dragic","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Isaiah Whitehead","Out","Dec 26",2016-12-30,2016-12-29
"J.J. Barea","Out","Dec 27",2017-01-02,2016-12-29
"J.J. Redick","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Jared Sullinger","Out","Dec 26",2017-01-31,2016-12-29
"Jeremy Lin","Day-To-Day","Dec 28",2017-01-01,2016-12-29
"Joe Harris","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Joe Young","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Joel Embiid","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Jose Calderon","Out","Dec 27",2016-12-30,2016-12-29
"Josh McRoberts","Out","Dec 27",2017-01-24,2016-12-29
"Kawhi Leonard","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Kyrie Irving","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"LeBron James","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Marco Belinelli","Day-To-Day","Dec 27",2016-12-30,2016-12-29
"Michael Beasley","Out","Dec 26",2016-12-30,2016-12-29
"Michael Carter-Williams","Out","Dec 26",2016-12-30,2016-12-29
"Mike Conley","Day-To-Day","Dec 27",2016-12-30,2016-12-29
"Mirza Teletovic","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Monta Ellis","Out","Dec 28",2016-12-30,2016-12-29
"Nik Stauskas","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Patrick Beverley","Day-To-Day","Dec 27",2016-12-30,2016-12-29
"Rashad Vaughn","Out","Dec 29",2016-12-30,2016-12-29
"Reggie Bullock","Out","Dec 28",2017-01-14,2016-12-29
"Richaun Holmes","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Rodney McGruder","Out","Dec 27",2016-12-30,2016-12-29
"Rodney Stuckey","Day-To-Day","Dec 27",2016-12-30,2016-12-29
"Rondae Hollis-Jefferson","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Rudy Gay","Day-To-Day","Dec 28",2016-12-31,2016-12-29
"Ryan Kelly","Day-To-Day","Dec 28",2016-12-30,2016-12-29
"Steve Novak","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Tarik Black","Day-To-Day","Dec 25",2016-12-30,2016-12-29
"Terrence Jones","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Terrence Ross","Day-To-Day","Dec 26",2016-12-30,2016-12-29
"Victor Oladipo","Out","Dec 28",2016-12-30,2016-12-29
"Wayne Ellington","Out","Dec 27",2016-12-30,2016-12-29
