"DATE","home_team_name_538","home_team_prob_win_538","home_team_name"
2020-08-29,"Raptors",0.47,"Toronto"
2020-08-29,"Nuggets",0.54,"Denver"
2020-08-30,"Rockets",0.73,"Houston"
2020-08-31,"Celtics",0.53,"Boston"
NA,"Celtics",0.53,"Boston"
NA,"Raptors",0.47,"Toronto"
NA,"Celtics",0.53,"Boston"
NA,"Raptors",0.47,"Toronto"
2020-08-25,"Nuggets",0.49,"Denver"
2020-08-24,"Magic",0.26,"Orlando"
2020-08-24,"Thunder",0.33,"Oklahoma City"
2020-08-23,"76ers",0.41,"Philadelphia"
2020-08-23,"Mavericks",0.31,"Dallas"
2020-08-23,"Nets",0.11,"Brooklyn"
2020-08-22,"Magic",0.22,"Orlando"
2020-08-22,"Thunder",0.33,"Oklahoma City"
2020-08-21,"Nets",0.11,"Brooklyn"
2020-08-21,"76ers",0.42,"Philadelphia"
2020-08-21,"Mavericks",0.35,"Dallas"
2020-08-20,"Pacers",0.41,"Indiana"
2020-08-20,"Bucks",0.78,"Milwaukee"
2020-08-20,"Lakers",0.68,"LA Lakers"
2020-08-19,"Nuggets",0.64,"Denver"
2020-08-19,"Clippers",0.72,"LA Clippers"
