"DATE","home_team_name_538","home_team_prob_win_538","home_team_name"
NA,"Wizards",0.72,"Washington"
NA,"Knicks",0.26,"New York"
NA,"Nets",0.64,"Brooklyn"
NA,"Bulls",0.47,"Chicago"
NA,"Pelicans",0.69,"New Orleans"
NA,"Timberwolves",0.52,"Minnesota"
NA,"Celtics",0.66,"Boston"
NA,"Mavericks",0.83,"Dallas"
NA,"Suns",0.66,"Phoenix"
NA,"Lakers",0.65,"LA Lakers"
NA,"Hornets",0.17,"Charlotte"
NA,"Pistons",0.3,"Detroit"
NA,"Cavaliers",0.23,"Cleveland"
NA,"Grizzlies",0.71,"Memphis"
NA,"Warriors",0.4,"Golden State"
NA,"Nets",0.61,"Brooklyn"
NA,"Clippers",0.67,"LA Clippers"
NA,"Timberwolves",0.42,"Minnesota"
NA,"Suns",0.37,"Phoenix"
NA,"Celtics",0.69,"Boston"
NA,"Mavericks",0.72,"Dallas"
NA,"Wizards",0.51,"Washington"
NA,"Rockets",0.83,"Houston"
NA,"Knicks",0.73,"New York"
NA,"Cavaliers",0.45,"Cleveland"
NA,"Kings",0.4,"Sacramento"
NA,"Hawks",0.71,"Atlanta"
NA,"Nuggets",0.68,"Denver"
NA,"Jazz",0.67,"Utah"
NA,"Pacers",0.52,"Indiana"
NA,"Wizards",0.79,"Washington"
NA,"Bulls",0.75,"Chicago"
NA,"Spurs",0.38,"San Antonio"
NA,"Rockets",0.88,"Houston"
NA,"Grizzlies",0.59,"Memphis"
NA,"Lakers",0.91,"LA Lakers"
NA,"Warriors",0.22,"Golden State"
NA,"76ers",0.91,"Philadelphia"
NA,"Heat",0.86,"Miami"
NA,"Hawks",0.79,"Atlanta"
NA,"Mavericks",0.54,"Dallas"
NA,"Thunder",0.64,"Oklahoma City"
NA,"Kings",0.53,"Sacramento"
NA,"Magic",0.71,"Orlando"
NA,"Bucks",0.69,"Milwaukee"
NA,"Warriors",0.7,"Golden State"
NA,"Lakers",0.62,"LA Lakers"
NA,"Hornets",0.21,"Charlotte"
NA,"Rockets",0.6,"Houston"
NA,"Kings",0.7,"Sacramento"
NA,"Warriors",0.2,"Golden State"
NA,"Cavaliers",0.45,"Cleveland"
NA,"Bucks",0.81,"Milwaukee"
NA,"Pistons",0.26,"Detroit"
NA,"Nets",0.54,"Brooklyn"
NA,"Heat",0.74,"Miami"
NA,"Knicks",0.25,"New York"
NA,"Timberwolves",0.51,"Minnesota"
NA,"Mavericks",0.7,"Dallas"
NA,"Hornets",0.63,"Charlotte"
NA,"Celtics",0.8,"Boston"
NA,"Thunder",0.39,"Oklahoma City"
NA,"Pelicans",0.89,"New Orleans"
NA,"Nuggets",0.95,"Denver"
NA,"Suns",0.47,"Phoenix"
NA,"Lakers",0.84,"LA Lakers"
NA,"Kings",0.71,"Sacramento"
NA,"Knicks",0.13,"New York"
NA,"Magic",0.83,"Orlando"
NA,"Cavaliers",0.19,"Cleveland"
NA,"Hawks",0.59,"Atlanta"
NA,"Heat",0.53,"Miami"
NA,"Bulls",0.42,"Chicago"
NA,"Spurs",0.43,"San Antonio"
NA,"Hornets",0.21,"Charlotte"
NA,"Timberwolves",0.33,"Minnesota"
NA,"Clippers",0.87,"LA Clippers"
NA,"Kings",0.87,"Sacramento"
NA,"Nuggets",0.74,"Denver"
NA,"Pelicans",0.63,"New Orleans"
NA,"Warriors",0.3,"Golden State"
2020-02-29,"Knicks",0.61,"New York"
2020-02-29,"Heat",0.81,"Miami"
2020-02-29,"Hawks",0.66,"Atlanta"
2020-02-29,"Cavaliers",0.23,"Cleveland"
2020-02-29,"Grizzlies",0.34,"Memphis"
2020-02-29,"Celtics",0.43,"Boston"
2020-02-29,"Spurs",0.59,"San Antonio"
2020-02-29,"Suns",0.83,"Phoenix"
2020-02-28,"Magic",0.8,"Orlando"
2020-02-28,"Hawks",0.6,"Atlanta"
2020-02-28,"Raptors",0.91,"Toronto"
2020-02-28,"Pelicans",0.92,"New Orleans"
2020-02-28,"Heat",0.59,"Miami"
2020-02-28,"Bucks",0.83,"Milwaukee"
2020-02-28,"Grizzlies",0.58,"Memphis"
2020-02-28,"Suns",0.87,"Phoenix"
2020-02-28,"Jazz",0.83,"Utah"
2020-02-28,"Clippers",0.72,"LA Clippers"
