"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Meyers Leonard","Out","Feb 5","Feb 20",2020-02-20,2020-02-06
"Michael Porter Jr.","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Mitchell Robinson","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Moritz Wagner","Out","Feb 3",NA,2020-02-07,2020-02-06
"Nassir Little","Day-To-Day","Feb 5","Feb 7",2020-02-07,2020-02-06
"Naz Mitrou-Long","Out","Feb 2","Game Time Decision",2020-02-07,2020-02-06
"Nene null","Out","Feb 4",NA,2020-02-07,2020-02-06
"Nickeil Alexander-Walker","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Noah Vonleh","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Norman Powell","Out","Feb 4","Feb 21",2020-02-21,2020-02-06
"Oshae Brissett","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Pat Connaughton","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Patrick Beverley","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Paul Millsap","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"PJ Washington","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Reggie Bullock","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Reggie Jackson","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Richaun Holmes","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Ricky Rubio","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"RJ Barrett","Out","Feb 5",NA,2020-02-07,2020-02-06
"Robert Covington","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Robert Williams III","Out","Feb 5",NA,2020-02-07,2020-02-06
"Rondae Hollis-Jefferson","Out","Feb 5",NA,2020-02-07,2020-02-06
"Rui Hachimura","Out","Feb 3",NA,2020-02-07,2020-02-06
"Russell Westbrook","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Ryan Arcidiacono","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Seth Curry","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Shabazz Napier","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Solomon Hill","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Sviatoslav Mykhailiuk","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"T.J. Leaf","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"T.J. Warren","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Terrance Ferguson","Out","Feb 3",NA,2020-02-07,2020-02-06
"Thomas Bryant","Out","Feb 5","Feb 12",2020-02-12,2020-02-06
"Tomas Satoransky","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Trae Young","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Trey Burke","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Tristan Thompson","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Ty Jerome","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Tyler Herro","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Tyler Johnson","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Wendell Carter Jr.","Out","Feb 5","Feb 20",2020-02-20,2020-02-06
"Will Barton","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Zion Williamson","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Al-Farouq Aminu","Out",NA,"Apr 20",2020-04-20,2020-02-06
"Andre Roberson","Out",NA,"Feb 21",2020-02-21,2020-02-06
"Blake Griffin","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Bruno Caboclo","Out",NA,"Feb 20",2020-02-20,2020-02-06
"Darius Miller","Out",NA,"Out for the season",2021-02-05,2020-02-06
"DeMarcus Cousins","Out",NA,"May 15",2020-05-15,2020-02-06
"DeWayne Dedmon","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"Dwight Powell","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Dylan Windler","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Frank Kaminsky","Out",NA,"Mar 1",2020-03-01,2020-02-06
"Frank Mason","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"John Wall","Out",NA,"Apr 10",2020-04-10,2020-02-06
"Jonathan Isaac","Out",NA,"Apr 20",2020-04-20,2020-02-06
"Juancho Hernangomez","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"Jusuf Nurkic","Out",NA,"Feb 15",2020-02-15,2020-02-06
"Kevin Durant","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Klay Thompson","Out",NA,"Jun 1",2020-06-01,2020-02-06
"Lauri Markkanen","Out",NA,"Feb 22",2020-02-22,2020-02-06
"Luka Doncic","Out",NA,"Feb 12",2020-02-12,2020-02-06
"Luke Kennard","Out",NA,"Feb 20",2020-02-20,2020-02-06
"Marvin Bagley III","Out",NA,"Feb 20",2020-02-20,2020-02-06
"Mason Plumlee","Out",NA,"Feb 15",2020-02-15,2020-02-06
"Max Strus","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Otto Porter Jr.","Out",NA,"Feb 11",2020-02-11,2020-02-06
"R.J. Barrett","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"Robert Williams","Out",NA,"Feb 21",2020-02-21,2020-02-06
"Rodney Hood","Out",NA,"Out for the season",2021-02-05,2020-02-06
"Skal Labissiere","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"Stephen Curry","Out",NA,"Mar 7",2020-03-07,2020-02-06
"Svi Mykhailiuk","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"TJ Leaf","Out",NA,"Game Time Decision",2020-02-07,2020-02-06
"Zach Collins","Out",NA,"Mar 15",2020-03-15,2020-02-06
