"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Aaron Gordon","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Al Horford","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Andrew Bogut","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Anthony Davis","Day-To-Day","Jan 27",2017-02-01,2017-01-31
"Avery Bradley","Out","Jan 31",2017-02-01,2017-01-31
"Brandan Wright","Out","Jan 30",2017-02-01,2017-01-31
"Brook Lopez","Day-To-Day","Jan 27",2017-02-01,2017-01-31
"Caris LeVert","Day-To-Day","Jan 27",2017-02-01,2017-01-31
"Chandler Parsons","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Cody Zeller","Out","Jan 31",2017-02-01,2017-01-31
"D.J. Augustin","Day-To-Day","Jan 27",2017-02-01,2017-01-31
"D'Angelo Russell","Out","Jan 31",2017-02-01,2017-01-31
"Dante Cunningham","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"David West","Out","Jan 29",2017-02-01,2017-01-31
"Delon Wright","Out","Jan 29",2017-02-01,2017-01-31
"DeMar DeRozan","Out","Jan 29",2017-02-01,2017-01-31
"Deron Williams","Out","Jan 29",2017-02-01,2017-01-31
"Derrick Rose","Day-To-Day","Jan 31",2017-02-04,2017-01-31
"Deyonta Davis","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Dragan Bender","Out","Jan 30",2017-02-01,2017-01-31
"Ed Davis","Out","Jan 30",2017-02-03,2017-01-31
"Emmanuel Mudiay","Out","Jan 30",2017-02-01,2017-01-31
"Enes Kanter","Out","Jan 27",2017-03-08,2017-01-31
"Eric Gordon","Day-To-Day","Jan 27",2017-02-01,2017-01-31
"Evan Fournier","Out","Jan 30",2017-02-01,2017-01-31
"Hassan Whiteside","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Ian Mahinmi","Out","Jan 31",2017-02-15,2017-01-31
"Jahlil Okafor","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"Jamal Murray","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"JaMychal Green","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"Jeremy Lamb","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Joe Harris","Out","Jan 29",2017-02-01,2017-01-31
"Joel Embiid","Out","Jan 30",2017-02-04,2017-01-31
"Jonathon Simmons","Out","Jan 31",2017-02-01,2017-01-31
"Josh Richardson","Out","Jan 28",2017-02-15,2017-01-31
"Julius Randle","Day-To-Day","Jan 30",2017-02-02,2017-01-31
"Kenneth Faried","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Kevin Love","Day-To-Day","Jan 30",2017-02-04,2017-01-31
"Kevin Seraphin","Out","Jan 31",2017-02-01,2017-01-31
"Lance Thomas","Out","Jan 29",2017-02-04,2017-01-31
"Luke Babbitt","Day-To-Day","Jan 31",2017-02-01,2017-01-31
"Maurice Harkless","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Michael Gbinije","Out","Jan 27",2017-02-01,2017-01-31
"Mike Muscala","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Nikola Jokic","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Omri Casspi","Out","Jan 30",2017-02-06,2017-01-31
"Rakeem Christmas","Day-To-Day","Jan 31",2017-02-01,2017-01-31
"Rodney Stuckey","Out","Jan 31",2017-02-01,2017-01-31
"Rondae Hollis-Jefferson","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"Rudy Gay","Out","Jan 27",2017-10-25,2017-01-31
"Stephen Curry","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"Taj Gibson","Day-To-Day","Jan 31",2017-02-01,2017-01-31
"Thabo Sefolosha","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Tiago Splitter","Out","Jan 28",2017-02-15,2017-01-31
"Tony Parker","Out","Jan 27",2017-02-01,2017-01-31
"Trevor Booker","Day-To-Day","Jan 28",2017-02-01,2017-01-31
"Troy Daniels","Out","Jan 28",2017-02-01,2017-01-31
"Tyler Johnson","Out","Jan 30",2017-02-01,2017-01-31
"Wesley Matthews","Day-To-Day","Jan 29",2017-02-01,2017-01-31
"Wilson Chandler","Day-To-Day","Jan 30",2017-02-01,2017-01-31
"Ben Simmons","Out",NA,2017-02-24,2017-01-31
"Brice Johnson","Out",NA,2017-02-08,2017-01-31
"C.J. Wilcox","Out",NA,2017-02-01,2017-01-31
"Chris Andersen","Out",NA,2017-10-25,2017-01-31
"Chris Bosh","Out",NA,2017-10-25,2017-01-31
"Chris Paul","Out",NA,2017-03-01,2017-01-31
"Derrick Favors","Out",NA,2017-02-01,2017-01-31
"Festus Ezeli","Out",NA,2017-07-01,2017-01-31
"J.J. Barea","Out",NA,2017-02-24,2017-01-31
"J.R. Smith","Out",NA,2017-04-01,2017-01-31
"Jeremy Lin","Out",NA,2017-02-15,2017-01-31
"Jerryd Bayless","Out",NA,2017-10-25,2017-01-31
"Jodie Meeks","Out",NA,2017-03-01,2017-01-31
"Josh McRoberts","Out",NA,2017-03-01,2017-01-31
"Justise Winslow","Out",NA,2017-10-25,2017-01-31
"Khris Middleton","Out",NA,2017-02-13,2017-01-31
"Nikola Pekovic","Out",NA,2017-10-25,2017-01-31
"Pau Gasol","Out",NA,2017-02-15,2017-01-31
"Quincy Pondexter","Out",NA,2017-04-01,2017-01-31
