"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al Horford","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"C.J. Miles","Out","Nov 25",2016-11-29,2016-11-28
"C.J. Watson","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Caris LeVert","Out","Nov 28",2016-12-05,2016-11-28
"Channing Frye","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Cody Zeller","Out","Nov 25",2016-11-29,2016-11-28
"Danilo Gallinari","Day-To-Day","Nov 27",2016-11-30,2016-11-28
"Dante Cunningham","Out","Nov 24",2016-12-24,2016-11-28
"Danuel House Jr.","Out","Nov 25",2016-11-29,2016-11-28
"Delon Wright","Out","Nov 25",2016-12-31,2016-11-28
"Deron Williams","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Devin Harris","Out","Nov 27",2016-11-30,2016-11-28
"Dewayne Dedmon","Out","Nov 26",2016-11-29,2016-11-28
"Dion Waiters","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"Dirk Nowitzki","Day-To-Day","Nov 27",2016-11-30,2016-11-28
"Doug McDermott","Out","Nov 28",2016-11-30,2016-11-28
"Draymond Green","Day-To-Day","Nov 28",2016-11-29,2016-11-28
"Gerald Henderson","Day-To-Day","Nov 25",2016-11-29,2016-11-28
"Goran Dragic","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Hassan Whiteside","Day-To-Day","Nov 28",2016-11-29,2016-11-28
"Ian Clark","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Ian Mahinmi","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"Iman Shumpert","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Jared Dudley","Day-To-Day","Nov 27",2016-11-30,2016-11-28
"Jeff Green","Day-To-Day","Nov 28",2016-11-29,2016-11-28
"Jeremy Lin","Out","Nov 26",2016-11-29,2016-11-28
"Jerryd Bayless","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"Joakim Noah","Day-To-Day","Nov 24",2016-11-29,2016-11-28
"Jodie Meeks","Out","Nov 28",2016-11-29,2016-11-28
"Joel Embiid","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"Julius Randle","Out","Nov 28",2016-11-29,2016-11-28
"Justise Winslow","Out","Nov 27",2016-11-30,2016-11-28
"Kevin Seraphin","Out","Nov 25",2016-12-04,2016-11-28
"Lance Thomas","Out","Nov 28",2016-11-30,2016-11-28
"Manu Ginobili","Day-To-Day","Nov 26",2016-11-29,2016-11-28
"Marco Belinelli","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Marvin Williams","Out","Nov 26",2016-12-03,2016-11-28
"Michael Carter-Williams","Out","Nov 25",2017-01-06,2016-11-28
"Mike Miller","Out","Nov 27",2016-11-30,2016-11-28
"Nerlens Noel","Out","Nov 25",2016-12-05,2016-11-28
"Nick Young","Day-To-Day","Nov 26",2016-11-29,2016-11-28
"Nicolas Batum","Day-To-Day","Nov 27",2016-11-29,2016-11-28
"Paul George","Out","Nov 25",2016-12-04,2016-11-28
"Paul Zipser","Out","Nov 25",2016-12-15,2016-11-28
"Reggie Bullock","Out","Nov 25",2017-01-14,2016-11-28
"Reggie Jackson","Out","Nov 28",2016-11-29,2016-11-28
"Rondae Hollis-Jefferson","Day-To-Day","Nov 28",2016-11-29,2016-11-28
"Stanley Johnson","Out","Nov 25",2016-11-29,2016-11-28
"Tiago Splitter","Out","Nov 27",2017-01-14,2016-11-28
"Tyler Johnson","Day-To-Day","Nov 28",2016-11-30,2016-11-28
"Tyson Chandler","Out","Nov 25",2016-11-29,2016-11-28
"Wayne Ellington","Out","Nov 28",2016-11-29,2016-11-28
"Will Barton","Day-To-Day","Nov 27",2016-11-30,2016-11-28
"Willie Reed","Out","Nov 28",2016-11-29,2016-11-28
"Zach Randolph","Out","Nov 28",2016-11-30,2016-11-28
