"","DATE","home_team_name","home_team_prob_win_538"
"1",2020-03-11,"Philadelphia",0.92
"2",2020-03-11,"Miami",0.83
"3",2020-03-11,"Atlanta",0.79
"4",2020-03-11,"Dallas",0.53
"5",2020-03-11,"Oklahoma City",0.69
"6",2020-03-11,"Sacramento",0.53
"7",2020-03-12,"Orlando",0.71
"8",2020-03-12,"Milwaukee",0.59
"9",2020-03-12,"Golden State",0.64
"10",2020-03-12,"LA Lakers",0.66
"11",2020-03-13,"Charlotte",0.57
"12",2020-03-13,"Boston",0.82
"13",2020-03-13,"Oklahoma City",0.88
"14",2020-03-13,"Miami",0.88
"15",2020-03-13,"San Antonio",0.34
"16",2020-03-13,"Utah",0.65
"17",2020-03-13,"LA Clippers",0.93
"18",2020-03-14,"Dallas",0.79
"19",2020-03-14,"Atlanta",0.73
"20",2020-03-14,"Toronto",0.94
"21",2020-03-14,"Philadelphia",0.74
"22",2020-03-14,"Miami",0.72
"23",2020-03-14,"Milwaukee",0.88
"24",2020-03-14,"San Antonio",0.73
"25",2020-03-14,"Utah",0.77
"26",2020-03-14,"LA Clippers",0.78
"27",2020-03-15,"Orlando",0.82
"28",2020-03-15,"Washington",0.43
"29",2020-03-15,"Chicago",0.24
"30",2020-03-15,"Sacramento",0.77
"31",2020-03-15,"LA Lakers",0.73
"32",2020-03-16,"Philadelphia",0.87
"33",2020-03-16,"Toronto",0.84
"34",2020-03-16,"New Orleans",0.86
"35",2020-03-16,"Milwaukee",0.82
"36",2020-03-16,"San Antonio",0.59
"37",2020-03-16,"Utah",0.58
"38",2020-03-16,"LA Clippers",0.77
"39",2020-03-17,"Detroit",0.36
"40",2020-03-17,"New York",0.61
"41",2020-03-17,"Houston",0.93
"42",2020-03-17,"Memphis",0.41
"43",2020-03-17,"Sacramento",0.56
"44",2020-03-10,"Indiana",0.45
"45",2020-03-10,"Washington",0.82
"46",2020-03-10,"Chicago",0.73
"47",2020-03-10,"San Antonio",0.39
"48",2020-03-10,"Houston",0.93
"49",2020-03-10,"Memphis",0.58
"50",2020-03-10,"LA Lakers",0.88
"51",2020-03-10,"Golden State",0.09
"52",2020-03-09,"Atlanta",0.69
"53",2020-03-09,"Denver",0.8
"54",2020-03-09,"Utah",0.67
"55",2020-03-08,"Brooklyn",0.61
"56",2020-03-08,"LA Clippers",0.68
"57",2020-03-08,"Minnesota",0.3
"58",2020-03-08,"Phoenix",0.42
"59",2020-03-08,"Boston",0.69
"60",2020-03-08,"Dallas",0.75
"61",2020-03-08,"Washington",0.51
"62",2020-03-08,"Houston",0.8
"63",2020-03-08,"New York",0.71
"64",2020-03-08,"Cleveland",0.52
"65",2020-03-08,"Sacramento",0.42
"66",2020-03-07,"Charlotte",0.21
"67",2020-03-07,"Detroit",0.3
"68",2020-03-07,"Cleveland",0.2
"69",2020-03-07,"Memphis",0.7
"70",2020-03-07,"Golden State",0.44
"71",2020-03-06,"Washington",0.77
"72",2020-03-06,"New York",0.24
"73",2020-03-06,"Brooklyn",0.69
"74",2020-03-06,"Chicago",0.52
"75",2020-03-06,"New Orleans",0.67
"76",2020-03-06,"Minnesota",0.5
"77",2020-03-06,"Boston",0.65
"78",2020-03-06,"Dallas",0.76
"79",2020-03-06,"Phoenix",0.63
"80",2020-03-06,"LA Lakers",0.61
"81",2020-03-05,"Charlotte",0.21
"82",2020-03-05,"Houston",0.6
"83",2020-03-05,"Sacramento",0.7
"84",2020-03-05,"Golden State",0.2
"85",2020-03-04,"Cleveland",0.45
"86",2020-03-04,"Milwaukee",0.81
"87",2020-03-04,"Detroit",0.26
"88",2020-03-04,"Brooklyn",0.54
"89",2020-03-04,"Miami",0.74
"90",2020-03-04,"New York",0.25
"91",2020-03-04,"Minnesota",0.51
"92",2020-03-04,"Dallas",0.7
