"PLAYER_FULL_NAME","injury_status","injury_date"
"Thabo Sefolosha","Day-To-Day","Nov 21"
"Jae Crowder","Day-To-Day","Nov 21"
"Al Horford","Out","Nov 19"
"Marcus Smart","Day-To-Day","Nov 18"
"Caris LeVert","Out","Nov 21"
"Jeremy Lin","Out","Nov 20"
"Christian Wood","Day-To-Day","Nov 22"
"Treveon Graham","Out","Nov 22"
"Jeremy Lamb","Out","Nov 22"
"Cody Zeller","Day-To-Day","Nov 22"
"Paul Zipser","Day-To-Day","Nov 22"
"Doug McDermott","Out","Nov 22"
"Rajon Rondo","Day-To-Day","Nov 20"
"Dwyane Wade","Day-To-Day","Nov 20"
"J.R. Smith","Out","Nov 18"
"Dirk Nowitzki","Out","Nov 22"
"Deron Williams","Day-To-Day","Nov 22"
"Devin Harris","Out","Nov 22"
"Andrew Bogut","Day-To-Day","Nov 22"
"J.J. Barea","Out","Nov 18"
"Mike Miller","Day-To-Day","Nov 22"
"Will Barton","Out","Nov 20"
"Darrell Arthur","Out","Nov 18"
"Reggie Jackson","Out","Nov 22"
"Kevin Durant","Day-To-Day","Nov 19"
"Montrezl Harrell","Day-To-Day","Nov 19"
"Patrick Beverley","Out","Nov 18"
"Jeff Teague","Day-To-Day","Nov 21"
"Myles Turner","Day-To-Day","Nov 21"
"Kevin Seraphin","Day-To-Day","Nov 21"
"Paul George","Out","Nov 21"
"C.J. Miles","Day-To-Day","Nov 20"
"Rodney Stuckey","Out","Nov 18"
"Wesley Johnson","Out","Nov 21"
"D'Angelo Russell","Day-To-Day","Nov 22"
"Julius Randle","Day-To-Day","Nov 22"
"Ivica Zubac","Day-To-Day","Nov 19"
"Tony Allen","Day-To-Day","Nov 22"
"James Ennis","Out","Nov 22"
"Chandler Parsons","Out","Nov 20"
"Mike Conley","Day-To-Day","Nov 19"
"Dion Waiters","Day-To-Day","Nov 22"
"Wayne Ellington","Out","Nov 22"
"Willie Reed","Day-To-Day","Nov 22"
"Justise Winslow","Out","Nov 22"
"Brandon Rush","Out","Nov 21"
"Shabazz Muhammad","Out","Nov 19"
"Anthony Davis","Day-To-Day","Nov 22"
"Terrence Jones","Day-To-Day","Nov 22"
"Tyreke Evans","Out","Nov 21"
"Alexis Ajinca","Day-To-Day","Nov 19"
"Joakim Noah","Day-To-Day","Nov 22"
"Lance Thomas","Out","Nov 21"
"Semaj Christon","Day-To-Day","Nov 21"
"Jerryd Bayless","Out","Nov 22"
"Gerald Henderson","Day-To-Day","Nov 21"
"Ersan Ilyasova","Day-To-Day","Nov 21"
"Joel Embiid","Day-To-Day","Nov 20"
"Tyson Chandler","Day-To-Day","Nov 22"
"Devin Booker","Day-To-Day","Nov 21"
"TJ Warren","Day-To-Day","Nov 18"
"Dewayne Dedmon","Out","Nov 22"
"LaMarcus Aldridge","Day-To-Day","Nov 21"
"Tony Parker","Day-To-Day","Nov 21"
"Nicolas Laprovittola","Day-To-Day","Nov 21"
"DeMarre Carroll","Day-To-Day","Nov 21"
"Lucas Nogueira","Day-To-Day","Nov 18"
"Markieff Morris","Day-To-Day","Nov 22"
"Ian Mahinmi","Out","Nov 21"
