"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al-Farouq Aminu","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Andrew Bogut","Out","Dec 8",2016-12-25,2016-12-10
"Bismack Biyombo","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Blake Griffin","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Brandon Rush","Out","Dec 6",2016-12-11,2016-12-10
"Bruno Caboclo","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Caris LeVert","Out","Dec 6",2016-12-11,2016-12-10
"Channing Frye","Day-To-Day","Dec 9",2016-12-13,2016-12-10
"Courtney Lee","Day-To-Day","Dec 6",2016-12-11,2016-12-10
"D'Angelo Russell","Out","Dec 8",2016-12-11,2016-12-10
"Delon Wright","Out","Dec 7",2016-12-31,2016-12-10
"DeMarre Carroll","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Derrick Rose","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Dion Waiters","Out","Dec 7",2016-12-12,2016-12-10
"Donatas Motiejunas","Day-To-Day","Dec 9",2016-12-12,2016-12-10
"Doug McDermott","Out","Dec 8",2016-12-11,2016-12-10
"Draymond Green","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"E'Twaun Moore","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Emmanuel Mudiay","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Gary Harris","Out","Dec 8",2016-12-15,2016-12-10
"Ian Mahinmi","Out","Dec 9",2016-12-16,2016-12-10
"Isaiah Thomas","Out","Dec 9",2016-12-14,2016-12-10
"J.R. Smith","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Jahlil Okafor","Out","Dec 8",2016-12-11,2016-12-10
"Jamal Murray","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"James Johnson","Out","Dec 7",2016-12-12,2016-12-10
"Jeff Green","Day-To-Day","Dec 10",2016-12-11,2016-12-10
"Jeremy Lin","Out","Dec 9",2016-12-12,2016-12-10
"Jerryd Bayless","Out","Dec 6",2016-12-11,2016-12-10
"Joel Embiid","Day-To-Day","Dec 6",2016-12-11,2016-12-10
"Josh Richardson","Out","Dec 9",2016-12-11,2016-12-10
"Jrue Holiday","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Justise Winslow","Out","Dec 6",2016-12-12,2016-12-10
"Kent Bazemore","Day-To-Day","Dec 7",2016-12-11,2016-12-10
"Kevin Love","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Kevon Looney","Day-To-Day","Dec 10",2016-12-11,2016-12-10
"Luke Babbitt","Out","Dec 7",2016-12-12,2016-12-10
"Manu Ginobili","Day-To-Day","Dec 6",2016-12-11,2016-12-10
"Marc Gasol","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Marvin Williams","Out","Dec 7",2016-12-11,2016-12-10
"Matt Barnes","Day-To-Day","Dec 9",2016-12-12,2016-12-10
"Maurice Harkless","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Michael Carter-Williams","Out","Dec 6",2017-01-06,2016-12-10
"Nemanja Bjelica","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Nerlens Noel","Out","Dec 8",2016-12-11,2016-12-10
"Nick Young","Out","Dec 7",2016-12-12,2016-12-10
"Nikola Jokic","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Nikola Vucevic","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Paul Millsap","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Raymond Felton","Out","Dec 8",2016-12-11,2016-12-10
"Robert Covington","Out","Dec 8",2016-12-11,2016-12-10
"Rodney McGruder","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Seth Curry","Out","Dec 9",2016-12-11,2016-12-10
"Shaun Livingston","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Tarik Black","Day-To-Day","Dec 8",2016-12-11,2016-12-10
"Tony Parker","Day-To-Day","Dec 6",2016-12-11,2016-12-10
"Troy Daniels","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Udonis Haslem","Day-To-Day","Dec 9",2016-12-11,2016-12-10
"Vince Carter","Out","Dec 9",2016-12-11,2016-12-10
"Yogi Ferrell","Day-To-Day","Dec 6",2016-12-11,2016-12-10
"Zach Randolph","Out","Dec 6",2016-12-11,2016-12-10
